日Date,Order_Time,Security_Type,Symbol,Trade_Side,Order_Type,Filled_Qty,Filled_Price,Turnover,Order_Qty,Order_Price,Realized_PnL,Commission,Status,Last_Updated
2018-03-19,09:30:00,Stock,上港集团(600018.XSHG),Sell,Market_Order,-100Shares,7.26,-726,-100Shares,-,-42,5.73,Filled,2018-03-19 09:30:00
2018-03-20,09:30:00,Stock,上港集团(600018.XSHG),Sell,Market_Order,-100Shares,7.18,-718,-100Shares,-,-50,5.72,Filled,2018-03-20 09:30:00
2018-03-20,09:30:00,Stock,上港集团(600018.XSHG),Sell,Market_Order,-100Shares,7.18,-718,-100Shares,-,-50,5.72,Filled,2018-03-20 09:30:00
2018-03-20,09:30:00,Stock,信立泰(002294.XSHE),Sell,Market_Order,-200Shares,40.09,-8018,-200Shares,-,170,13.02,Filled,2018-03-20 09:30:00
2018-03-20,09:30:00,Stock,宋城演艺(300144.XSHE),Sell,Market_Order,-300Shares,19.92,-5976,-300Shares,-,144,10.98,Filled,2018-03-20 09:30:00
2018-03-20,09:30:00,Stock,白云山(600332.XSHG),Buy,Market_Order,700Shares,27.77,19439,700Shares,-,0,5.83,Filled,2018-03-20 09:30:00
2018-03-20,09:30:00,Stock,中国石化(600028.XSHG),Buy,Market_Order,3200Shares,6.56,20992,3200Shares,-,0,6.3,Filled,2018-03-20 09:30:00
2018-03-20,09:30:00,Stock,中文传媒(600373.XSHG),Buy,Market_Order,1300Shares,15.83,20579,1300Shares,-,0,6.17,Filled,2018-03-20 09:30:00
2018-03-20,09:30:00,Stock,步长制药(603858.XSHG),Buy,Market_Order,200Shares,51.9,10380,200Shares,-,0,5,Filled,2018-03-20 09:30:00
2018-03-20,09:30:00,Stock,吉林敖东(000623.XSHE),Buy,Market_Order,900Shares,20.5,18450,900Shares,-,0,5.53,Filled,2018-03-20 09:30:00
2018-03-21,09:30:00,Stock,步长制药(603858.XSHG),Sell,Market_Order,-200Shares,53.91,-10782,-200Shares,-,432,15.78,Filled,2018-03-21 09:30:00
2018-03-21,09:30:00,Stock,白云山(600332.XSHG),Sell,Market_Order,-400Shares,29.09,-11636,-400Shares,-,528,16.64,Filled,2018-03-21 09:30:00
2018-03-21,09:30:00,Stock,中国石化(600028.XSHG),Sell,Market_Order,-2200Shares,6.89,-15158,-2200Shares,-,726,20.16,Filled,2018-03-21 09:30:00
2018-03-21,09:30:00,Stock,中文传媒(600373.XSHG),Sell,Market_Order,-900Shares,15.9,-14310,-900Shares,-,63,19.31,Filled,2018-03-21 09:30:00
2018-03-21,09:30:00,Stock,吉林敖东(000623.XSHE),Sell,Market_Order,-600Shares,21.18,-12708,-600Shares,-,408,17.71,Filled,2018-03-21 09:30:00
