日Date,Order_Time,Security_Type,Symbol,Trade_Side,Order_Type,Filled_Qty,Filled_Price,Turnover,Order_Qty,Order_Price,Realized_PnL,Commission,Status,Last_Updated
2018-08-15,09:30:00,Stock,龙蟒佰利(002601.XSHE),Sell,Market_Order,-1000Shares,14.1,-14100,-1000Shares,-,-33.33,19.1,Filled,2018-08-15 09:30:00
2018-08-15,09:30:00,Stock,海螺水泥(600585.XSHG),Sell,Market_Order,-300Shares,38.75,-11625,-300Shares,-,-3,16.62,Filled,2018-08-15 09:30:00
2018-08-15,09:30:00,Stock,中国神华(601088.XSHG),Sell,Market_Order,-800Shares,17.98,-14384,-800Shares,-,104,19.38,Filled,2018-08-15 09:30:00
2018-08-15,09:30:00,Stock,招商公路(001965.XSHE),Sell,Market_Order,-1800Shares,8.36,-15048,-1800Shares,-,-36,20.05,Filled,2018-08-15 09:30:00
2018-08-15,09:30:00,Stock,君正集团(601216.XSHG),Sell,Market_Order,-4600Shares,3.33,-15318,-4600Shares,-,92,20.32,Filled,2018-08-15 09:30:00
2018-08-16,09:30:00,Stock,海螺水泥(600585.XSHG),Sell,Market_Order,-100Shares,36.24,-3624,-100Shares,-,-252,8.62,Filled,2018-08-16 09:30:00
2018-08-16,09:30:00,Stock,龙蟒佰利(002601.XSHE),Sell,Market_Order,-300Shares,13.6,-4080,-300Shares,-,-160,9.08,Filled,2018-08-16 09:30:00
2018-08-16,09:30:00,Stock,中国神华(601088.XSHG),Sell,Market_Order,-200Shares,17,-3400,-200Shares,-,-170,8.4,Filled,2018-08-16 09:30:00
2018-08-16,09:30:00,Stock,招商公路(001965.XSHE),Sell,Market_Order,-500Shares,8.21,-4105,-500Shares,-,-85,9.1,Filled,2018-08-16 09:30:00
2018-08-16,09:30:00,Stock,君正集团(601216.XSHG),Sell,Market_Order,-1400Shares,3.18,-4452,-1400Shares,-,-182,9.45,Filled,2018-08-16 09:30:00
2018-08-17,09:30:00,Stock,君正集团(601216.XSHG),Sell,Market_Order,-400Shares,3.25,-1300,-400Shares,-,-24,6.3,Filled,2018-08-17 09:30:00
2018-08-20,09:30:00,Stock,龙蟒佰利(002601.XSHE),Sell,Market_Order,-100Shares,13.4,-1340,-100Shares,-,-73.33,6.34,Filled,2018-08-20 09:30:00
2018-08-20,09:30:00,Stock,海螺水泥(600585.XSHG),Sell,Market_Order,-100Shares,35.42,-3542,-100Shares,-,-334,8.54,Filled,2018-08-20 09:30:00
2018-08-20,09:30:00,Stock,君正集团(601216.XSHG),Sell,Market_Order,-100Shares,3.13,-313,-100Shares,-,-18,5.31,Filled,2018-08-20 09:30:00
2018-08-28,09:30:00,Stock,龙蟒佰利(002601.XSHE),Sell,Market_Order,-100Shares,13.94,-1394,-100Shares,-,-19.33,6.39,Filled,2018-08-28 09:30:00
2018-08-28,09:30:00,Stock,中国神华(601088.XSHG),Sell,Market_Order,-200Shares,18.08,-3616,-200Shares,-,46,8.62,Filled,2018-08-28 09:30:00
2018-08-28,09:30:00,Stock,招商公路(001965.XSHE),Sell,Market_Order,-300Shares,8.46,-2538,-300Shares,-,24,7.54,Filled,2018-08-28 09:30:00
2018-08-28,09:30:00,Stock,君正集团(601216.XSHG),Sell,Market_Order,-100Shares,3.28,-328,-100Shares,-,-3,5.33,Filled,2018-08-28 09:30:00
2018-08-28,09:30:00,Stock,三七互娱(002555.XSHE),Buy,Market_Order,1900Shares,10.9,20710,1900Shares,-,0,6.21,Filled,2018-08-28 09:30:00
2018-08-28,09:30:00,Stock,福耀玻璃(600660.XSHG),Buy,Market_Order,800Shares,25.45,20360,800Shares,-,0,6.11,Filled,2018-08-28 09:30:00
2018-08-28,09:30:00,Stock,大秦铁路(601006.XSHG),Buy,Market_Order,2300Shares,9.12,20976,2300Shares,-,0,6.29,Filled,2018-08-28 09:30:00
2018-08-28,09:30:00,Stock,陕西煤业(601225.XSHG),Buy,Market_Order,2800Shares,7.59,21252,2800Shares,-,0,6.38,Filled,2018-08-28 09:30:00
2018-08-28,09:30:00,Stock,网宿科技(300017.XSHE),Buy,Market_Order,2000Shares,10.53,21060,2000Shares,-,0,6.32,Filled,2018-08-28 09:30:00
2018-08-29,09:30:00,Stock,三七互娱(002555.XSHE),Sell,Market_Order,-1300Shares,11.64,-15132,-1300Shares,-,962,20.13,Filled,2018-08-29 09:30:00
2018-08-29,09:30:00,Stock,福耀玻璃(600660.XSHG),Sell,Market_Order,-500Shares,25.85,-12925,-500Shares,-,200,17.92,Filled,2018-08-29 09:30:00
2018-08-29,09:30:00,Stock,大秦铁路(601006.XSHG),Sell,Market_Order,-1600Shares,9,-14400,-1600Shares,-,-192,19.4,Filled,2018-08-29 09:30:00
2018-08-29,09:30:00,Stock,陕西煤业(601225.XSHG),Sell,Market_Order,-1900Shares,7.65,-14535,-1900Shares,-,114,19.54,Filled,2018-08-29 09:30:00
2018-08-29,09:30:00,Stock,网宿科技(300017.XSHE),Sell,Market_Order,-1400Shares,10.5,-14700,-1400Shares,-,-42,19.7,Filled,2018-08-29 09:30:00
2018-08-30,09:30:00,Stock,大秦铁路(601006.XSHG),Sell,Market_Order,-300Shares,8.66,-2598,-300Shares,-,-138,7.6,Filled,2018-08-30 09:30:00
2018-08-30,09:30:00,Stock,三七互娱(002555.XSHE),Sell,Market_Order,-400Shares,11.54,-4616,-400Shares,-,256,9.62,Filled,2018-08-30 09:30:00
2018-08-30,09:30:00,Stock,大秦铁路(601006.XSHG),Sell,Market_Order,-200Shares,8.66,-1732,-200Shares,-,-92,6.73,Filled,2018-08-30 09:30:00
2018-08-30,09:30:00,Stock,陕西煤业(601225.XSHG),Sell,Market_Order,-600Shares,7.6,-4560,-600Shares,-,6,9.56,Filled,2018-08-30 09:30:00
2018-08-30,09:30:00,Stock,网宿科技(300017.XSHE),Sell,Market_Order,-400Shares,10.49,-4196,-400Shares,-,-16,9.2,Filled,2018-08-30 09:30:00
2018-09-03,09:30:00,Stock,三七互娱(002555.XSHE),Sell,Market_Order,-200Shares,10,-2000,-200Shares,-,-180,7,Filled,2018-09-03 09:30:00
2018-09-03,09:30:00,Stock,大秦铁路(601006.XSHG),Sell,Market_Order,-100Shares,8.58,-858,-100Shares,-,-54,5.86,Filled,2018-09-03 09:30:00
2018-09-03,09:30:00,Stock,网宿科技(300017.XSHE),Sell,Market_Order,-100Shares,9.88,-988,-100Shares,-,-65,5.99,Filled,2018-09-03 09:30:00
2018-09-04,09:30:00,Stock,大秦铁路(601006.XSHG),Sell,Market_Order,-100Shares,8.34,-834,-100Shares,-,-78,5.83,Filled,2018-09-04 09:30:00
2018-09-11,09:30:00,Stock,网宿科技(300017.XSHE),Sell,Market_Order,-100Shares,9.8,-980,-100Shares,-,-73,5.98,Filled,2018-09-11 09:30:00
2018-09-11,09:30:00,Stock,中国神华(601088.XSHG),Buy,Market_Order,1100Shares,18.64,20504,1100Shares,-,0,6.15,Filled,2018-09-11 09:30:00
2018-09-11,09:30:00,Stock,陕西煤业(601225.XSHG),Buy,Market_Order,2400Shares,7.96,19104,2400Shares,-,0,5.73,Filled,2018-09-11 09:30:00
2018-09-11,09:30:00,Stock,国电南瑞(600406.XSHG),Buy,Market_Order,1300Shares,16.69,21697,1300Shares,-,0,6.51,Filled,2018-09-11 09:30:00
2018-09-11,09:30:00,Stock,福耀玻璃(600660.XSHG),Buy,Market_Order,500Shares,24.57,12285,500Shares,-,0,5,Filled,2018-09-11 09:30:00
2018-09-11,09:30:00,Stock,上海石化(600688.XSHG),Buy,Market_Order,3800Shares,5.61,21318,3800Shares,-,0,6.4,Filled,2018-09-11 09:30:00
2018-09-12,09:30:00,Stock,福耀玻璃(600660.XSHG),Sell,Market_Order,-500Shares,24.27,-12135,-500Shares,-,-315,17.13,Filled,2018-09-12 09:30:00
2018-09-12,09:30:00,Stock,陕西煤业(601225.XSHG),Sell,Market_Order,-1800Shares,7.84,-14112,-1800Shares,-,-142,19.11,Filled,2018-09-12 09:30:00
2018-09-12,09:30:00,Stock,中国神华(601088.XSHG),Sell,Market_Order,-700Shares,18.17,-12719,-700Shares,-,-329,17.72,Filled,2018-09-12 09:30:00
2018-09-12,09:30:00,Stock,国电南瑞(600406.XSHG),Sell,Market_Order,-900Shares,16.4,-14760,-900Shares,-,-261,19.76,Filled,2018-09-12 09:30:00
2018-09-12,09:30:00,Stock,上海石化(600688.XSHG),Sell,Market_Order,-2600Shares,5.6,-14560,-2600Shares,-,-26,19.56,Filled,2018-09-12 09:30:00
2018-09-13,09:30:00,Stock,陕西煤业(601225.XSHG),Sell,Market_Order,-600Shares,7.99,-4794,-600Shares,-,42.67,9.79,Filled,2018-09-13 09:30:00
2018-09-13,09:30:00,Stock,中国神华(601088.XSHG),Sell,Market_Order,-200Shares,18.44,-3688,-200Shares,-,-40,8.69,Filled,2018-09-13 09:30:00
2018-09-13,09:30:00,Stock,国电南瑞(600406.XSHG),Sell,Market_Order,-200Shares,16.28,-3256,-200Shares,-,-82,8.26,Filled,2018-09-13 09:30:00
2018-09-13,09:30:00,Stock,上海石化(600688.XSHG),Sell,Market_Order,-800Shares,5.72,-4576,-800Shares,-,88,9.58,Filled,2018-09-13 09:30:00
2018-09-14,09:30:00,Stock,上海石化(600688.XSHG),Sell,Market_Order,-200Shares,5.73,-1146,-200Shares,-,24,6.15,Filled,2018-09-14 09:30:00
2018-09-18,09:30:00,Stock,福耀玻璃(600660.XSHG),Sell,Market_Order,-100Shares,23.37,-2337,-100Shares,-,-153,7.34,Filled,2018-09-18 09:30:00
2018-09-19,09:30:00,Stock,福耀玻璃(600660.XSHG),Sell,Market_Order,-100Shares,23.44,-2344,-100Shares,-,-146,7.34,Filled,2018-09-19 09:30:00
2018-09-26,09:30:00,Stock,福耀玻璃(600660.XSHG),Sell,Market_Order,-100Shares,24.89,-2489,-100Shares,-,-1,7.49,Filled,2018-09-26 09:30:00
2018-09-26,09:30:00,Stock,国电南瑞(600406.XSHG),Sell,Market_Order,-200Shares,17.23,-3446,-200Shares,-,108,8.45,Filled,2018-09-26 09:30:00
2018-09-26,09:30:00,Stock,上海石化(600688.XSHG),Sell,Market_Order,-200Shares,5.76,-1152,-200Shares,-,30,6.15,Filled,2018-09-26 09:30:00
2018-09-26,09:30:00,Stock,隆基Shares份(601012.XSHG),Buy,Market_Order,1600Shares,13.04,20864,1600Shares,-,0,6.26,Filled,2018-09-26 09:30:00
2018-09-26,09:30:00,Stock,渤海金控(000415.XSHE),Buy,Market_Order,5600Shares,3.79,21224,5600Shares,-,0,6.37,Filled,2018-09-26 09:30:00
2018-09-26,09:30:00,Stock,中国神华(601088.XSHG),Buy,Market_Order,800Shares,19.61,15688,800Shares,-,0,5,Filled,2018-09-26 09:30:00
2018-09-26,09:30:00,Stock,陕西煤业(601225.XSHG),Buy,Market_Order,2100Shares,8.76,18396,2100Shares,-,0,5.52,Filled,2018-09-26 09:30:00
2018-09-26,09:30:00,Stock,五粮液(000858.XSHE),Buy,Market_Order,300Shares,65.7,19710,300Shares,-,0,5.91,Filled,2018-09-26 09:30:00
2018-09-27,09:30:00,Stock,陕西煤业(601225.XSHG),Sell,Market_Order,-1600Shares,8.7,-13920,-1600Shares,-,72.22,18.92,Filled,2018-09-27 09:30:00
2018-09-27,09:30:00,Stock,中国神华(601088.XSHG),Sell,Market_Order,-700Shares,19.9,-13930,-700Shares,-,338.8,18.93,Filled,2018-09-27 09:30:00
2018-09-27,09:30:00,Stock,隆基Shares份(601012.XSHG),Sell,Market_Order,-1100Shares,13.6,-14960,-1100Shares,-,616,19.96,Filled,2018-09-27 09:30:00
2018-09-27,09:30:00,Stock,渤海金控(000415.XSHE),Sell,Market_Order,-3900Shares,3.94,-15366,-3900Shares,-,585,20.37,Filled,2018-09-27 09:30:00
2018-09-28,09:30:00,Stock,陕西煤业(601225.XSHG),Sell,Market_Order,-500Shares,8.79,-4395,-500Shares,-,67.57,9.4,Filled,2018-09-28 09:30:00
2018-09-28,09:30:00,Stock,隆基Shares份(601012.XSHG),Sell,Market_Order,-300Shares,13.73,-4119,-300Shares,-,207,9.12,Filled,2018-09-28 09:30:00
2018-09-28,09:30:00,Stock,渤海金控(000415.XSHE),Sell,Market_Order,-1100Shares,3.91,-4301,-1100Shares,-,132,9.3,Filled,2018-09-28 09:30:00
2018-10-08,09:30:00,Stock,渤海金控(000415.XSHE),Sell,Market_Order,-400Shares,3.88,-1552,-400Shares,-,36,6.55,Filled,2018-10-08 09:30:00
2018-10-11,09:30:00,Stock,五粮液(000858.XSHE),Sell,Market_Order,-300Shares,58.47,-17541,-300Shares,-,-2169,22.8,Filled,2018-10-11 09:30:00
2018-10-12,09:30:00,Stock,渤海金控(000415.XSHE),Sell,Market_Order,-100Shares,3.56,-356,-100Shares,-,-23,5.36,Filled,2018-10-12 09:30:00
2018-10-17,09:30:00,Stock,隆基Shares份(601012.XSHG),Sell,Market_Order,-200Shares,13.05,-2610,-200Shares,-,2,7.61,Filled,2018-10-17 09:30:00
2018-10-17,09:30:00,Stock,渤海金控(000415.XSHE),Sell,Market_Order,-100Shares,3.62,-362,-100Shares,-,-17,5.36,Filled,2018-10-17 09:30:00
2018-10-17,09:30:00,Stock,海螺水泥(600585.XSHG),Buy,Market_Order,600Shares,34.2,20520,600Shares,-,0,6.16,Filled,2018-10-17 09:30:00
2018-10-17,09:30:00,Stock,中国神华(601088.XSHG),Buy,Market_Order,700Shares,20.27,14189,700Shares,-,0,5,Filled,2018-10-17 09:30:00
2018-10-17,09:30:00,Stock,陕西煤业(601225.XSHG),Buy,Market_Order,2200Shares,8.46,18612,2200Shares,-,0,5.58,Filled,2018-10-17 09:30:00
2018-10-17,09:30:00,Stock,洋河Shares份(002304.XSHE),Buy,Market_Order,100Shares,115.4,11540,100Shares,-,0,5,Filled,2018-10-17 09:30:00
2018-10-17,09:30:00,Stock,伊利Shares份(600887.XSHG),Buy,Market_Order,800Shares,25.4,20320,800Shares,-,0,6.1,Filled,2018-10-17 09:30:00
2018-10-18,09:30:00,Stock,伊利Shares份(600887.XSHG),Sell,Market_Order,-400Shares,24.12,-9648,-400Shares,-,-512,14.65,Filled,2018-10-18 09:30:00
2018-10-18,09:30:00,Stock,陕西煤业(601225.XSHG),Sell,Market_Order,-1700Shares,8.36,-14212,-1700Shares,-,-209.75,19.21,Filled,2018-10-18 09:30:00
2018-10-18,09:30:00,Stock,中国神华(601088.XSHG),Sell,Market_Order,-700Shares,20,-14000,-700Shares,-,-9.66,19,Filled,2018-10-18 09:30:00
2018-10-18,09:30:00,Stock,海螺水泥(600585.XSHG),Sell,Market_Order,-400Shares,34.1,-13640,-400Shares,-,-40,18.64,Filled,2018-10-18 09:30:00
2018-10-18,09:30:00,Stock,伊利Shares份(600887.XSHG),Sell,Market_Order,-200Shares,24.12,-4824,-200Shares,-,-256,9.82,Filled,2018-10-18 09:30:00
2018-10-19,09:30:00,Stock,中国神华(601088.XSHG),Sell,Market_Order,-100Shares,18.96,-1896,-100Shares,-,-105.38,6.9,Filled,2018-10-19 09:30:00
2018-10-19,09:30:00,Stock,伊利Shares份(600887.XSHG),Sell,Market_Order,-100Shares,24.01,-2401,-100Shares,-,-139,7.4,Filled,2018-10-19 09:30:00
2018-10-19,09:30:00,Stock,陕西煤业(601225.XSHG),Sell,Market_Order,-500Shares,8.16,-4080,-500Shares,-,-161.69,9.08,Filled,2018-10-19 09:30:00
2018-10-24,09:30:00,Stock,洋河Shares份(002304.XSHE),Sell,Market_Order,-100Shares,106.99,-10699,-100Shares,-,-841,15.7,Filled,2018-10-24 09:30:00
2018-10-25,09:30:00,Stock,海螺水泥(600585.XSHG),Sell,Market_Order,-200Shares,31.6,-6320,-200Shares,-,-520,11.32,Filled,2018-10-25 09:30:00
2018-10-25,09:30:00,Stock,伊利Shares份(600887.XSHG),Sell,Market_Order,-100Shares,23.05,-2305,-100Shares,-,-235,7.3,Filled,2018-10-25 09:30:00
2018-10-31,09:30:00,Stock,陕西煤业(601225.XSHG),Sell,Market_Order,-300Shares,8.44,-2532,-300Shares,-,-13.02,7.53,Filled,2018-10-31 09:30:00
2018-10-31,09:30:00,Stock,中国神华(601088.XSHG),Sell,Market_Order,-200Shares,19.5,-3900,-200Shares,-,-102.76,8.9,Filled,2018-10-31 09:30:00
2018-10-31,09:30:00,Stock,三七互娱(002555.XSHE),Buy,Market_Order,1900Shares,10.66,20254,1900Shares,-,0,6.08,Filled,2018-10-31 09:30:00
2018-10-31,09:30:00,Stock,中文传媒(600373.XSHG),Buy,Market_Order,1900Shares,10.9,20710,1900Shares,-,0,6.21,Filled,2018-10-31 09:30:00
2018-10-31,09:30:00,Stock,美锦能源(000723.XSHE),Buy,Market_Order,5800Shares,3.55,20590,5800Shares,-,0,6.18,Filled,2018-10-31 09:30:00
2018-10-31,09:30:00,Stock,信维通信(300136.XSHE),Buy,Market_Order,700Shares,26.1,18270,700Shares,-,0,5.48,Filled,2018-10-31 09:30:00
2018-10-31,09:30:00,Stock,龙蟒佰利(002601.XSHE),Buy,Market_Order,1600Shares,12.82,20512,1600Shares,-,0,6.15,Filled,2018-10-31 09:30:00
2018-11-01,09:30:00,Stock,三七互娱(002555.XSHE),Sell,Market_Order,-1300Shares,11.08,-14404,-1300Shares,-,546,19.4,Filled,2018-11-01 09:30:00
2018-11-01,09:30:00,Stock,中文传媒(600373.XSHG),Sell,Market_Order,-1300Shares,11.46,-14898,-1300Shares,-,728,19.9,Filled,2018-11-01 09:30:00
2018-11-01,09:30:00,Stock,美锦能源(000723.XSHE),Sell,Market_Order,-4000Shares,3.55,-14200,-4000Shares,-,0,19.2,Filled,2018-11-01 09:30:00
2018-11-01,09:30:00,Stock,信维通信(300136.XSHE),Sell,Market_Order,-400Shares,26.63,-10652,-400Shares,-,212,15.65,Filled,2018-11-01 09:30:00
2018-11-01,09:30:00,Stock,龙蟒佰利(002601.XSHE),Sell,Market_Order,-1100Shares,12.97,-14267,-1100Shares,-,165,19.27,Filled,2018-11-01 09:30:00
2018-11-02,09:30:00,Stock,三七互娱(002555.XSHE),Sell,Market_Order,-400Shares,11.9,-4760,-400Shares,-,496,9.76,Filled,2018-11-02 09:30:00
2018-11-02,09:30:00,Stock,中文传媒(600373.XSHG),Sell,Market_Order,-400Shares,11.5,-4600,-400Shares,-,240,9.6,Filled,2018-11-02 09:30:00
2018-11-02,09:30:00,Stock,美锦能源(000723.XSHE),Sell,Market_Order,-1200Shares,3.63,-4356,-1200Shares,-,96,9.36,Filled,2018-11-02 09:30:00
2018-11-02,09:30:00,Stock,龙蟒佰利(002601.XSHE),Sell,Market_Order,-300Shares,13.2,-3960,-300Shares,-,114,8.96,Filled,2018-11-02 09:30:00
2018-11-05,09:30:00,Stock,三七互娱(002555.XSHE),Sell,Market_Order,-100Shares,12.81,-1281,-100Shares,-,215,6.28,Filled,2018-11-05 09:30:00
2018-11-05,09:30:00,Stock,美锦能源(000723.XSHE),Sell,Market_Order,-400Shares,3.66,-1464,-400Shares,-,44,6.46,Filled,2018-11-05 09:30:00
2018-11-14,09:30:00,Stock,三七互娱(002555.XSHE),Sell,Market_Order,-100Shares,12.74,-1274,-100Shares,-,208,6.27,Filled,2018-11-14 09:30:00
2018-11-14,09:30:00,Stock,中文传媒(600373.XSHG),Sell,Market_Order,-200Shares,12.25,-2450,-200Shares,-,270,7.45,Filled,2018-11-14 09:30:00
2018-11-14,09:30:00,Stock,美锦能源(000723.XSHE),Sell,Market_Order,-200Shares,3.88,-776,-200Shares,-,66,5.78,Filled,2018-11-14 09:30:00
2018-11-14,09:30:00,Stock,信维通信(300136.XSHE),Sell,Market_Order,-300Shares,27.01,-8103,-300Shares,-,273,13.1,Filled,2018-11-14 09:30:00
2018-11-14,09:30:00,Stock,龙蟒佰利(002601.XSHE),Sell,Market_Order,-200Shares,13.63,-2726,-200Shares,-,162,7.73,Filled,2018-11-14 09:30:00
2018-11-14,09:30:00,Stock,信立泰(002294.XSHE),Buy,Market_Order,800Shares,25.9,20720,800Shares,-,0,6.22,Filled,2018-11-14 09:30:00
2018-11-14,09:30:00,Stock,新湖中宝(600208.XSHG),Buy,Market_Order,6600Shares,3.22,21252,6600Shares,-,0,6.38,Filled,2018-11-14 09:30:00
2018-11-14,09:30:00,Stock,步长制药(603858.XSHG),Buy,Market_Order,700Shares,28.08,19656,700Shares,-,0,5.9,Filled,2018-11-14 09:30:00
2018-11-14,09:30:00,Stock,川投能源(600674.XSHG),Buy,Market_Order,2600Shares,8.12,21112,2600Shares,-,0,6.33,Filled,2018-11-14 09:30:00
2018-11-14,09:30:00,Stock,君正集团(601216.XSHG),Buy,Market_Order,7200Shares,2.95,21240,7200Shares,-,0,6.37,Filled,2018-11-14 09:30:00
2018-11-15,09:30:00,Stock,信立泰(002294.XSHE),Sell,Market_Order,-500Shares,25.69,-12845,-500Shares,-,-105,17.84,Filled,2018-11-15 09:30:00
2018-11-15,09:30:00,Stock,新湖中宝(600208.XSHG),Sell,Market_Order,-4600Shares,3.38,-15548,-4600Shares,-,736,20.55,Filled,2018-11-15 09:30:00
2018-11-15,09:30:00,Stock,步长制药(603858.XSHG),Sell,Market_Order,-400Shares,27.86,-11144,-400Shares,-,-88,16.14,Filled,2018-11-15 09:30:00
2018-11-15,09:30:00,Stock,川投能源(600674.XSHG),Sell,Market_Order,-1800Shares,8.16,-14688,-1800Shares,-,72,19.69,Filled,2018-11-15 09:30:00
2018-11-15,09:30:00,Stock,君正集团(601216.XSHG),Sell,Market_Order,-5000Shares,2.99,-14950,-5000Shares,-,200,19.95,Filled,2018-11-15 09:30:00
2018-11-16,09:30:00,Stock,新湖中宝(600208.XSHG),Sell,Market_Order,-1400Shares,3.56,-4984,-1400Shares,-,476,9.98,Filled,2018-11-16 09:30:00
2018-11-16,09:30:00,Stock,川投能源(600674.XSHG),Sell,Market_Order,-500Shares,8.23,-4115,-500Shares,-,55,9.12,Filled,2018-11-16 09:30:00
2018-11-16,09:30:00,Stock,君正集团(601216.XSHG),Sell,Market_Order,-1500Shares,3.1,-4650,-1500Shares,-,225,9.65,Filled,2018-11-16 09:30:00
2018-11-19,09:30:00,Stock,新湖中宝(600208.XSHG),Sell,Market_Order,-400Shares,3.51,-1404,-400Shares,-,116,6.4,Filled,2018-11-19 09:30:00
2018-11-19,09:30:00,Stock,君正集团(601216.XSHG),Sell,Market_Order,-400Shares,3.09,-1236,-400Shares,-,56,6.24,Filled,2018-11-19 09:30:00
2018-11-21,09:30:00,Stock,信立泰(002294.XSHE),Sell,Market_Order,-100Shares,24.6,-2460,-100Shares,-,-130,7.46,Filled,2018-11-21 09:30:00
2018-11-26,09:30:00,Stock,信立泰(002294.XSHE),Sell,Market_Order,-100Shares,24.32,-2432,-100Shares,-,-158,7.43,Filled,2018-11-26 09:30:00
2018-11-27,09:30:00,Stock,信立泰(002294.XSHE),Sell,Market_Order,-100Shares,24.04,-2404,-100Shares,-,-186,7.4,Filled,2018-11-27 09:30:00
2018-11-28,09:30:00,Stock,新湖中宝(600208.XSHG),Sell,Market_Order,-200Shares,3.15,-630,-200Shares,-,-14,5.63,Filled,2018-11-28 09:30:00
2018-11-28,09:30:00,Stock,步长制药(603858.XSHG),Sell,Market_Order,-300Shares,27,-8100,-300Shares,-,-324,13.1,Filled,2018-11-28 09:30:00
2018-11-28,09:30:00,Stock,川投能源(600674.XSHG),Sell,Market_Order,-300Shares,7.99,-2397,-300Shares,-,-39,7.4,Filled,2018-11-28 09:30:00
2018-11-28,09:30:00,Stock,北新建材(000786.XSHE),Buy,Market_Order,1400Shares,15.2,21280,1400Shares,-,0,6.38,Filled,2018-11-28 09:30:00
2018-11-28,09:30:00,Stock,君正集团(601216.XSHG),Buy,Market_Order,7100Shares,2.91,20661,7100Shares,-,0,6.2,Filled,2018-11-28 09:30:00
2018-11-28,09:30:00,Stock,光线传媒(300251.XSHE),Buy,Market_Order,2900Shares,7.35,21315,2900Shares,-,0,6.39,Filled,2018-11-28 09:30:00
2018-11-28,09:30:00,Stock,泸州老窖(000568.XSHE),Buy,Market_Order,500Shares,39.92,19960,500Shares,-,0,5.99,Filled,2018-11-28 09:30:00
2018-11-28,09:30:00,Stock,中文传媒(600373.XSHG),Buy,Market_Order,1800Shares,11.92,21456,1800Shares,-,0,6.44,Filled,2018-11-28 09:30:00
2018-11-29,09:30:00,Stock,君正集团(601216.XSHG),Sell,Market_Order,-5100Shares,2.93,-14943,-5100Shares,-,93.73,19.94,Filled,2018-11-29 09:30:00
2018-11-29,09:30:00,Stock,北新建材(000786.XSHE),Sell,Market_Order,-900Shares,15.32,-13788,-900Shares,-,108,18.79,Filled,2018-11-29 09:30:00
2018-11-29,09:30:00,Stock,光线传媒(300251.XSHE),Sell,Market_Order,-2000Shares,7.61,-15220,-2000Shares,-,520,20.22,Filled,2018-11-29 09:30:00
2018-11-29,09:30:00,Stock,泸州老窖(000568.XSHE),Sell,Market_Order,-300Shares,40.4,-12120,-300Shares,-,144,17.12,Filled,2018-11-29 09:30:00
2018-11-29,09:30:00,Stock,中文传媒(600373.XSHG),Sell,Market_Order,-1200Shares,12.5,-15000,-1200Shares,-,696,20,Filled,2018-11-29 09:30:00
2018-11-30,09:30:00,Stock,君正集团(601216.XSHG),Sell,Market_Order,-1600Shares,2.84,-4544,-1600Shares,-,-114.59,9.54,Filled,2018-11-30 09:30:00
2018-11-30,09:30:00,Stock,北新建材(000786.XSHE),Sell,Market_Order,-300Shares,15.16,-4548,-300Shares,-,-12,9.55,Filled,2018-11-30 09:30:00
2018-11-30,09:30:00,Stock,光线传媒(300251.XSHE),Sell,Market_Order,-600Shares,7.23,-4338,-600Shares,-,-72,9.34,Filled,2018-11-30 09:30:00
2018-11-30,09:30:00,Stock,中文传媒(600373.XSHG),Sell,Market_Order,-400Shares,12.17,-4868,-400Shares,-,100,9.87,Filled,2018-11-30 09:30:00
2018-12-03,09:30:00,Stock,君正集团(601216.XSHG),Sell,Market_Order,-400Shares,2.9,-1160,-400Shares,-,-4.65,6.16,Filled,2018-12-03 09:30:00
2018-12-12,09:30:00,Stock,君正集团(601216.XSHG),Sell,Market_Order,-300Shares,2.8,-840,-300Shares,-,-33.49,5.84,Filled,2018-12-12 09:30:00
2018-12-12,09:30:00,Stock,光线传媒(300251.XSHE),Sell,Market_Order,-300Shares,7.83,-2349,-300Shares,-,144,7.35,Filled,2018-12-12 09:30:00
2018-12-12,09:30:00,Stock,中文传媒(600373.XSHG),Sell,Market_Order,-200Shares,12.88,-2576,-200Shares,-,192,7.58,Filled,2018-12-12 09:30:00
2018-12-12,09:30:00,Stock,泸州老窖(000568.XSHE),Buy,Market_Order,300Shares,42.7,12810,300Shares,-,0,5,Filled,2018-12-12 09:30:00
2018-12-12,09:30:00,Stock,五粮液(000858.XSHE),Buy,Market_Order,400Shares,53.49,21396,400Shares,-,0,6.42,Filled,2018-12-12 09:30:00
2018-12-12,09:30:00,Stock,洋河Shares份(002304.XSHE),Buy,Market_Order,200Shares,101.33,20266,200Shares,-,0,6.08,Filled,2018-12-12 09:30:00
2018-12-12,09:30:00,Stock,北新建材(000786.XSHE),Buy,Market_Order,1200Shares,15.59,18708,1200Shares,-,0,5.61,Filled,2018-12-12 09:30:00
2018-12-13,09:30:00,Stock,北新建材(000786.XSHE),Sell,Market_Order,-900Shares,15.62,-14058,-900Shares,-,77.14,19.06,Filled,2018-12-13 09:30:00
2018-12-13,09:30:00,Stock,泸州老窖(000568.XSHE),Sell,Market_Order,-300Shares,43.39,-13017,-300Shares,-,540.6,18.02,Filled,2018-12-13 09:30:00
2018-12-13,09:30:00,Stock,五粮液(000858.XSHE),Sell,Market_Order,-200Shares,53.15,-10630,-200Shares,-,-68,15.63,Filled,2018-12-13 09:30:00
