Date,Security_Type,Symbol,Side,Quantity,Available_Qty,Close_Price,Market_Value,Floating_PnL,Avg_Open_Price,Avg_Position_Price,Margin,Daily_PnL,Today_Lots,PnL_Ratio,Position_Weight
2018-11-06,Stock,龙蟒佰利(002601.XSHE),Long,200Shares,200Shares,13.64,2728,164,12.82,-,0,22,0Shares,6.4%,106710.88,2.56%
2018-11-06,,Cash,,,,,91948.88,,,,,,,,0
2018-11-07,Stock,三七互娱(002555.XSHE),Long,100Shares,100Shares,12.31,1231,165,10.66,-,0,8,0Shares,15.48%,106852.88,1.15%
2018-11-07,Stock,中文传媒(600373.XSHG),Long,200Shares,200Shares,11.65,2330,150,10.9,-,0,84,0Shares,6.88%,106852.88,2.18%
2018-11-07,Stock,美锦能源(000723.XSHE),Long,200Shares,200Shares,3.8,760,50,3.55,-,0,-26,0Shares,7.04%,106852.88,0.71%
2018-11-07,Stock,信维通信(300136.XSHE),Long,300Shares,300Shares,26.19,7857,27,26.1,-,0,78,0Shares,0.34%,106852.88,7.35%
2018-11-07,Stock,龙蟒佰利(002601.XSHE),Long,200Shares,200Shares,13.63,2726,162,12.82,-,0,-2,0Shares,6.32%,106852.88,2.55%
2018-11-07,,Cash,,,,,91948.88,,,,,,,,0
2018-11-08,Stock,三七互娱(002555.XSHE),Long,100Shares,100Shares,12,1200,134,10.66,-,0,-31,0Shares,12.57%,106518.88,1.13%
2018-11-08,Stock,中文传媒(600373.XSHG),Long,200Shares,200Shares,11.41,2282,102,10.9,-,0,-48,0Shares,4.68%,106518.88,2.14%
2018-11-08,Stock,美锦能源(000723.XSHE),Long,200Shares,200Shares,3.75,750,40,3.55,-,0,-10,0Shares,5.63%,106518.88,0.7%
2018-11-08,Stock,信维通信(300136.XSHE),Long,300Shares,300Shares,25.48,7644,-186,26.1,-,0,-213,0Shares,-2.38%,106518.88,7.18%
2018-11-08,Stock,龙蟒佰利(002601.XSHE),Long,200Shares,200Shares,13.47,2694,130,12.82,-,0,-32,0Shares,5.07%,106518.88,2.53%
2018-11-08,,Cash,,,,,91948.88,,,,,,,,0
2018-11-09,Stock,三七互娱(002555.XSHE),Long,100Shares,100Shares,11.98,1198,132,10.66,-,0,-2,0Shares,12.38%,106822.88,1.12%
2018-11-09,Stock,中文传媒(600373.XSHG),Long,200Shares,200Shares,11.34,2268,88,10.9,-,0,-14,0Shares,4.04%,106822.88,2.12%
2018-11-09,Stock,美锦能源(000723.XSHE),Long,200Shares,200Shares,3.85,770,60,3.55,-,0,20,0Shares,8.45%,106822.88,0.72%
2018-11-09,Stock,信维通信(300136.XSHE),Long,300Shares,300Shares,26.3,7890,60,26.1,-,0,246,0Shares,0.77%,106822.88,7.39%
2018-11-09,Stock,龙蟒佰利(002601.XSHE),Long,200Shares,200Shares,13.74,2748,184,12.82,-,0,54,0Shares,7.18%,106822.88,2.57%
2018-11-09,,Cash,,,,,91948.88,,,,,,,,0
2018-11-12,Stock,三七互娱(002555.XSHE),Long,100Shares,100Shares,12.66,1266,200,10.66,-,0,68,0Shares,18.76%,107420.88,1.18%
2018-11-12,Stock,中文传媒(600373.XSHG),Long,200Shares,200Shares,12.14,2428,248,10.9,-,0,160,0Shares,11.38%,107420.88,2.26%
2018-11-12,Stock,美锦能源(000723.XSHE),Long,200Shares,200Shares,3.9,780,70,3.55,-,0,10,0Shares,9.86%,107420.88,0.73%
2018-11-12,Stock,信维通信(300136.XSHE),Long,300Shares,300Shares,27.48,8244,414,26.1,-,0,354,0Shares,5.29%,107420.88,7.67%
2018-11-12,Stock,龙蟒佰利(002601.XSHE),Long,200Shares,200Shares,13.77,2754,190,12.82,-,0,6,0Shares,7.41%,107420.88,2.56%
2018-11-12,,Cash,,,,,91948.88,,,,,,,,0
2018-11-13,Stock,三七互娱(002555.XSHE),Long,100Shares,100Shares,12.86,1286,220,10.66,-,0,20,0Shares,20.64%,107330.88,1.2%
2018-11-13,Stock,中文传媒(600373.XSHG),Long,200Shares,200Shares,12.3,2460,280,10.9,-,0,32,0Shares,12.84%,107330.88,2.29%
2018-11-13,Stock,美锦能源(000723.XSHE),Long,200Shares,200Shares,3.91,782,72,3.55,-,0,2,0Shares,10.14%,107330.88,0.73%
2018-11-13,Stock,信维通信(300136.XSHE),Long,300Shares,300Shares,27.1,8130,300,26.1,-,0,-114,0Shares,3.83%,107330.88,7.57%
2018-11-13,Stock,龙蟒佰利(002601.XSHE),Long,200Shares,200Shares,13.62,2724,160,12.82,-,0,-30,0Shares,6.24%,107330.88,2.54%
2018-11-13,,Cash,,,,,91948.88,,,,,,,,0
