metric,value
Cumulative NAV,1.92
Annual Return,100.47%
Max Drawdown,-8.37%
Max Drawdown Start,2014-10-13 00:00:00
Max Drawdown End,2014-12-09 00:00:00
Return / Drawdown Ratio,12.0
Winning Periods,91.0
Losing Periods,139.0
Win Rate,39.39%
Average Return per Period,0.29%
Profit / Loss Ratio,3.59
Best Period Return,6.79%
Worst Period Return,-6.02%
Max Consecutive Winning Periods,8.0
Max Consecutive Losing Periods,35.0
Return Std Dev,1.27%
