period_end_date,return
2014-07-31,10.26%
2014-08-31,6.09%
2014-09-30,9.67%
2014-10-31,0.33%
2014-11-30,4.71%
2014-12-31,-7.67%
2015-01-31,14.12%
2015-02-28,7.15%
2015-03-31,15.35%
2015-04-30,14.63%
2015-05-31,34.44%
2015-06-30,8.19%
