metric,value
Cumulative NAV,2.93
Annual Return,213.48%
Max Drawdown,-10.64%
Max Drawdown Start,2014-12-04 00:00:00
Max Drawdown End,2014-12-30 00:00:00
Return / Drawdown Ratio,20.07
Winning Periods,150.0
Losing Periods,80.0
Win Rate,64.94%
Average Return per Period,0.48%
Profit / Loss Ratio,1.17
Best Period Return,6.82%
Worst Period Return,-6.21%
Max Consecutive Winning Periods,10.0
Max Consecutive Losing Periods,4.0
Return Std Dev,1.67%
