Price,Adj Close,Close,High,Low,Open,Volume
Ticker,2828.HK,2828.HK,2828.HK,2828.HK,2828.HK,2828.HK
Date,,,,,,
2024-04-24,59.040283203125,61.70000076293945,61.81999969482422,60.400001525878906,60.400001525878906,22665717
2024-04-25,59.212520599365234,61.880001068115234,62.63999938964844,61.400001525878906,61.70000076293945,75185444
2024-04-26,60.80096435546875,63.540000915527344,63.939998626708984,62.41999816894531,62.540000915527344,72759652
2024-04-29,60.82010269165039,63.560001373291016,64.5999984741211,63.279998779296875,63.540000915527344,25641899
2024-04-30,60.72441101074219,63.459999084472656,64.19999694824219,63.2400016784668,63.97999954223633,25981222
2024-05-02,62.44682312011719,65.26000213623047,65.26000213623047,63.34000015258789,63.36000061035156,62178834
2024-05-03,63.51853942871094,66.37999725341797,66.9000015258789,65.80000305175781,65.83999633789062,33282971
2024-05-06,63.63336944580078,66.5,66.5999984741211,65.91999816894531,66.37999725341797,71169128
2024-05-07,63.13579177856445,65.9800033569336,66.80000305175781,65.94000244140625,66.80000305175781,55200512
2024-05-08,62.580787658691406,65.4000015258789,66.63999938964844,65.27999877929688,65.9800033569336,45021971
2024-05-09,63.49940490722656,66.36000061035156,66.5,65.4000015258789,65.62000274658203,35241569
2024-05-10,65.10698699951172,68.04000091552734,68.19999694824219,66.77999877929688,66.77999877929688,28864868
2024-05-13,65.54714965820312,68.5,68.5999984741211,67.33999633789062,67.72000122070312,55731865
2024-05-14,65.26008605957031,68.19999694824219,69.19999694824219,68.19999694824219,68.69999694824219,63813800
2024-05-16,66.50404357910156,69.5,69.77999877929688,68.26000213623047,68.26000213623047,100386313
2024-05-17,67.2695541381836,70.30000305175781,70.54000091552734,69.54000091552734,70.08000183105469,40116941
2024-05-20,67.61404418945312,70.66000366210938,70.76000213623047,70.22000122070312,70.5,63200305
2024-05-21,66.06387329101562,69.04000091552734,70.12000274658203,68.9000015258789,70.0,61776656
2024-05-22,66.08301544189453,69.05999755859375,69.72000122070312,68.9000015258789,69.12000274658203,35982108
2024-05-23,64.83905029296875,67.76000213623047,68.94000244140625,67.4800033569336,68.94000244140625,67087337
