"Date","AssetType","Security","Side","Quantity","AvailableQuantity","CloseOrSettlementPrice","MarketValue","UnrealizedPnL","AverageOpenPrice","AverageHoldingPriceFutures","Margin","DailyPnL","TodayQuantity","PnLRatio","PositionRatio"
"2011-07-25","Equity","600123.XSHG","Long","400 shares","0 shares","43.86","17544","-412","44.89","-","0","-412","400 shares","-2.29%","99078.27"
"2011-07-25","","Cash","","","","","7419.27","","","","","","","","0"
"2011-07-26","Equity","600216.XSHG","Long","500 shares","500 shares","34.9","17450","1150","32.6","-","0","75","0 shares","7.06%","98761.27"
"2011-07-26","Equity","002001.XSHE","Long","600 shares","600 shares","29.5","17700","-60","29.6","-","0","-240","0 shares","-0.34%","98761.27"
"2011-07-26","Equity","601898.XSHG","Long","1800 shares","1800 shares","10.71","19278","-90","10.76","-","0","-126","0 shares","-0.46%","98761.27"
"2011-07-26","Equity","002028.XSHE","Long","1300 shares","1300 shares","15.18","19734","-364","15.46","-","0","338","0 shares","-1.81%","98761.27"
"2011-07-26","Equity","600123.XSHG","Long","400 shares","400 shares","42.95","17180","-776","44.89","-","0","-364","0 shares","-4.32%","98761.27"
"2011-07-26","","Cash","","","","","7419.27","","","","","","","","0"
"2011-07-27","Equity","600216.XSHG","Long","500 shares","500 shares","35.11","17555","1255","32.6","-","0","105","0 shares","7.7%","101335.27"
"2011-07-27","Equity","002001.XSHE","Long","600 shares","600 shares","29.6","17760","0","29.6","-","0","60","0 shares","0%","101335.27"
"2011-07-27","Equity","601898.XSHG","Long","1800 shares","1800 shares","10.74","19332","-36","10.76","-","0","54","0 shares","-0.19%","101335.27"
"2011-07-27","Equity","002028.XSHE","Long","1300 shares","1300 shares","16.49","21437","1339","15.46","-","0","1703","0 shares","6.66%","101335.27"
"2011-07-27","Equity","600123.XSHG","Long","400 shares","400 shares","44.58","17832","-124","44.89","-","0","652","0 shares","-0.69%","101335.27"
"2011-07-27","","Cash","","","","","7419.27","","","","","","","","0"
"2011-07-28","Equity","600216.XSHG","Long","500 shares","500 shares","35.04","17520","1220","32.6","-","0","-35","0 shares","7.48%","101499.27"
"2011-07-28","Equity","002001.XSHE","Long","600 shares","600 shares","29.28","17568","-192","29.6","-","0","-192","0 shares","-1.08%","101499.27"
"2011-07-28","Equity","601898.XSHG","Long","1800 shares","1800 shares","10.9","19620","252","10.76","-","0","288","0 shares","1.3%","101499.27"
"2011-07-28","Equity","002028.XSHE","Long","1300 shares","1300 shares","16.12","20956","858","15.46","-","0","-481","0 shares","4.27%","101499.27"
"2011-07-28","Equity","600123.XSHG","Long","400 shares","400 shares","46.04","18416","460","44.89","-","0","584","0 shares","2.56%","101499.27"
"2011-07-28","","Cash","","","","","7419.27","","","","","","","","0"
"2011-07-29","Equity","600216.XSHG","Long","500 shares","500 shares","35.33","17665","1365","32.6","-","0","145","0 shares","8.37%","100554.27"
"2011-07-29","Equity","002001.XSHE","Long","600 shares","600 shares","29.2","17520","-240","29.6","-","0","-48","0 shares","-1.35%","100554.27"
"2011-07-29","Equity","601898.XSHG","Long","1800 shares","1800 shares","10.67","19206","-162","10.76","-","0","-414","0 shares","-0.84%","100554.27"
"2011-07-29","Equity","002028.XSHE","Long","1300 shares","1300 shares","15.68","20384","286","15.46","-","0","-572","0 shares","1.42%","100554.27"
"2011-07-29","Equity","600123.XSHG","Long","400 shares","400 shares","45.9","18360","404","44.89","-","0","-56","0 shares","2.25%","100554.27"
"2011-07-29","","Cash","","","","","7419.27","","","","","","","","0"
"2011-08-01","Equity","600216.XSHG","Long","500 shares","500 shares","35.18","17590","1290","32.6","-","0","-75","0 shares","7.91%","101684.27"
"2011-08-01","Equity","002001.XSHE","Long","600 shares","600 shares","29.39","17634","-126","29.6","-","0","114","0 shares","-0.71%","101684.27"
"2011-08-01","Equity","601898.XSHG","Long","1800 shares","1800 shares","10.83","19494","126","10.76","-","0","288","0 shares","0.65%","101684.27"
"2011-08-01","Equity","002028.XSHE","Long","1300 shares","1300 shares","15.95","20735","637","15.46","-","0","351","0 shares","3.17%","101684.27"
"2011-08-01","Equity","600123.XSHG","Long","400 shares","400 shares","47.03","18812","856","44.89","-","0","452","0 shares","4.77%","101684.27"
"2011-08-01","","Cash","","","","","7419.27","","","","","","","","0"
"2011-08-02","Equity","600216.XSHG","Long","500 shares","500 shares","34.61","17305","1005","32.6","-","0","-285","0 shares","6.17%","101512.27"
"2011-08-02","Equity","002001.XSHE","Long","600 shares","600 shares","28.83","17298","-462","29.6","-","0","-336","0 shares","-2.6%","101512.27"
"2011-08-02","Equity","601898.XSHG","Long","1800 shares","1800 shares","10.91","19638","270","10.76","-","0","144","0 shares","1.39%","101512.27"
