group_id,final_nav,group_label
1.0,11.165451308745483,Group 1
2.0,6.504666920958718,Group 2
3.0,3.7567766783858745,Group 3
4.0,2.9068434810412738,Group 4
5.0,2.1076134388732974,Group 5
6.0,1.2847439786641004,Group 6
7.0,1.0512668530072413,Group 7
8.0,0.9812912936836964,Group 8
9.0,0.5855361254542012,Group 9
10.0,0.4133300176602773,Group 10
