factor_name,"Volume Contraction Factor ((15, 80))",Turnover Rate (15),Long-Term Low Volume (30),Oversold (39),Oversold (270),"Net Capital Inflow ((6,))",Turnover Rate (30),Rolling PE (None)
"Volume Contraction Factor ((15, 80))",1.0,0.4356133962133641,0.11950210752598178,0.5251893538203696,0.16012386504020265,0.08508707311017077,0.2671621071038639,0.004817617120770194
Turnover Rate (15),0.4356133962133641,1.0,0.17691184092391862,0.35248517009532476,0.286202720777224,0.08589675788793498,0.9354269132666242,0.04681431801164503
Long-Term Low Volume (30),0.11950210752598178,0.17691184092391862,1.0,0.139975939963786,0.17533816268900482,0.10437159611532369,0.18825254833705693,0.00048824147800045204
Oversold (39),0.5251893538203696,0.35248517009532476,0.139975939963786,1.0,0.40269100673800573,0.178135107721215,0.30200656063149517,0.009691187842597242
Oversold (270),0.16012386504020265,0.286202720777224,0.17533816268900482,0.40269100673800573,1.0,0.11707234518093833,0.29263186924849327,0.01695440657394952
"Net Capital Inflow ((6,))",0.08508707311017077,0.08589675788793498,0.10437159611532369,0.178135107721215,0.11707234518093833,1.0,0.06425384644741325,0.0042860747663887215
Turnover Rate (30),0.2671621071038639,0.9354269132666242,0.18825254833705693,0.30200656063149517,0.29263186924849327,0.06425384644741325,1.0,0.04925125527794629
Rolling PE (None),0.004817617120770194,0.04681431801164503,0.00048824147800045204,0.009691187842597242,0.01695440657394952,0.0042860747663887215,0.04925125527794629,1.0
