factor_name,"Volume Contraction Factor ((15, 80))",Turnover Rate (15),Long-Term Low Volume (30),Oversold (39),Oversold (270),"Net Capital Inflow ((6,))",Turnover Rate (30),Rolling PE (None)
"Volume Contraction Factor ((15, 80))",1.0,0.39401768135530557,0.19142169235456472,0.588075367549284,0.17517389217758786,0.13249367530607023,0.2474212907797736,0.018008890594408185
Turnover Rate (15),0.39401768135530557,1.0,0.28526591177941296,0.28734539765056566,0.2903706251388614,0.09081900596931618,0.9640501895708226,0.28558990961667097
Long-Term Low Volume (30),0.19142169235456472,0.28526591177941296,1.0,0.17902915171129724,0.2640573761467953,0.05037599360694055,0.2951032175824873,-0.03033893033540758
Oversold (39),0.588075367549284,0.28734539765056566,0.17902915171129724,1.0,0.3436930382139065,0.2878257949732625,0.2377384691038335,0.037675917491668744
Oversold (270),0.17517389217758786,0.2903706251388614,0.2640573761467953,0.3436930382139065,1.0,0.12459721887864667,0.2850619038281331,0.08000454082926643
"Net Capital Inflow ((6,))",0.13249367530607023,0.09081900596931618,0.05037599360694055,0.2878257949732625,0.12459721887864667,1.0,0.053447069454288565,0.02263897336320614
Turnover Rate (30),0.2474212907797736,0.9640501895708226,0.2951032175824873,0.2377384691038335,0.2850619038281331,0.053447069454288565,1.0,0.2928039917021414
Rolling PE (None),0.018008890594408185,0.28558990961667097,-0.03033893033540758,0.037675917491668744,0.08000454082926643,0.02263897336320614,0.2928039917021414,1.0
