Date,Order_Time,Security_Type,Symbol,Trade_Side,Order_Type,Filled_Qty,Filled_Price,Turnover,Order_Qty,Order_Price,Realized_PnL,Commission,Status,Last_Updated
2024-01-09,09:30:00,Stock,中航沈飞(600760.XSHG),Buy,Market_Order,1200Shares,38.58,46296,1200Shares,-,0,13.89,FIlled,2024-01-09 09:30:00
2024-01-09,09:30:00,Stock,华友钴业(603799.XSHG),Buy,Market_Order,1600Shares,29.91,47856,1600Shares,-,0,14.36,FIlled,2024-01-09 09:30:00
2024-01-12,11:25:00,Stock,华友钴业(603799.XSHG),Sell,Market_Order,-1600Shares,30.9,-49440,-1600Shares,-,1584,64.27,FIlled,2024-01-12 11:25:00
2024-01-15,14:50:00,Stock,中航沈飞(600760.XSHG),Sell,Market_Order,-1200Shares,37.3,-44760,-1200Shares,-,-1536,58.19,FIlled,2024-01-15 14:50:00
2024-01-18,09:30:00,Stock,中航沈飞(600760.XSHG),Buy,Market_Order,2800Shares,35.5,99400,2800Shares,-,0,29.82,FIlled,2024-01-18 09:30:00
2024-02-05,09:30:00,Stock,东方精工(002611.XSHE),Buy,Market_Order,100Shares,3.96,396,100Shares,-,0,5,FIlled,2024-02-05 09:30:00
2024-02-05,11:25:00,Stock,中航沈飞(600760.XSHG),Sell,Market_Order,-2800Shares,34.43,-96404,-2800Shares,-,-2996,125.33,FIlled,2024-02-05 11:25:00
2024-02-06,09:30:00,Stock,盛弘股份(300693.XSHE),Buy,Market_Order,1000Shares,22.9,22900,1000Shares,-,0,6.87,FIlled,2024-02-06 09:30:00
2024-02-06,09:30:00,Stock,和而泰(002402.XSHE),Buy,Market_Order,2700Shares,8.91,24057,2700Shares,-,0,7.22,FIlled,2024-02-06 09:30:00
2024-02-06,09:30:00,Stock,三夫户外(002780.XSHE),Buy,Market_Order,2500Shares,9.47,23675,2500Shares,-,0,7.1,FIlled,2024-02-06 09:30:00
2024-02-06,09:30:00,Stock,科华数据(002335.XSHE),Buy,Market_Order,1300Shares,18.43,23959,1300Shares,-,0,7.19,FIlled,2024-02-06 09:30:00
2024-02-06,11:25:00,Stock,东方精工(002611.XSHE),Sell,Market_Order,-100Shares,3.77,-377,-100Shares,-,-19,5.38,FIlled,2024-02-06 11:25:00
