year,most_frequently_selected_stocks
2014,sz002353_12 sz300182_9 sh600887_8 sz002595_8 sz300105_8 sz002345_7 sz002375_7 sh600801_6 sz002589_6 sz300113_6 sz300171_6 sz002303_5 sz002384_5 sz002412_5 sz002437_5 sz300206_5 sh600048_4 sh600373_4 sz000883_4 sz000895_4
2015,sz002595_7 sh600016_6 sz002588_6 sz002050_5 sz002635_5 sz002658_5 sh601699_4 sz002552_4 sz300099_4 sz300316_4 sh600077_3 sh600444_3 sh600486_3 sh600547_3 sh600600_3 sh600809_3 sh600887_3 sz000538_3 sz000895_3 sz002216_3
