,gross_return,funding_return,turnover,cost_return,net_return,nav,signal_spread_return
2021-01-01,0.0,-0.0,0.0,0.0,0.0,1.0,0.11542858475270079
2021-01-02,0.0023299183338904568,3.305476190476191e-05,0.09523809523809523,3.809523809523809e-05,0.0023248778576999804,1.0023248778577,0.2188790000034454
2021-01-03,0.0034353079092366325,0.0001294625238095238,0.09523809523809523,3.809523809523809e-05,0.003526675194950918,1.0058597521417232,0.24579765003986298
2021-01-04,-0.008237121669923173,0.00011942450000000001,0.09523809523809523,3.809523809523809e-05,-0.008155792408018411,0.9976561688116744,0.47337629354367194
2021-01-05,-0.0018497757229830533,2.612566666666662e-05,0.09523809523809523,3.809523809523809e-05,-0.0018617452944116248,0.9957987871339485,0.6824309100945282
2021-01-06,-0.005674504176772715,4.531052380952372e-05,0.09523809523809523,3.809523809523809e-05,-0.00566728889105843,0.9901553077298949,0.3018564960094088
2021-01-07,-0.0033994229799406512,5.001514285714268e-05,0.09523809523809523,3.809523809523809e-05,-0.0033875030751787465,0.9868011535800553,-0.32302002105692085
2021-01-08,-0.01548866581587599,0.00011944559523809519,0.09523809523809523,3.809523809523809e-05,-0.015407315458733133,0.9715971969118057,1.0253670446955765
2021-01-09,-0.008897348586117865,0.00012110221428571422,0.09523809523809525,3.80952380952381e-05,-0.00881434160992739,0.9630332073109772,-0.07850179738002971
2021-01-10,-0.011165174462468681,0.00015442845238095205,0.09523809523809525,3.80952380952381e-05,-0.011048841248182967,0.9523928062866698,0.698525190933805
2021-01-11,-0.007159112067011359,7.965261904761874e-06,0.09523809523809522,3.809523809523809e-05,-0.007189242043201835,0.9455458238820706,-0.3270403490632523
2021-01-12,0.03837936622282045,0.00020952447619047623,0.09523809523809523,3.809523809523809e-05,0.038550795460915686,0.9819973675374714,0.5559672837619503
2021-01-13,-0.0013677514546521308,0.0001229850238095238,0.09523809523809523,3.809523809523809e-05,-0.0012828616689378452,0.9807376007556596,-0.7730507266652228
2021-01-14,-0.013231332939872362,-2.4285380952381e-05,0.09523809523809525,3.80952380952381e-05,-0.013293713558919982,0.9676999560147515,-0.13556307592499417
2021-01-15,-0.012726940496610353,-0.00013096185714285723,0.09523809523809526,3.8095238095238106e-05,-0.012895997591848448,0.9552204997123533,0.09756052092837453
2021-01-16,-0.01549506469598951,-2.769185714285733e-05,0.09523809523809525,3.80952380952381e-05,-0.015560851791227605,0.940356455088387,0.08406716867435726
2021-01-17,-0.0035105911663821663,-0.0002335935714285716,0.09523809523809523,3.809523809523809e-05,-0.003782279975905976,0.9367997636980924,0.08701091408481443
2021-01-18,-0.005033439609808848,-0.0002387590714285717,0.09523809523809523,3.809523809523809e-05,-0.005310293919332658,0.9318250816092941,0.24545567782767275
2021-01-19,0.009320905205062827,5.363238095237464e-06,0.09523809523809526,3.8095238095238106e-05,0.009288173205062826,0.9404800343641031,0.0747354132946183
2021-01-20,0.03004931820066422,2.8919738095237977e-05,0.09523809523809522,3.809523809523809e-05,0.03004014270066422,0.9687321888035264,0.08691802989349601
2021-01-21,-0.017593642362288553,-0.00023845133333333336,0.09523809523809523,3.809523809523809e-05,-0.017870188933717123,0.951420761563434,0.8701073855601493
2021-01-22,0.03154803665225716,-0.0001589918809523809,0.09523809523809523,3.809523809523809e-05,0.03135094953320954,0.9812487058440571,-0.16808929866500488
2021-01-23,0.01911321445820763,7.50474047619048e-05,0.17142857142857143,6.857142857142858e-05,0.01911969043439811,1.0000098773389494,0.2250774572101779
