,mean_bar_return,hit_rate
Q01,-0.0003972340044585468,0.5257352941176471
Q02,-0.00012384628326189974,0.5246848739495799
Q03,-3.1771211922852454e-05,0.532563025210084
Q04,-3.212358251613503e-05,0.5330882352941176
Q05,-4.1736854746579737e-05,0.5367647058823529
Q06,-0.00022727474306708604,0.5346638655462185
Q07,-0.00023941877107303203,0.5252100840336135
Q08,-0.0003337766375740676,0.5252100840336135
Q09,-0.0004772032490322653,0.5273109243697479
Q10,-2.220165031476655e-05,0.5183823529411765
