date,symbol,side,shares,price,notional,fees,slippage_rate
2019-10-16,598,buy,2500,0.9814975192554556,2453.743798138639,48.31,0.0015280808729139
2019-10-16,956,sell,1000,0.9984891985643348,998.489198564335,46.13,0.0015108014356651
2019-10-16,2233,sell,6500,0.858686512514814,5581.462331346291,51.71,0.001527311029286
2019-10-16,3339,buy,5000,1.0917032222654586,5458.5161113272925,51.7,0.0015625892343655
2019-10-16,3988,sell,500,1.547674751109806,773.8373755549029,46.09,0.0015001605743187
2019-10-17,598,sell,500,1.0084801793263332,504.2400896631666,46.06,0.0015047729442247
2019-10-17,956,sell,7500,1.0683243573943664,8012.432680457748,55.02,0.0015660211267605
2019-10-17,2233,buy,3500,0.871320753880266,3049.622638580931,49.38,0.0015181079083518
2019-10-17,3339,buy,1000,1.1116833905325445,1111.6833905325443,47.14,0.0015165680473372
2019-10-17,3988,buy,1000,1.582370739921955,1582.3707399219554,47.2,0.0015004683050349
2019-10-18,598,buy,2500,1.011533089397341,2528.8327234933527,48.32,0.0015179102943971
2019-10-18,956,sell,10000,1.1482090218014915,11482.090218014917,58.46,0.0015573723465289
2019-10-18,2233,buy,500,0.8813211852079886,440.6605926039943,46.05,0.0015013468272597
2019-10-18,3339,buy,2500,1.111680401998097,2779.201004995243,48.35999999999999,0.0015138756739613
2019-10-18,3988,buy,2000,1.5723562970117566,3144.712594023513,49.39,0.0015008261221377
2019-10-21,598,buy,5500,0.9514459023888444,5232.952463138644,51.67,0.001522002514573
2019-10-21,956,buy,5000,1.0817395445920304,5408.697722960152,51.7,0.0016106894370651
2019-10-21,2233,buy,2500,0.8412740481651376,2103.185120412844,48.27,0.0015167240061162
2019-10-21,3339,sell,2500,1.08834182541611,2720.8545635402747,48.33,0.0015212610861377
2019-10-21,3988,sell,4000,1.5676406002168024,6270.562400867209,52.79,0.0015028024096799
2019-10-22,598,buy,11000,0.9014065860947632,9915.472447042395,56.260000000000005,0.0015628734386259
2019-10-22,956,buy,500,1.0816361283440716,540.8180641720359,46.06,0.0015149336519179
2019-10-22,2233,sell,1500,0.8487140758873929,1273.0711138310894,47.15,0.0015128518971848
2019-10-22,3339,sell,7000,1.1382364583533018,7967.655208473113,54.01,0.0015469663567526
2019-10-22,3988,sell,1000,1.587614161202791,1587.614161202791,47.2,0.0015005275454145
2019-10-23,598,sell,5000,0.9384974282498592,4692.487141249297,50.61000000000001,0.001598480585256
2019-10-23,956,sell,1500,1.1082626086956522,1662.3939130434785,47.2,0.0015652173913043
2019-10-23,2233,buy,3500,0.8512888731596828,2979.51105605889,48.38,0.0015163213643328
2019-10-23,3339,sell,3000,1.178172718446602,3534.518155339806,49.46,0.0015485436893203
2019-10-23,3988,buy,3000,1.5823732324382958,4747.119697314887,50.61000000000001,0.0015020458470226
2019-10-24,598,buy,5000,0.9114513142227952,4557.256571113976,50.57999999999999,0.0015948507942805
2019-10-24,956,sell,3000,1.1182678723404256,3354.8036170212768,49.43,0.0015465425531914
2019-10-24,2233,buy,3500,0.8312529813957139,2909.385434884998,48.35999999999999,0.0015096161394143
2019-10-24,3339,sell,1000,1.1782155745721272,1178.2155745721273,47.15,0.0015122249388753
2019-10-24,3988,sell,1000,1.5776296212470515,1577.6296212470515,47.2,0.001500239717056
2019-10-25,598,buy,7000,0.9014358728458768,6310.051109921137,52.81,0.0015954142731963
2019-10-25,956,sell,3500,1.1681315650969528,4088.460477839335,50.52,0.0015969529085872
2019-10-25,2233,sell,7500,0.878633446191052,6589.75084643289,52.84,0.0015529020556227
2019-10-25,3339,sell,500,1.2081755532009817,604.0877766004908,46.080000000000005,0.0015078072719161
