date,equity
2019-10-16,1033827.0625872748
2019-10-17,1056165.2585883604
2019-10-18,1037478.3618912592
2019-10-21,1023522.183549155
2019-10-22,1050313.5535214476
2019-10-23,1027400.0619777064
2019-10-24,1067391.3487845478
2019-10-25,1052659.0390559817
2019-10-28,1047468.2011754462
2019-10-29,1024887.6491176764
2019-10-30,1000961.8932790884
2019-10-31,984552.794221972
2019-11-01,1000531.519137642
2019-11-04,1025270.9053046488
2019-11-05,1078266.3797123411
2019-11-06,1078537.186307607
2019-11-07,1113064.2976841338
2019-11-08,1125010.1396306849
2019-11-11,1089984.9813764656
2019-11-12,1095915.0084264108
2019-11-13,1079390.2995931546
2019-11-14,1057500.8409872823
2019-11-15,1065664.7581524348
2019-11-18,1066745.2741401254
2019-11-19,1083583.9822329197
2019-11-20,1076901.6699757774
2019-11-21,1051360.376145855
2019-11-22,1067019.9251988295
2019-11-25,1101457.6887950092
2019-11-26,1086861.9280539523
2019-11-27,1077991.565094645
2019-11-28,1049083.2784217033
2019-11-29,1010850.6131439968
2019-12-02,1043035.5032197871
2019-12-03,1057955.5374932175
