date,selected_symbols
2019-10-16,"00598,00956,02233,03339,03988"
2019-10-17,"00598,00956,02233,03339,03988"
2019-10-18,"00598,00956,02233,03339,03988"
2019-10-21,"00598,00956,02233,03339,03988"
2019-10-22,"00598,00956,02233,03339,03988"
2019-10-23,"00598,00956,02233,03339,03988"
2019-10-24,"00598,00956,02233,03339,03988"
2019-10-25,"00598,00956,02233,03339,03988"
2019-10-28,"00598,00956,02233,03339,03988"
2019-10-29,"00598,00956,02233,03339,03988"
2019-10-30,"00598,00956,02233,03339,03988"
2019-10-31,"00321,00956,02233,02899,03339"
2019-11-01,"00321,00956,02233,02899,03339"
2019-11-04,"00321,00956,02233,02899,03339"
2019-11-05,"00321,00956,02233,02899,03339"
2019-11-06,"00321,00956,02233,02899,03339"
2019-11-07,"00321,00956,02233,02899,03339"
2019-11-08,"00321,00956,02233,02899,03339"
2019-11-11,"00321,00956,02233,02899,03339"
2019-11-12,"00321,00956,02233,02899,03339"
2019-11-13,"00321,00956,02233,02899,03339"
2019-11-14,"00321,00956,02233,02899,03339"
2019-11-15,"00321,00956,02233,02899,03339"
2019-11-18,"00321,00956,02233,02899,03339"
2019-11-19,"00321,00956,02233,02899,03339"
2019-11-20,"00321,00956,02233,02899,03339"
2019-11-21,"00215,00321,00598,00775,00956,02899,03339"
2019-11-22,"00215,00321,00598,00775,00956,02899,03339"
2019-11-25,"00215,00598,00775,02899,03339"
2019-11-26,"00215,00598,00775,02899,03339"
2019-11-27,"00215,00598,00775,02899,03339"
2019-11-28,"00215,00598,00775,02899,03339"
2019-11-29,"00215,00598,00775,02899,03339"
2019-12-02,"00215,00598,00775,02899,03339"
2019-12-03,"00215,00598,00775,02899,03339"
