date,turnover_hkd,trading_cost_hkd,trade_count,cash
2019-10-16,15266.04881493146,243.94,5,102677.06258727482
2019-10-17,14260.349539156345,244.8,5,105205.2585883603
2019-10-18,20375.49713313102,250.58,5,107543.36189125912
2019-10-21,21736.25227091912,252.76,5,103537.18354915496
2019-10-22,21284.63099472143,250.68,5,103658.55352144752
2019-10-23,17616.02996300636,246.26,5,105575.06197770633
2019-10-24,13577.29081883943,242.72,5,103976.3487845478
2019-10-25,18398.557930311665,248.35,5,107894.0390559816
2019-10-28,9010.79547967256,237.14,5,107223.2011754461
2019-10-29,12516.11277114925,196.59,4,106312.64911767644
2019-10-30,23614.18332195858,253.99,5,103671.8932790886
2019-10-31,674025.8151499081,1448.0118952128262,6,154687.79422197217
2019-11-01,82257.10456267314,334.93935779310345,5,99731.51913764195
2019-11-04,98707.08383299332,338.53000000000003,5,685.905304648637
2019-11-05,21349.927210213245,205.7,4,1056.379712341068
2019-11-06,34578.244222234425,267.38,5,952.186307607078
2019-11-07,33885.16598750244,265.31,5,959.2976841337376
2019-11-08,50207.40109692718,284.39,5,1300.1396306848303
2019-11-11,27556.586148956,258.48,5,434.9813764656742
2019-11-12,110382.05704994524,352.03,5,110465.00842641092
2019-11-13,109619.76883325634,349.94000000000005,5,495.2995931545811
2019-11-14,109060.37139412784,349.83000000000004,5,109205.84098728244
2019-11-15,23678.08996250032,253.0,5,107149.7581524348
2019-11-18,34553.53586640119,267.38,5,108515.2741401254
2019-11-19,12778.648146379855,241.63,5,109013.98223291976
2019-11-20,108003.5922571424,348.72,5,661.669975777364
2019-11-21,848410.3115611606,1784.2040316898938,8,155.3761458551162
2019-11-22,344774.3893916681,852.358429097458,7,26054.925198829696
2019-11-25,99384.66490752704,390.5876884440659,6,108032.68879500924
2019-11-26,26572.199876156214,165.37,3,112826.92805395224
2019-11-27,38836.21091025041,225.94,4,109061.56509464496
2019-11-28,9835.007642998682,238.26,5,108723.27842170336
2019-11-29,24239.75895342956,255.08,5,105405.61314399687
2019-12-02,13696.581619161563,151.73,3,99385.5032197872
2019-12-03,36292.808375484114,268.58000000000004,5,104680.5374932177
