Date,Return
2021-03-31,54.82%
2021-06-30,7.19%
2021-09-30,15.14%
2021-12-31,-2.24%
2022-03-31,8.34%
2022-06-30,16.82%
2022-09-30,-0.35%
2022-12-31,8.4%
2023-03-31,5.38%
2023-06-30,2.78%
2023-09-30,13.11%
2023-12-31,4.79%
2024-03-31,39.26%
2024-06-30,16.25%
2024-09-30,1.99%
2024-12-31,18.01%
2025-03-31,5.82%
2025-06-30,16.58%
2025-09-30,36.45%
2025-12-31,20.68%
2026-03-31,28.08%
