Index,Date,Equity,Turnover,Fee,Funding Fee,Margin Ratio,Net Value,Return,Liquidated
0,2021-01-01,270.0,0.0,0.0,0.0,10000.0,1.0,,0.0
1,2021-01-02,270.0,0.0,0.0,0.0,10000.0,1.0,0.0,0.0
2,2021-01-03,270.0,0.0,0.0,0.0,10000.0,1.0,0.0,0.0
3,2021-01-04,269.99258260733103,18.543481672482336,0.007417392668992935,0.0,10000.0,0.9999725281753001,-2.747182469986509e-05,0.0
4,2021-01-05,270.79684999334467,6.944101444419225,0.00277764057776769,-0.041141353766000005,13.972709430396764,1.002951296271647,0.0029788499307898952,0.0
5,2021-01-06,269.0715664112474,6.447707779614818,0.0025790831118459273,-0.0423309589701,9.998510269667294,0.996561357078694,-0.006371136082785611,0.0
6,2021-01-07,268.01838104762646,6.636438214213679,0.0026545752856854715,-0.030582608703399992,8.073219186407083,0.9926606705467647,-0.003914145881959263,0.0
7,2021-01-08,268.31306798613025,0.0,0.0,-0.00935112729781,6.51224268846302,0.9937521036523342,0.0010995027182536532,0.0
8,2021-01-09,269.3562727812875,23.065850138946068,0.009226340055578429,0.001943035581439999,5.817858429245278,0.9976158251158795,0.0038880133680674334,0.0
9,2021-01-10,267.6817851530727,6.8782345272388525,0.002751293810895541,0.024351357656400008,3.4659264989429497,0.9914140190854546,-0.006216627557712018,0.0
10,2021-01-11,261.73076847117267,12.795862442470998,0.005118344976988399,0.0006412478621699994,3.0567249688113356,0.9693732165598987,-0.022231683334362873,0.0
11,2021-01-12,263.0137276052852,23.21235272327992,0.009284941089311969,-0.006540986837,3.4361540592136657,0.974124917056612,0.004901827712525453,0.0
12,2021-01-13,267.37477576632006,11.902002727964994,0.004760801091185998,-0.0133772295314,2.825337173200025,0.9902769472826669,0.01658106670226589,0.0
13,2021-01-14,270.4868596607412,12.995037218247981,0.005198014887299192,-0.04067989412644,2.5778055184128745,1.001803183928671,0.011639407215963349,0.0
14,2021-01-15,269.3643917918862,20.43526183276387,0.008174104733105548,-0.0005003158724671969,2.1388518852291227,0.9976458955255044,-0.004149805540508811,0.0
15,2021-01-16,264.3285755260384,15.36319896613324,0.0061452795864532965,-0.027721706480191195,1.9543121200605917,0.9789947241705125,-0.018695181766038904,0.0
16,2021-01-17,268.3732007766254,12.960314821236238,0.005184125928494496,-0.051424952994438895,1.977607397845313,0.9939748176912053,0.01530150587214374,0.0
17,2021-01-18,268.75868287192145,6.215976545647336,0.0024863906182589343,-0.011305099138347893,1.8444056435014493,0.9954025291552646,0.0014363658300473592,0.0
18,2021-01-19,266.84033069389227,0.0,0.0,-0.04044238902669799,1.688607114763696,0.9882975210884899,-0.007137824004530446,0.0
19,2021-01-20,265.6713714515803,0.0,0.0,-0.0317254538634004,1.791402689862737,0.9839680424132603,-0.00438074424234236,0.0
20,2021-01-21,267.8445837380258,16.61972937193259,0.006647891748773036,-0.000285938163187199,1.7457768548796935,0.9920169768075029,0.00818007704244339,0.0
21,2021-01-22,268.4319464691562,0.0,0.0,0.024108515429400002,1.9876830345661065,0.994192394330208,0.0021929236833284627,0.0
22,2021-01-23,272.8724868822067,18.15208998788169,0.007260835995152677,-0.009624949991200005,1.8723880087106226,1.0106388403044693,0.01654251839790155,0.0
23,2021-01-24,274.0278901120621,11.228419851173957,0.004491367940469583,0.0089406571681,1.6009495104857199,1.0149181115261559,0.0042342239888557565,0.0
24,2021-01-25,274.31534102706405,29.258670814517743,0.011703468325807098,0.025940973453430504,1.5568893657015501,1.0159827445446816,0.0010489841558989355,0.0
25,2021-01-26,276.2440780457601,5.264439383988612,0.002105775753595445,-0.0018995225787586975,1.5405650768816497,1.0231262149842966,0.007031094256247705,0.0
26,2021-01-27,282.82370602683915,13.818953649918184,0.005527581459967274,-0.031070687916080003,1.5171427770643777,1.0474952075068116,0.02381816843867024,0.0
27,2021-01-28,282.53661101722497,10.364829163817975,0.00414593166552719,0.001536516818710002,1.7090704040222557,1.0464318926563887,-0.0010151023535026615,0.0
28,2021-01-29,288.0929124064264,24.94565095296416,0.009978260381185666,-0.0012498708865327922,1.7078327267905924,1.0670107866904683,0.019665774885587295,0.0
29,2021-01-30,288.4868206181605,22.626194212856912,0.009050477685142765,0.04502344887221953,1.5244252973865022,1.068469705993187,0.0013672957395713947,0.0
30,2021-01-31,287.4175665930678,6.967351705364203,0.0027869406821456814,0.0188837390951358,1.5664806980158088,1.0645095059002512,-0.003706422438298884,0.0
31,2021-02-01,285.1169448231655,5.896962855214614,0.0023587851420858457,0.014498678045362,1.542549499530689,1.0559886845302426,-0.008004457755219851,0.0
32,2021-02-02,284.93514748225067,38.351382216050624,0.01534055288642025,0.0034128031521642177,1.502994268254404,1.055315361045373,-0.0006376237688278108,0.0
33,2021-02-03,285.29190526986537,18.99290378111291,0.007597161512445165,0.07801254796747974,1.3119188881918222,1.0566366861846865,0.001252066622061454,0.0
34,2021-02-04,285.9523379994636,27.26900368279784,0.010907601473119137,0.11866337753962855,1.3771753770630593,1.0590827333313468,0.002314936797710887,0.0
35,2021-02-05,290.0482238246954,13.917843116989488,0.005567137246795795,0.10330677254545623,1.297737254325864,1.0742526808322053,0.014323666153201575,0.0
36,2021-02-06,292.14980612979883,50.75446328146976,0.020301785312587906,0.07575050130632227,1.1651895919952096,1.082036318999255,0.0072456306657944225,0.0
37,2021-02-07,288.4565537191883,11.405193027494029,0.004562077210997612,0.01665748377494884,1.2101362846443802,1.068357606367364,-0.01264163909446403,0.0
38,2021-02-08,295.45593097989,19.768386797232765,0.007907354718893107,0.0006956824601408087,1.2771750984634345,1.0942812258514445,0.024264927145720483,0.0
39,2021-02-09,301.97363068430883,32.88032084116728,0.013152128336466914,0.12420351944640079,1.0854896351053536,1.118420854386329,0.022059803243084763,0.0
40,2021-02-10,297.6150091175894,44.04336790174309,0.017617347160697235,-0.04174784014301024,0.972340998036824,1.1022778115466274,-0.014433782038657639,0.0
41,2021-02-11,289.42641525410755,19.617027362262867,0.007846810944905146,0.020222548404204302,1.0016458462814732,1.0719496861263242,-0.027514048729466056,0.0
42,2021-02-12,275.3204006030664,52.066168123816425,0.02082646724952657,-0.05910591329612894,0.9053691335012389,1.0197051874187644,-0.04873782732877552,0.0
43,2021-02-13,279.2028725271391,30.390504552101845,0.01215620182084074,0.05376048052272535,1.0330740138052614,1.0340847130634783,0.014101649988771392,0.0
44,2021-02-14,261.76913495486247,49.19142588442327,0.019676570353769306,-0.03416219630764821,0.975067272559825,0.9695153146476387,-0.062441111061928956,0.0
45,2021-02-15,271.3264859598683,18.00439573246561,0.007201758292986245,0.018833295070084046,1.311722552646579,1.0049129109624753,0.03651061079700568,0.0
46,2021-02-16,264.72290926347307,20.94933615778173,0.008379734463112692,0.011189092329157702,1.3537220155204646,0.9804552194943447,-0.024338120449368894,0.0
47,2021-02-17,262.9641773442456,18.548736013398205,0.007419494405359282,0.014866715380538006,1.2379584820824028,0.9739413975712801,-0.006643671014800678,0.0
48,2021-02-18,261.51637440889806,11.42309614734747,0.004569238458938988,0.08214018646708524,1.2448316076453234,0.9685791644774002,-0.00550570404672357,0.0
49,2021-02-19,262.3706665611732,27.700719934297496,0.011080287973718999,0.10119746573240361,1.2226399874928868,0.9717432094858267,0.0032666870447637386,0.0
50,2021-02-20,267.13441757373846,35.096830804338765,0.014038732321735506,0.14416478694760249,1.2373652523022876,0.9893867317545869,0.018156568624848823,0.0
51,2021-02-21,265.6885546484905,18.30057454678566,0.007320229818714265,0.013309954879734609,1.6003704674731294,0.9840316838832981,-0.005412492101841804,0.0
52,2021-02-22,266.84566608169285,5.264126321871718,0.0021056505287486873,-0.011683969840582398,1.7126142143906473,0.9883172817840477,0.004355142187939753,0.0
53,2021-02-23,265.39039099318467,10.674880606094739,0.004269952242437896,-0.015721775522814202,1.8781686588045345,0.9829273740488321,-0.0054536208508728645,0.0
54,2021-02-24,263.0033666119903,11.554948365468936,0.004621979346187575,0.002039342528204006,2.1529623341581945,0.9740865430073715,-0.008994388878441617,0.0
55,2021-02-25,267.06652361519707,18.86473785622589,0.007545895142490357,0.006532762846667962,1.866153433088623,0.989135272648878,0.0154490684113604,0.0
56,2021-02-26,268.97442522272576,14.551768086042639,0.005820707234417056,0.005137639371179996,1.6911992011995276,0.9962015748989843,0.007143918982065012,0.0
57,2021-02-27,272.12713027934797,29.64185611632655,0.011856742446530621,0.006422089413945,1.5369549376161336,1.0078782602938814,0.011721207523769595,0.0
