date,W-42,returns_momentum,price_vs_ma,trend_compression_score,avg_amount_level,bbi_upturn_score,obv_bottom_rising_score
2018-01-31,0.5913513513513513,0.5956756756756757,0.5967567567567568,0.6,0.49513513513513513,0.5956756756756757,0.6
2018-02-01,0.5945945945945946,0.5956756756756757,0.5967567567567568,0.6,0.49513513513513513,0.5956756756756757,0.6
2018-02-02,0.5913513513513513,0.5978378378378378,0.5967567567567568,0.6,0.49513513513513513,0.5967567567567568,0.601081081081081
2018-02-05,0.5891891891891892,0.5978378378378378,0.5967567567567568,0.6,0.4918918918918919,0.5967567567567568,0.601081081081081
2018-02-06,0.5902702702702702,0.5967567567567568,0.5956756756756757,0.6,0.4918918918918919,0.5956756756756757,0.6
2018-02-07,0.5881081081081081,0.5967567567567568,0.5956756756756757,0.6,0.4908108108108108,0.5956756756756757,0.6
2018-02-08,0.587027027027027,0.5967567567567568,0.5956756756756757,0.6,0.4908108108108108,0.5956756756756757,0.6
2018-02-09,0.5913513513513513,0.5956756756756757,0.5967567567567568,0.5989189189189189,0.4908108108108108,0.5956756756756757,0.6
2018-02-12,0.585945945945946,0.5956756756756757,0.5989189189189189,0.5989189189189189,0.4918918918918919,0.5956756756756757,0.601081081081081
2018-02-13,0.5913513513513513,0.5945945945945946,0.5967567567567568,0.5967567567567568,0.4908108108108108,0.5945945945945946,0.601081081081081
2018-02-14,0.587027027027027,0.5978378378378378,0.5967567567567568,0.5978378378378378,0.4897297297297297,0.5967567567567568,0.6
2018-02-15,0.587027027027027,0.5967567567567568,0.5967567567567568,0.5978378378378378,0.3881081081081081,0.5967567567567568,0.6
2018-02-20,0.5805405405405405,0.5967567567567568,0.5967567567567568,0.5989189189189189,0.3848648648648649,0.5967567567567568,0.6
2018-02-21,0.5891891891891892,0.5978378378378378,0.5967567567567568,0.5978378378378378,0.3848648648648649,0.5967567567567568,0.6
2018-02-22,0.5924324324324325,0.6,0.5967567567567568,0.5978378378378378,0.38594594594594595,0.5967567567567568,0.6
2018-02-23,0.5935135135135136,0.6,0.5967567567567568,0.6,0.3891891891891892,0.5967567567567568,0.6
2018-02-26,0.5924324324324325,0.6,0.5967567567567568,0.6,0.5070270270270271,0.5967567567567568,0.6
2018-02-27,0.5891891891891892,0.6,0.5967567567567568,0.6,0.505945945945946,0.5967567567567568,0.6
2018-02-28,0.5935135135135136,0.601081081081081,0.5967567567567568,0.601081081081081,0.5070270270270271,0.5967567567567568,0.6
2018-03-01,0.5891891891891892,0.601081081081081,0.5967567567567568,0.601081081081081,0.5070270270270271,0.5967567567567568,0.6
2018-03-02,0.5913513513513513,0.6,0.5967567567567568,0.6021621621621621,0.5081081081081081,0.5967567567567568,0.6
2018-03-05,0.5881081081081081,0.6,0.5967567567567568,0.6021621621621621,0.5081081081081081,0.5967567567567568,0.6
2018-03-06,0.5891891891891892,0.601081081081081,0.5967567567567568,0.6021621621621621,0.5091891891891892,0.5967567567567568,0.6
2018-03-07,0.5902702702702702,0.601081081081081,0.5967567567567568,0.6043243243243244,0.5243243243243243,0.5967567567567568,0.6
2018-03-08,0.5891891891891892,0.601081081081081,0.5967567567567568,0.6043243243243244,0.5243243243243243,0.5967567567567568,0.6
2018-03-09,0.5902702702702702,0.6,0.5967567567567568,0.6043243243243244,0.5232432432432432,0.5967567567567568,0.6
2018-03-12,0.5924324324324325,0.6,0.5978378378378378,0.6043243243243244,0.5254054054054054,0.5967567567567568,0.5989189189189189
2018-03-13,0.5935135135135136,0.6,0.5978378378378378,0.6043243243243244,0.5254054054054054,0.5967567567567568,0.5978378378378378
2018-03-14,0.5881081081081081,0.6,0.601081081081081,0.6043243243243244,0.5232432432432432,0.5978378378378378,0.5978378378378378
2018-03-15,0.5956756756756757,0.6,0.601081081081081,0.6043243243243244,0.5243243243243243,0.5978378378378378,0.5967567567567568
2018-03-16,0.5945945945945946,0.601081081081081,0.6021621621621621,0.6043243243243244,0.5210810810810811,0.601081081081081,0.5967567567567568
2018-03-19,0.5902702702702702,0.601081081081081,0.6021621621621621,0.6043243243243244,0.5221621621621622,0.601081081081081,0.5989189189189189
2018-03-20,0.5913513513513513,0.6021621621621621,0.6021621621621621,0.6043243243243244,0.52,0.6021621621621621,0.5989189189189189
2018-03-21,0.5978378378378378,0.6021621621621621,0.6043243243243244,0.6043243243243244,0.5210810810810811,0.6021621621621621,0.6
2018-03-22,0.5967567567567568,0.6021621621621621,0.6032432432432432,0.6032432432432432,0.5232432432432432,0.601081081081081,0.601081081081081
2018-03-23,0.5924324324324325,0.6032432432432432,0.6032432432432432,0.6032432432432432,0.5275675675675676,0.6032432432432432,0.601081081081081
2018-03-26,0.5956756756756757,0.6032432432432432,0.6032432432432432,0.6032432432432432,0.5264864864864864,0.6032432432432432,0.601081081081081
2018-03-27,0.5945945945945946,0.6032432432432432,0.6032432432432432,0.6032432432432432,0.5264864864864864,0.6032432432432432,0.601081081081081
2018-03-28,0.5924324324324325,0.6032432432432432,0.6032432432432432,0.6032432432432432,0.5264864864864864,0.6032432432432432,0.6021621621621621
2018-03-29,0.5956756756756757,0.6032432432432432,0.6032432432432432,0.6054054054054054,0.5254054054054054,0.6032432432432432,0.6021621621621621
2018-04-03,0.5935135135135136,0.601081081081081,0.601081081081081,0.6032432432432432,0.5221621621621622,0.601081081081081,0.6021621621621621
2018-04-04,0.5913513513513513,0.601081081081081,0.601081081081081,0.6043243243243244,0.5210810810810811,0.601081081081081,0.6021621621621621
2018-04-06,0.585945945945946,0.601081081081081,0.601081081081081,0.6043243243243244,0.39135135135135135,0.601081081081081,0.6021621621621621
2018-04-09,0.5891891891891892,0.6032432432432432,0.601081081081081,0.6043243243243244,0.39135135135135135,0.601081081081081,0.6021621621621621
2018-04-10,0.5935135135135136,0.6032432432432432,0.601081081081081,0.6054054054054054,0.3924324324324324,0.601081081081081,0.6021621621621621
2018-04-11,0.5956756756756757,0.6032432432432432,0.601081081081081,0.6054054054054054,0.5232432432432432,0.601081081081081,0.601081081081081
2018-04-12,0.5945945945945946,0.6032432432432432,0.601081081081081,0.6054054054054054,0.5264864864864864,0.601081081081081,0.601081081081081
2018-04-13,0.5924324324324325,0.6032432432432432,0.601081081081081,0.6064864864864865,0.5275675675675676,0.601081081081081,0.601081081081081
2018-04-16,0.5956756756756757,0.6032432432432432,0.601081081081081,0.6064864864864865,0.5275675675675676,0.601081081081081,0.601081081081081
2018-04-17,0.5913513513513513,0.6032432432432432,0.6021621621621621,0.6043243243243244,0.5264864864864864,0.601081081081081,0.601081081081081
2018-04-18,0.5935135135135136,0.6032432432432432,0.6021621621621621,0.6043243243243244,0.5254054054054054,0.601081081081081,0.601081081081081
2018-04-19,0.5891891891891892,0.6054054054054054,0.6021621621621621,0.6043243243243244,0.5254054054054054,0.6021621621621621,0.6
