,W-42,returns_momentum,price_vs_ma,trend_compression_score,avg_amount_level,bbi_upturn_score,obv_bottom_rising_score
W-42,1.0,-0.041270874587936116,-0.051006622259012646,-0.014586499423132985,-0.3126445203465903,-0.05020394518525058,-0.0023019736443754663
returns_momentum,-0.041270874587936116,1.0,0.7949809492097811,0.15915918062034148,0.12659948386901257,0.7409670318583519,0.025474971294313736
price_vs_ma,-0.051006622259012646,0.7949809492097811,1.0,0.2191237920660866,0.1175824922450819,0.9570372225739037,0.0772957877311633
trend_compression_score,-0.014586499423132985,0.15915918062034148,0.2191237920660866,1.0,-0.017162518024673754,0.2218661008727035,0.0067090317142252005
avg_amount_level,-0.3126445203465903,0.12659948386901257,0.1175824922450819,-0.017162518024673754,1.0,0.11344910876132713,-0.0061675945408943
bbi_upturn_score,-0.05020394518525058,0.7409670318583519,0.9570372225739037,0.2218661008727035,0.11344910876132713,1.0,0.1314628949432674
obv_bottom_rising_score,-0.0023019736443754663,0.025474971294313736,0.0772957877311633,0.0067090317142252005,-0.0061675945408943,0.1314628949432674,1.0
