,mean,std,median,p05,p95,coverage
count,921.0,921.0,921.0,921.0,921.0,925.0
mean,-0.0015225761601063586,0.013696450193137262,-0.0008828535015992619,-0.017773049711653846,0.014129064435733713,0.7203892104285031
std,0.0024641577603055752,0.0234350521296331,0.0017610437234780168,0.009476646475903662,0.005284857379783921,0.29982898961883137
min,-0.022177976345857893,0.0,-0.019470492623155776,-0.13896223139412975,-0.0003606745825837216,0.0
25%,-0.00212543831344149,0.007588811841286926,-0.0015526429588928236,-0.020761354540282995,0.010560129839941621,0.5324165029469549
50%,-0.0009890970584171023,0.009721570625905148,-0.0006350893173421799,-0.01604077884851614,0.013668949283115656,0.9194499017681729
75%,-0.00033760327265112646,0.012693353790926776,-4.490399651694932e-05,-0.012138366448562416,0.016787318153067766,0.9332023575638507
max,0.018784454165697594,0.45594294801679947,0.022766738274257164,0.0,0.04786751868629554,0.944007858546169
