date,q1,q2,q3,q4,q5
2018-01-02,,,,,
2018-01-03,,,,,
2018-01-04,,,,,
2018-01-05,,,,,
2018-01-08,,,,,
2018-01-09,,,,,
2018-01-10,,,,,
2018-01-11,,,,,
2018-01-12,,,,,
2018-01-15,,,,,
2018-01-16,,,,,
2018-01-17,,,,,
2018-01-18,,,,,
2018-01-19,,,,,
2018-01-22,,,,,
2018-01-23,,,,,
2018-01-24,,,,,
2018-01-25,,,,,
2018-01-26,,,,,
2018-01-29,,,,,
2018-01-30,,,,,
2018-01-31,-0.02622494452412835,-0.041904233687281946,-0.053386914305073974,-0.06561473217423226,-0.058617580334075
2018-02-01,-0.03501609118016755,-0.04685690069331638,-0.07319135228948635,-0.06697268581401564,-0.06473343866341318
2018-02-02,-0.03251429564051428,-0.04858437654915235,-0.05239837895415283,-0.036908926318878765,-0.0414001675980531
2018-02-05,-0.0007046913587999575,-0.04081941732769585,-0.0372647650921367,-0.04033150165127545,-0.0501001887544608
2018-02-06,0.14862330950358374,0.06456000396690799,0.02439553248391458,0.03075378869975578,0.0335973960943458
2018-02-07,0.20355488750805642,0.058976351637347886,0.05148850671563276,0.05930790879704375,0.0488159464465847
2018-02-08,0.19116618952489467,0.08094753333331339,0.06761367147336447,0.050945755260625135,0.0734674494393001
2018-02-09,0.3108962731583246,0.15740215052869186,0.12112537216905159,0.09436491782858349,0.08889904434776291
2018-02-12,0.23604188719649785,0.12930592386105966,0.10620951056445006,0.09476953336936236,0.08587894515712523
2018-02-13,0.1431939925187247,0.10966965826314655,0.09410373359992859,0.06248693750510236,0.1414790984264409
2018-02-14,0.11043418521154862,0.0803350241665037,0.06914481050534871,0.066485199205438,0.11405256838689397
2018-02-15,0.06587325641052823,0.05349976852601455,0.04486878756125564,0.04184115233974956,0.09009268960681276
2018-02-20,0.049593521832642214,0.02990807286765618,0.049272332450390026,0.039653997314889396,0.07979470621877473
2018-02-21,0.027019364179711305,0.02125217821470918,0.024841479491005763,-0.008246955593184904,0.05752995955069568
2018-02-22,0.028722270323684466,0.0437504611305489,0.00965132252277641,-0.0054470846328794256,0.03387145116579451
2018-02-23,-0.01594206729452725,-0.02482996970245487,-0.01881136484930803,-0.04591779482369933,-0.03649348507691572
2018-02-26,-0.011068366085015576,-0.018404756630672824,-0.050747122825478275,-0.0162707463213402,-0.04421607628645799
2018-02-27,0.020427608606017514,-0.004139009953166868,0.007993168341117561,-0.0009435087797353743,-0.01766221231819546
2018-02-28,-0.007341909589688173,-0.00156150005698901,-0.015814507369781277,-0.04047925314109322,-0.035326685539094814
2018-03-01,-0.031600444746564246,-0.014164073677689038,-0.02033066027913482,-0.03145287411322734,-0.02489665137140186
2018-03-02,-0.004348665643477394,-0.010721346842174791,0.004930342299440461,-0.019484020457625966,-0.0002612376289258806
2018-03-05,0.024067972299253174,0.007984275749449316,-0.026487820936532857,-0.004343742276545567,0.008049663038327133
2018-03-06,0.021450215185453952,-0.030370799155135336,-0.008091131271735483,-0.006047769012899249,-0.023858729805713474
2018-03-07,0.0498888678847386,-0.016131576950019367,-0.012510440909071248,0.008009515760469255,0.0302005477811687
2018-03-08,0.024269009454018765,-0.010573280027110998,-0.0036271741051915898,0.002086283958888095,0.047694239913361476
2018-03-09,0.0018883986243645452,-0.0037783932990541514,-0.014507604671044838,0.00018183913804461493,0.033126116229942264
2018-03-12,-0.03904010390576008,-0.03797799191705687,-0.02875783725309359,-0.009745521598796327,0.03733937785975458
2018-03-13,-0.01625811719944203,-0.02890127336969801,-0.02349758997848959,-0.028036546376462437,0.025945337514741654
2018-03-14,-0.04098358995960606,-0.03181948899507784,-0.044280584678644076,-0.024240202590622862,-0.003536794661951223
2018-03-15,-0.04520243326626879,-0.06048032456197135,-0.05677574603591645,-0.054888470423671266,-0.029615324663271332
2018-03-16,-0.06749968976482502,-0.033750228616081054,-0.05926385855643722,-0.04080203876916625,-0.04836941142919403
2018-03-19,-0.039690921175850595,-0.02432268690442747,-0.02717179319472827,-0.03508138925465698,-0.013126262258364678
