date,ic_1d,ic_5d,ic_20d
2018-01-02,,,
2018-01-03,,,
2018-01-04,,,
2018-01-05,,,
2018-01-08,,,
2018-01-09,,,
2018-01-10,,,
2018-01-11,,,
2018-01-12,,,
2018-01-15,,,
2018-01-16,,,
2018-01-17,,,
2018-01-18,,,
2018-01-19,,,
2018-01-22,,,
2018-01-23,,,
2018-01-24,,,
2018-01-25,,,
2018-01-26,,,
2018-01-29,,,
2018-01-30,,,
2018-01-31,-0.04414633233968179,-0.2693109442414417,-0.13392592011029833
2018-02-01,-0.1979527407551498,-0.23929367726482886,-0.1359648381597466
2018-02-02,0.07509213559301511,-0.16715257493870908,-0.07560844434235753
2018-02-05,-0.06357445230200827,-0.10544859870721426,-0.08196886499547736
2018-02-06,-0.081154411015082,-0.06145567988357488,-0.16285041979235373
2018-02-07,-0.14525346945282105,-0.07655098361416084,-0.19126634067697285
2018-02-08,0.41332524753063954,-0.1415688471645637,-0.18346835427272842
2018-02-09,-0.20083694709043945,-0.4020319308271833,-0.37706481416020776
2018-02-12,-0.2722358065902704,-0.43765402715469276,-0.3377155767407531
2018-02-13,-0.22070481382055535,-0.2502617982439632,-0.17421778128434198
2018-02-14,-0.23404146328332226,-0.2894993022918195,-0.10449524818284464
2018-02-15,0.04123081798397658,-0.20591450075558088,-0.04955790979900471
2018-02-20,-0.25315306975309454,-0.277822557909535,0.007296020488354358
2018-02-21,-0.12641734654216424,-0.23067853254193624,-0.01585883616393835
2018-02-22,-0.1861403649684967,-0.0614813826649571,-0.08706333226699824
2018-02-23,-0.06380637096245172,-0.033396248833445746,-0.10127477727973234
2018-02-26,-0.18726028723394794,-0.14821623317445187,-0.09445610222368246
2018-02-27,-0.03685613335829086,-0.17714841484313398,-0.07621853184940376
2018-02-28,-0.12123636239442676,-0.1631983304139283,-0.12107089413183435
2018-03-01,-0.0016578833691440556,-0.05023323369079526,-0.03699794730059866
2018-03-02,-0.05353766458633058,-0.10480719109394068,-0.012691191600544743
2018-03-05,-0.3103707226986444,-0.2469225835180376,0.005623076454483993
2018-03-06,0.12614624137773803,-0.046076974570211975,-0.005723020499182636
2018-03-07,-0.11324048994105688,-0.08280598268638785,0.008992473085001514
2018-03-08,-0.07922730559113526,-0.04468506719880883,0.07738728661173833
2018-03-09,-0.15117160884406203,-0.013686050560766827,0.02633407407706588
2018-03-12,-0.025409024383924478,0.15413174037189745,0.10902573472708278
2018-03-13,0.04812130424209152,0.18812288901469904,0.06924663432064926
2018-03-14,0.084256747308304,0.023221061761475544,0.06938088284376172
2018-03-15,0.10926168994144063,-0.06714188087168907,-0.010280785698635322
2018-03-16,-0.07992472353981839,-0.15790059129526932,-0.029628683545781707
2018-03-19,-0.024069699488280125,-0.014354536590128097,0.010117343910684954
2018-03-20,-0.11880629677923124,0.019168926736822092,0.01452864733685535
2018-03-21,-0.06425134898478488,0.10114062164623981,0.04890809178603793
2018-03-22,0.052945151165670966,0.18069911825358564,0.12172238538931619
2018-03-23,0.05030943487015393,0.12239716871940413,0.09453376626281394
2018-03-26,-0.04437782994336588,0.16640377113292978,0.14598935583912623
2018-03-27,0.18461878954000807,0.2584214449031081,0.20937620583093225
2018-03-28,-0.010909259299785232,0.15095480800260713,0.11708214726845594
2018-03-29,0.06746613363783553,0.0305899713753412,0.17216694310147618
2018-04-03,0.13577308145811154,-0.011925480093286233,0.17001605620895505
2018-04-04,0.16121177081700946,-0.10453373996122438,0.12586308272567756
2018-04-06,-0.17388536239639654,-0.21521517272182486,0.052233693516088274
2018-04-09,-0.1988789588468093,-0.07619252199436513,0.06589085624471658
2018-04-10,-0.10098100645715098,-0.04046415863748695,0.12868573404400765
2018-04-11,0.05153792752562011,0.07197141263483074,0.12833506933453498
2018-04-12,0.03646016338237925,0.07987314823728857,0.09232392313818262
2018-04-13,-0.02890244219741221,0.06446045487098853,0.09242000124777214
2018-04-16,-0.006961038074624048,0.025043840356078803,0.07831229095543046
2018-04-17,0.05765589912630648,-0.03442150438832023,-0.04331113736790488
