Date,Security_Type,Symbol,Side,Quantity,Available_Qty,Close_Price,Market_Value,Floating_PnL,Avg_Open_Price,Avg_Position_Price,Margin,Daily_PnL,Today_Lots,PnL_Ratio,Position_Weight
2011-01-28,Stock,上港集团(600018.XSHG),Long,4600Shares,0Shares,4.27,19642,-322,4.34,-,0,-322,4600Shares,-1.61%,99886.64,19.66%
2011-01-28,Stock,大秦铁路(601006.XSHG),Long,2200Shares,0Shares,8.68,19096,-110,8.73,-,0,-110,2200Shares,-0.57%,99886.64,19.12%
2011-01-28,Stock,福耀玻璃(600660.XSHG),Long,1700Shares,0Shares,11.28,19176,204,11.16,-,0,204,1700Shares,1.08%,99886.64,19.2%
2011-01-28,Stock,广深铁路(601333.XSHG),Long,5400Shares,0Shares,3.66,19764,-162,3.69,-,0,-162,5400Shares,-0.81%,99886.64,19.79%
2011-01-28,Stock,健康元(600380.XSHG),Long,1700Shares,0Shares,11.82,20094,306,11.64,-,0,306,1700Shares,1.55%,99886.64,20.12%
2011-01-28,,Cash,,,,,2114.64,,,,,,,,0
2011-01-31,Stock,上港集团(600018.XSHG),Long,4600Shares,4600Shares,4.26,19596,-368,4.34,-,0,-46,0Shares,-1.84%,100330.64,19.53%
2011-01-31,Stock,大秦铁路(601006.XSHG),Long,2200Shares,2200Shares,8.66,19052,-154,8.73,-,0,-44,0Shares,-0.8%,100330.64,18.99%
2011-01-31,Stock,福耀玻璃(600660.XSHG),Long,1700Shares,1700Shares,11.31,19227,255,11.16,-,0,51,0Shares,1.34%,100330.64,19.16%
2011-01-31,Stock,广深铁路(601333.XSHG),Long,5400Shares,5400Shares,3.74,20196,270,3.69,-,0,432,0Shares,1.36%,100330.64,20.13%
2011-01-31,Stock,健康元(600380.XSHG),Long,1700Shares,1700Shares,11.85,20145,357,11.64,-,0,51,0Shares,1.8%,100330.64,20.08%
2011-01-31,,Cash,,,,,2114.64,,,,,,,,0
2011-02-01,Stock,上港集团(600018.XSHG),Long,4600Shares,4600Shares,4.3,19780,-184,4.34,-,0,184,0Shares,-0.92%,99682.64,19.84%
2011-02-01,Stock,大秦铁路(601006.XSHG),Long,2200Shares,2200Shares,8.59,18898,-308,8.73,-,0,-154,0Shares,-1.6%,99682.64,18.96%
2011-02-01,Stock,福耀玻璃(600660.XSHG),Long,1700Shares,1700Shares,11.22,19074,102,11.16,-,0,-153,0Shares,0.54%,99682.64,19.13%
2011-02-01,Stock,广深铁路(601333.XSHG),Long,5400Shares,5400Shares,3.69,19926,0,3.69,-,0,-270,0Shares,0%,99682.64,19.99%
2011-02-01,Stock,健康元(600380.XSHG),Long,1700Shares,1700Shares,11.7,19890,102,11.64,-,0,-255,0Shares,0.52%,99682.64,19.95%
2011-02-01,,Cash,,,,,2114.64,,,,,,,,0
2011-02-09,Stock,上港集团(600018.XSHG),Long,4600Shares,4600Shares,4.4,20240,276,4.34,-,0,460,0Shares,1.38%,99482.64,20.35%
2011-02-09,Stock,大秦铁路(601006.XSHG),Long,2200Shares,2200Shares,8.45,18590,-616,8.73,-,0,-308,0Shares,-3.21%,99482.64,18.69%
2011-02-09,Stock,福耀玻璃(600660.XSHG),Long,1700Shares,1700Shares,11.23,19091,119,11.16,-,0,17,0Shares,0.63%,99482.64,19.19%
2011-02-09,Stock,广深铁路(601333.XSHG),Long,5400Shares,5400Shares,3.65,19710,-216,3.69,-,0,-216,0Shares,-1.08%,99482.64,19.81%
2011-02-09,Stock,健康元(600380.XSHG),Long,1700Shares,1700Shares,11.61,19737,-51,11.64,-,0,-153,0Shares,-0.26%,99482.64,19.84%
2011-02-09,,Cash,,,,,2114.64,,,,,,,,0
2011-02-10,Stock,上港集团(600018.XSHG),Long,4600Shares,4600Shares,4.42,20332,368,4.34,-,0,92,0Shares,1.84%,102660.64,19.81%
2011-02-10,Stock,大秦铁路(601006.XSHG),Long,2200Shares,2200Shares,8.49,18678,-528,8.73,-,0,88,0Shares,-2.75%,102660.64,18.19%
2011-02-10,Stock,福耀玻璃(600660.XSHG),Long,1700Shares,1700Shares,12.07,20519,1547,11.16,-,0,1428,0Shares,8.15%,102660.64,19.99%
2011-02-10,Stock,广深铁路(601333.XSHG),Long,5400Shares,5400Shares,3.67,19818,-108,3.69,-,0,108,0Shares,-0.54%,102660.64,19.3%
2011-02-10,Stock,健康元(600380.XSHG),Long,1700Shares,1700Shares,12.47,21199,1411,11.64,-,0,1462,0Shares,7.13%,102660.64,20.65%
2011-02-10,,Cash,,,,,2114.64,,,,,,,,0
2011-02-11,Stock,上港集团(600018.XSHG),Long,4600Shares,4600Shares,4.38,20148,184,4.34,-,0,-184,0Shares,0.92%,102468.64,19.66%
2011-02-11,Stock,大秦铁路(601006.XSHG),Long,2200Shares,2200Shares,8.48,18656,-550,8.73,-,0,-22,0Shares,-2.86%,102468.64,18.21%
2011-02-11,Stock,福耀玻璃(600660.XSHG),Long,1700Shares,1700Shares,12.03,20451,1479,11.16,-,0,-68,0Shares,7.8%,102468.64,19.96%
2011-02-11,Stock,广深铁路(601333.XSHG),Long,5400Shares,5400Shares,3.66,19764,-162,3.69,-,0,-54,0Shares,-0.81%,102468.64,19.29%
2011-02-11,Stock,健康元(600380.XSHG),Long,1700Shares,1700Shares,12.55,21335,1547,11.64,-,0,136,0Shares,7.82%,102468.64,20.82%
2011-02-11,,Cash,,,,,2114.64,,,,,,,,0
2011-02-14,Stock,上港集团(600018.XSHG),Long,4600Shares,4600Shares,4.6,21160,1196,4.34,-,0,1012,0Shares,5.99%,105218.64,20.11%
2011-02-14,Stock,大秦铁路(601006.XSHG),Long,2200Shares,2200Shares,8.78,19316,110,8.73,-,0,660,0Shares,0.57%,105218.64,18.36%
2011-02-14,Stock,福耀玻璃(600660.XSHG),Long,1700Shares,1700Shares,12.24,20808,1836,11.16,-,0,357,0Shares,9.68%,105218.64,19.78%
2011-02-14,Stock,广深铁路(601333.XSHG),Long,5400Shares,5400Shares,3.74,20196,270,3.69,-,0,432,0Shares,1.36%,105218.64,19.19%
2011-02-14,Stock,健康元(600380.XSHG),Long,1700Shares,1700Shares,12.72,21624,1836,11.64,-,0,289,0Shares,9.28%,105218.64,20.55%
2011-02-14,,Cash,,,,,2114.64,,,,,,,,0
2011-02-15,Stock,上港集团(600018.XSHG),Long,4600Shares,4600Shares,4.52,20792,828,4.34,-,0,-368,0Shares,4.15%,104553.64,19.89%
2011-02-15,Stock,大秦铁路(601006.XSHG),Long,2200Shares,2200Shares,8.73,19206,0,8.73,-,0,-110,0Shares,0%,104553.64,18.37%
2011-02-15,Stock,福耀玻璃(600660.XSHG),Long,1700Shares,1700Shares,12.13,20621,1649,11.16,-,0,-187,0Shares,8.69%,104553.64,19.72%
2011-02-15,Stock,广深铁路(601333.XSHG),Long,5400Shares,5400Shares,3.74,20196,270,3.69,-,0,0,0Shares,1.36%,104553.64,19.32%
2011-02-15,Stock,健康元(600380.XSHG),Long,1700Shares,1700Shares,12.72,21624,1836,11.64,-,0,0,0Shares,9.28%,104553.64,20.68%
2011-02-15,,Cash,,,,,2114.64,,,,,,,,0
2011-02-16,Stock,上港集团(600018.XSHG),Long,4600Shares,4600Shares,4.62,21252,1288,4.34,-,0,460,0Shares,6.45%,105468.64,20.15%
2011-02-16,Stock,大秦铁路(601006.XSHG),Long,2200Shares,2200Shares,8.71,19162,-44,8.73,-,0,-44,0Shares,-0.23%,105468.64,18.17%
2011-02-16,Stock,福耀玻璃(600660.XSHG),Long,1700Shares,1700Shares,12.29,20893,1921,11.16,-,0,272,0Shares,10.13%,105468.64,19.81%
2011-02-16,Stock,广深铁路(601333.XSHG),Long,5400Shares,5400Shares,3.76,20304,378,3.69,-,0,108,0Shares,1.9%,105468.64,19.25%
2011-02-16,Stock,健康元(600380.XSHG),Long,1700Shares,1700Shares,12.79,21743,1955,11.64,-,0,119,0Shares,9.88%,105468.64,20.62%
2011-02-16,,Cash,,,,,2114.64,,,,,,,,0
2011-02-17,Stock,上港集团(600018.XSHG),Long,4600Shares,4600Shares,4.65,21390,1426,4.34,-,0,138,0Shares,7.14%,104307.64,20.51%
2011-02-17,Stock,大秦铁路(601006.XSHG),Long,2200Shares,2200Shares,8.63,18986,-220,8.73,-,0,-176,0Shares,-1.15%,104307.64,18.2%
2011-02-17,Stock,福耀玻璃(600660.XSHG),Long,1700Shares,1700Shares,12.04,20468,1496,11.16,-,0,-425,0Shares,7.89%,104307.64,19.62%
2011-02-17,Stock,广深铁路(601333.XSHG),Long,5400Shares,5400Shares,3.7,19980,54,3.69,-,0,-324,0Shares,0.27%,104307.64,19.15%
2011-02-17,Stock,健康元(600380.XSHG),Long,1700Shares,1700Shares,12.57,21369,1581,11.64,-,0,-374,0Shares,7.99%,104307.64,20.49%
2011-02-17,,Cash,,,,,2114.64,,,,,,,,0
2011-02-18,Stock,上港集团(600018.XSHG),Long,4600Shares,4600Shares,4.53,20838,874,4.34,-,0,-552,0Shares,4.38%,102515.41,20.33%
2011-02-18,Stock,山东高速(600350.XSHG),Long,4200Shares,0Shares,4.91,20622,-84,4.93,-,0,-84,4200Shares,-0.41%,102515.41,20.12%
2011-02-18,Stock,吉林敖东(000623.XSHE),Long,500Shares,0Shares,34.63,17315,-195,35.02,-,0,-195,500Shares,-1.11%,102515.41,16.89%
2011-02-18,Stock,中山公用(000685.XSHE),Long,1100Shares,0Shares,18.39,20229,-231,18.6,-,0,-231,1100Shares,-1.13%,102515.41,19.73%
2011-02-18,Stock,新和成(002001.XSHE),Long,700Shares,0Shares,26.72,18704,-476,27.4,-,0,-476,700Shares,-2.48%,102515.41,18.25%
2011-02-18,,Cash,,,,,4807.41,,,,,,,,0
2011-02-21,Stock,上港集团(600018.XSHG),Long,4600Shares,4600Shares,4.58,21068,1104,4.34,-,0,230,0Shares,5.53%,103963.41,20.26%
2011-02-21,Stock,山东高速(600350.XSHG),Long,4200Shares,4200Shares,4.95,20790,84,4.93,-,0,168,0Shares,0.41%,103963.41,20%
2011-02-21,Stock,吉林敖东(000623.XSHE),Long,500Shares,500Shares,36.04,18020,510,35.02,-,0,705,0Shares,2.91%,103963.41,17.33%
2011-02-21,Stock,中山公用(000685.XSHE),Long,1100Shares,1100Shares,18.71,20581,121,18.6,-,0,352,0Shares,0.59%,103963.41,19.8%
2011-02-21,Stock,新和成(002001.XSHE),Long,700Shares,700Shares,26.71,18697,-483,27.4,-,0,-7,0Shares,-2.52%,103963.41,17.98%
2011-02-21,,Cash,,,,,4807.41,,,,,,,,0
2011-02-22,Stock,上港集团(600018.XSHG),Long,4600Shares,4600Shares,4.43,20378,414,4.34,-,0,-690,0Shares,2.07%,100426.41,20.29%
2011-02-22,Stock,山东高速(600350.XSHG),Long,4200Shares,4200Shares,4.81,20202,-504,4.93,-,0,-588,0Shares,-2.43%,100426.41,20.12%
2011-02-22,Stock,吉林敖东(000623.XSHE),Long,500Shares,500Shares,34.82,17410,-100,35.02,-,0,-610,0Shares,-0.57%,100426.41,17.34%
2011-02-22,Stock,中山公用(000685.XSHE),Long,1100Shares,1100Shares,17.93,19723,-737,18.6,-,0,-858,0Shares,-3.6%,100426.41,19.64%
2011-02-22,Stock,新和成(002001.XSHE),Long,700Shares,700Shares,25.58,17906,-1274,27.4,-,0,-791,0Shares,-6.64%,100426.41,17.83%
2011-02-22,,Cash,,,,,4807.41,,,,,,,,0
2011-02-23,Stock,上港集团(600018.XSHG),Long,4600Shares,4600Shares,4.39,20194,230,4.34,-,0,-184,0Shares,1.15%,100533.76,20.09%
2011-02-23,Stock,山东高速(600350.XSHG),Long,4200Shares,4200Shares,4.84,20328,-378,4.93,-,0,126,0Shares,-1.83%,100533.76,20.22%
2011-02-23,Stock,吉林敖东(000623.XSHE),Long,500Shares,500Shares,34.95,17475,-35,35.02,-,0,65,0Shares,-0.2%,100533.76,17.38%
2011-02-23,Stock,中山公用(000685.XSHE),Long,1100Shares,1100Shares,18,19800,-660,18.6,-,0,77,0Shares,-3.23%,100533.76,19.69%
2011-02-23,Stock,新和成(002001.XSHE),Long,400Shares,400Shares,25.73,10292,-668,27.4,-,0,60,0Shares,-6.09%,100533.76,10.24%
2011-02-23,,Cash,,,,,12444.76,,,,,,,,0
2011-02-24,Stock,上港集团(600018.XSHG),Long,4600Shares,4600Shares,4.37,20102,138,4.34,-,0,-92,0Shares,0.69%,101305.6,19.84%
2011-02-24,Stock,山东高速(600350.XSHG),Long,4200Shares,4200Shares,4.87,20454,-252,4.93,-,0,126,0Shares,-1.22%,101305.6,20.19%
2011-02-24,Stock,吉林敖东(000623.XSHE),Long,500Shares,500Shares,35.68,17840,330,35.02,-,0,365,0Shares,1.88%,101305.6,17.61%
2011-02-24,Stock,中山公用(000685.XSHE),Long,1100Shares,1100Shares,18.35,20185,-275,18.6,-,0,385,0Shares,-1.34%,101305.6,19.92%
2011-02-24,Stock,新和成(002001.XSHE),Long,200Shares,200Shares,25.65,5130,-350,27.4,-,0,-16,0Shares,-6.39%,101305.6,5.06%
2011-02-24,,Cash,,,,,17594.6,,,,,,,,0
2011-02-25,Stock,上港集团(600018.XSHG),Long,4600Shares,4600Shares,4.41,20286,322,4.34,-,0,184,0Shares,1.61%,101602.02,19.97%
2011-02-25,Stock,山东高速(600350.XSHG),Long,4200Shares,4200Shares,4.86,20412,-294,4.93,-,0,-42,0Shares,-1.42%,101602.02,20.09%
2011-02-25,Stock,吉林敖东(000623.XSHE),Long,500Shares,500Shares,35.91,17955,445,35.02,-,0,115,0Shares,2.54%,101602.02,17.67%
2011-02-25,Stock,中山公用(000685.XSHE),Long,1100Shares,1100Shares,18.38,20218,-242,18.6,-,0,33,0Shares,-1.18%,101602.02,19.9%
2011-02-25,Stock,新和成(002001.XSHE),Long,100Shares,100Shares,25.67,2567,-173,27.4,-,0,2,0Shares,-6.31%,101602.02,2.53%
2011-02-25,,Cash,,,,,20164.02,,,,,,,,0
2011-02-28,Stock,上港集团(600018.XSHG),Long,4600Shares,4600Shares,4.57,21022,1058,4.34,-,0,736,0Shares,5.3%,103366.02,20.34%
