,0
scope,screened_universe
cross_sections,1882
sample_count,242910
factor_mean,-7.113283668916975
factor_std,835.7071824644521
factor_skew,-3.9267500200349765
factor_kurtosis,1575.0415412384946
coverage_mean,0.5430304924827749
