date,turnover_hkd,trading_cost_hkd,trade_count,cash
2020-11-05,0.0,0.0,0,1387965.963566343
2020-11-06,0.0,0.0,0,1387965.963566343
2020-11-09,0.0,0.0,0,1387965.963566343
2020-11-10,0.0,0.0,0,1387965.963566343
2020-11-11,0.0,0.0,0,1387965.963566343
2020-11-12,0.0,0.0,0,1387965.963566343
2020-11-13,0.0,0.0,0,1387965.963566343
2020-11-16,0.0,0.0,0,1387965.963566343
2020-11-17,0.0,0.0,0,1387965.963566343
2020-11-18,0.0,0.0,0,1387965.963566343
2020-11-19,0.0,0.0,0,1387965.963566343
2020-11-20,0.0,0.0,0,1387965.963566343
2020-11-23,0.0,0.0,0,1387965.963566343
2020-11-24,0.0,0.0,0,1387965.963566343
2020-11-25,0.0,0.0,0,1387965.963566343
2020-11-26,0.0,0.0,0,1387965.963566343
2020-11-27,0.0,0.0,0,1387965.963566343
2020-11-30,0.0,0.0,0,1387965.963566343
2020-12-01,0.0,0.0,0,1387965.963566343
2020-12-02,981507.167142377,1968.8657337139016,5,404489.9306902519
2020-12-03,122006.51231566402,372.2402710128096,4,301520.4995418888
2020-12-04,4184.62023598504,95.51,2,301643.6686352284
2020-12-07,29599.597521500345,170.76,3,302746.1291071026
2020-12-08,21760.42672956061,161.76,3,296300.1407296461
2020-12-09,205964.392343875,528.2816840061471,4,117694.54389151938
2020-12-10,26593.67206255037,167.37,3,97323.89217634464
2020-12-11,52217.937761087655,248.75117458135284,4,51746.77465263874
2020-12-14,44466.36625054255,232.65000000000003,4,30801.91831977959
2020-12-15,42980.29431843558,184.48,3,48560.15147031653
2020-12-16,3731.960115633272,140.47,3,47104.07866498447
2020-12-17,18474.97835082733,157.35,3,43708.40270093805
2020-12-18,36668.846230290605,223.67,4,48331.8804844926
2020-12-21,35103.77962171908,176.45,3,29276.69926303337
2020-12-22,12571.360085600803,150.6,3,28376.958939948327
2020-12-23,566242.6070379133,1195.5023698787052,4,210.34638051021105
2020-12-24,27789.460601254013,167.52,3,48.68170057054704
2020-12-28,62240.17053780297,206.91,3,56.4200436193496
2020-12-29,40417.92552712144,228.13,4,158.82040087213318
2020-12-30,4004.8569025080224,140.51,3,117.2870149186167
2020-12-31,1064.707555387781,92.14,2,218.5492309017336
2021-01-04,7904.601554087827,100.01,2,361.6595770087815
2021-01-05,111105.56761219144,244.98445408975311,2,54.81476642222697
2021-01-06,201376.558816478,468.2784683673767,4,124.342548556946
2021-01-07,145955.73862045613,378.3523384934772,4,11.859204834589036
2021-01-08,67241.78609251225,212.54,3,434.4434808408623
2021-01-11,115911.21224413242,330.71295898299775,4,210.25893108296972
2021-01-12,30815.368371671164,170.89,3,147.51189351121866
2021-01-13,111540.22471784356,277.9883281599281,3,400.1192473277588
2021-01-14,26940.55347836753,166.41,3,132.77231974000006
2021-01-15,1733107.082682624,3473.895353014611,8,662.803794801468
2021-01-18,20667.933059443458,114.62,2,179.71218312957717
2021-01-19,29306.47758562005,123.71,2,205.18914374962696
2021-01-20,4479.763523157211,96.56,2,341.78419474275233
2021-01-21,95477.7050988318,214.50216407906544,2,341.8320492815619
2021-01-22,0.0,0.0,0,341.8320492815619
2021-01-25,0.0,0.0,0,341.8320492815619
2021-01-26,106058.84732625232,281.0046092818144,3,52.557047097024736
2021-01-27,41235.03777282345,137.23000000000002,2,217.87544793980487
2021-01-28,0.0,0.0,0,217.87544793980487
2021-01-29,0.0,0.0,0,217.87544793980487
2021-02-01,0.0,0.0,0,217.87544793980487
2021-02-02,0.0,0.0,0,217.87544793980487
2021-02-03,0.0,0.0,0,217.87544793980487
2021-02-04,141703.4771258125,357.6906081564634,4,164.65262454416734
2021-02-05,1325437.7707939623,2680.545502983483,7,11.934594710386593
2021-02-08,330697.2726016105,667.5478180812885,2,58.33126735652331
2021-02-09,625329.5669952855,1347.1473435694631,7,40589.432508310565
2021-02-10,123179.36273082628,388.86733533333336,5,98254.5190788938
2021-02-11,114693.79686305778,401.4544139171597,5,412.271527467281
2021-02-16,130049.84803254924,441.0174657469705,6,227.85147768275056
2021-02-17,102806.91640645904,405.257771752747,6,644.0105910560669
2021-02-18,152677.78071085858,418.5280761957416,5,728.5163605193302
2021-02-19,60495.80567497734,251.68000000000004,4,473.9987437663294
2021-02-22,150033.63746032826,427.3329645417238,5,745.4396732060231
