date,returns
2020-11-05,0.0
2020-11-06,0.0
2020-11-09,0.0
2020-11-10,0.0
2020-11-11,0.0
2020-11-12,0.0
2020-11-13,0.0
2020-11-16,0.0
2020-11-17,0.0
2020-11-18,0.0
2020-11-19,0.0
2020-11-20,0.0
2020-11-23,0.0
2020-11-24,0.0
2020-11-25,0.0
2020-11-26,0.0
2020-11-27,0.0
2020-11-30,0.0
2020-12-01,0.0
2020-12-02,0.0018472838608525
2020-12-03,-0.0107472919629603
2020-12-04,0.0036298500493081
2020-12-07,-0.0369066542064532
2020-12-08,-0.00807068103021
2020-12-09,-0.0123251624303762
2020-12-10,0.0221430006636027
2020-12-11,-0.0225553742708952
2020-12-14,0.0220331972537317
2020-12-15,0.0124636475829529
2020-12-16,0.011341701023414
2020-12-17,0.0044782802698644
2020-12-18,0.0600173773823571
2020-12-21,-0.0304927467049526
2020-12-22,-0.0313590217650215
2020-12-23,0.0206431184961413
2020-12-24,0.0140888282937035
2020-12-28,0.0211714639188249
2020-12-29,-0.0154733538763385
2020-12-30,0.0133320742341467
2020-12-31,-0.0095984539598334
2021-01-04,0.0533049190751562
2021-01-05,-0.0051044756664871
2021-01-06,0.0496434139220902
2021-01-07,-0.0525741448269121
2021-01-08,-0.0245670980519824
2021-01-11,-0.0182909871893777
2021-01-12,0.075186259115813
2021-01-13,0.0044675813355228
2021-01-14,0.01604063787662
2021-01-15,-0.0123729849514376
2021-01-18,0.0321436909690306
2021-01-19,0.0135113053703255
2021-01-20,-0.0108408421756566
2021-01-21,0.0024943725836217
2021-01-22,-0.0248938964715774
2021-01-25,0.0270719866328927
2021-01-26,-0.028157113973957
2021-01-27,-0.004697222806637
2021-01-28,-0.0487616193445616
2021-01-29,-0.001271838144946
2021-02-01,0.0295925709651758
2021-02-02,0.0619816996384334
2021-02-03,0.0082928093487866
2021-02-04,0.0060761246417515
2021-02-05,-0.0259293739022704
2021-02-08,0.0329281498684366
2021-02-09,-0.032047787205181
2021-02-10,0.0016233806095118
2021-02-11,0.012444893826309
2021-02-16,-0.0056909334684447
2021-02-17,0.0775245948917877
2021-02-18,0.0132580878284906
2021-02-19,0.0042349716635943
2021-02-22,0.0258578175782657
2021-02-23,-0.0066287203319157
2021-02-24,-0.0571164670077785
2021-02-25,0.0437185323203526
2021-02-26,-0.0621615728916977
2021-03-01,0.0409801486988063
2021-03-02,-0.0219095791609824
2021-03-03,0.0119689873975972
2021-03-04,-0.0116450189637768
2021-03-05,-0.0105258237571246
2021-03-08,0.024175908676602
2021-03-09,-0.0146628911856834
2021-03-10,0.0016187047243803
2021-03-11,0.0193936592739774
2021-03-12,0.0233887540933741
2021-03-15,-0.0109791134550725
2021-03-16,0.00374497769387
2021-03-17,-0.0160543150625328
2021-03-18,0.0019668073046654
2021-03-19,-0.0017763045368218
2021-03-22,0.0635016995984207
2021-03-23,-0.025631219429423
