date,symbol,side,shares,price,notional,fees,slippage_rate
2020-12-02,598,buy,186000,1.4942844189731672,277936.9019290091,550.6395215432073,0.0028754489752799
2020-12-02,956,buy,264000,1.053147624723956,278030.9729271244,551.7447783416994,0.0029977378323389
2020-12-02,2232,buy,71000,1.3868796774193548,98468.4570967742,205.28476567741933,0.0049852734922861
2020-12-02,3393,buy,55000,0.89445,49194.75,110.6058,0.005
2020-12-02,3988,buy,204000,1.3621376724973993,277876.08518946945,550.5908681515755,0.0015718180127934
2020-12-03,598,buy,2500,1.4622102424530905,3655.5256061327264,49.47,0.0015138646938976
2020-12-03,956,sell,9000,1.0782956354618725,9704.660719156853,56.22999999999999,0.0015781153130812
2020-12-03,3393,buy,117000,0.8944473398804442,104650.33876601198,217.0202710128096,0.0049970111016225
2020-12-03,3988,buy,3000,1.3319957414541517,3995.987224362455,49.52,0.0015005574843244
2020-12-04,598,sell,1500,1.4677664431082331,2201.6496646623496,48.27,0.0015194264569842
2020-12-04,3988,buy,1500,1.321980380881794,1982.970571322691,47.24,0.0015002885468135
2020-12-07,598,sell,8000,1.5176700645312682,12141.360516250146,59.55,0.0015328522820603
2020-12-07,956,buy,14000,1.0116563232009348,14163.188524813087,61.790000000000006,0.0016399239613215
2020-12-07,3988,sell,2500,1.3180193921748449,3295.048480437112,49.42,0.0015004604736024
2020-12-08,598,buy,10000,1.4022327553508531,14022.32755350853,61.78000000000001,0.0015948252506095
2020-12-08,956,sell,4500,0.9984393297380586,4492.976983821263,50.56999999999999,0.0015606702619414
2020-12-08,3988,sell,2500,1.2980488768923273,3245.122192230818,49.41,0.001500863928979
2020-12-09,598,sell,9500,1.4677409047239167,13943.53859487721,60.78000000000001,0.0015367995075395
2020-12-09,956,buy,5000,0.981533132707528,4907.66566353764,50.63,0.0015644211301306
2020-12-09,2232,buy,154500,1.1740427508587958,181389.60500768395,365.1516840061471,0.0034553426143554
2020-12-09,3988,buy,4500,1.271907350616928,5723.583077776177,51.72,0.0015018508794709
2020-12-10,598,buy,14000,1.3622672076372315,19071.74090692124,67.42,0.0016670644391408
2020-12-10,956,buy,4500,0.9614968848758464,4326.735981941309,50.55,0.0015592550790067
2020-12-10,3988,sell,2500,1.278078069475126,3195.195173687815,49.400000000000006,0.0015015082225579
2020-12-11,598,sell,2500,1.377914282392622,3444.785705981555,49.43,0.0015113895705637
2020-12-11,956,buy,500,0.961447458379578,480.7237291897891,46.06,0.001507769145394
2020-12-11,3393,buy,54500,0.8743388665447898,47651.46822669104,107.17117458135284,0.0049872029250457
2020-12-11,3988,buy,500,1.2819201984505468,640.9600992252734,46.09,0.0015001550394897
2020-12-14,598,buy,16000,1.252054139786102,20032.866236577636,68.54,0.0016433118288815
2020-12-14,956,sell,5000,0.9585464434133548,4792.732217066774,50.61000000000001,0.001514121444422
2020-12-14,2232,buy,11500,1.0918626134889753,12556.420055123215,59.60000000000001,0.0017088197146562
2020-12-14,3988,sell,5500,1.2880632257772584,7084.347741774921,53.89999999999999,0.0015013753664663
2020-12-15,598,sell,8000,1.3178951140395336,10543.160912316269,57.34,0.0015946105761108
2020-12-15,956,sell,19000,1.0483338327457894,19918.34282217,67.54,0.0015868259563911
2020-12-15,3988,buy,10000,1.2518790583949322,12518.79058394932,59.60000000000001,0.0015032467159456
2020-12-16,598,sell,500,1.3479670508075372,673.9835254037686,46.09,0.0015058882907133
2020-12-16,956,sell,500,1.068390259493671,534.1951297468355,46.06,0.0015044303797468
2020-12-16,3988,buy,2000,1.2618907302413338,2523.781460482668,48.32,0.001500579556614
2020-12-17,598,buy,5500,1.3020208622398417,7161.114742319128,53.89999999999999,0.0015545094152626
2020-12-17,956,sell,7000,1.0883323133414933,7618.326193390453,53.97,0.0015299877600979
2020-12-17,3988,buy,3000,1.2318458050392502,3695.537415117751,49.48,0.0015006545034554
2020-12-18,598,sell,7500,1.3778458219720104,10333.843664790078,57.31,0.0015609985710068
2020-12-18,956,sell,9000,1.158239260236945,10424.153342132502,57.330000000000005,0.0015178791060821
2020-12-18,2232,buy,5000,1.1220808179959103,5610.404089979552,51.72,0.0018578732106339
2020-12-18,3988,buy,8500,1.2118170745162908,10300.445133388472,57.31,0.0015017144762734
2020-12-21,598,buy,6500,1.402216029143898,9114.404189435336,56.15,0.0015828779599271
2020-12-21,956,sell,6500,1.2480806461738343,8112.524200129923,55.03,0.0015354830609326
2020-12-21,3988,buy,15000,1.1917900821435876,17876.851232153815,65.27,0.0015042707088972
2020-12-22,598,buy,5000,1.332050040868584,6660.25020434292,52.85,0.0015413841117172
2020-12-22,956,sell,500,1.218167366473418,609.083683236709,46.080000000000005,0.0015021586283458
2020-12-22,3988,sell,4500,1.1782280440047057,5302.026198021174,51.67,0.0015016576231309
2020-12-23,598,sell,208000,1.2935174329501915,269051.62605363986,534.4013008429118,0.0049865900383141
2020-12-23,728,buy,307500,0.8917929635601356,274226.3362947417,544.2010690357934,0.002014565797905
2020-12-23,956,buy,20500,1.091732796048518,22380.522318994623,70.83,0.0015897211454295
2020-12-23,3988,sell,500,1.168244741074187,584.1223705370935,46.07000000000001,0.0015002213041136
2020-12-24,728,buy,3500,0.881323599560573,3084.6325984620057,49.38,0.0015040904097421
2020-12-24,956,sell,12000,1.158138163388098,13897.657960657176,60.77,0.0016050315619843
2020-12-24,2380,buy,13000,0.8313207724719102,10807.170042134832,57.370000000000005,0.0015912921348314
2020-12-28,728,sell,4500,0.9485729558309196,4268.578301239138,50.55,0.0015021517569266
2020-12-28,956,sell,20000,1.3479415569593376,26958.83113918675,75.42,0.0015247726227129
2020-12-28,2380,buy,36000,0.8614655860382525,31012.76109737709,80.94,0.0017041698119215
2020-12-29,728,sell,4500,0.9385879500816852,4223.645775367583,50.54,0.0015021807641646
2020-12-29,956,sell,5500,1.3479502763859827,7413.726520122905,53.940000000000005,0.0015183137881609
2020-12-29,2380,buy,23000,0.8714651123884489,20043.697584934325,68.54,0.0016840372281021
2020-12-29,3988,sell,7000,1.2481222352423749,8736.855646696624,55.11,0.0015022118061
2020-12-30,728,sell,1500,0.948574564343728,1422.861846515592,47.18,0.0015004585855495
2020-12-30,956,buy,1500,1.3019600961538462,1952.9401442307692,47.24,0.0015077662721893
2020-12-30,3988,sell,500,1.2581098235233223,629.0549117616612,46.09,0.0015001400608553
2020-12-31,728,buy,500,0.8713053394046641,435.6526697023321,46.05,0.0015003901203036
2020-12-31,3988,sell,500,1.258109771370898,629.054885685449,46.09,0.0015001814516683
2021-01-04,728,buy,4500,0.8512756897756422,3830.74060399039,49.49,0.0015008115007556
2021-01-04,956,sell,3000,1.3579536500324791,4073.8609500974376,50.52,0.0015046690937653
2021-01-05,728,buy,75000,0.7411161864579214,55583.71398434411,122.51697118747528,0.001508360078272
2021-01-05,956,sell,33500,1.6573687650103677,55521.85362784731,122.46748290227784,0.0015850813190557
2021-01-06,728,sell,42000,0.8786680365116675,36904.05753349004,86.7,0.0015135948731051
2021-01-06,956,buy,10000,1.61244158237671,16124.4158237671,64.05,0.0015165107929874
2021-01-06,2380,buy,89500,0.9418431336225792,84294.96045922085,178.14596836737667,0.0019607804495525
2021-01-06,3393,sell,62500,1.02485,64053.125,139.3825,0.005
2021-01-07,728,buy,20500,0.8512761802924881,17451.161695996005,65.22,0.0015013885793977
2021-01-07,956,sell,8000,1.717394225951705,13739.15380761364,60.75,0.0015149849117993
2021-01-07,2380,buy,57000,0.9718205809973072,55393.7731168465,122.3550184934772,0.0018768876260896
2021-01-07,3393,sell,58500,1.0149,59371.65,130.02732,0.005
2021-01-08,956,sell,15000,1.7473383825551505,26210.07573832725,75.33,0.0015209242541997
2021-01-08,2380,buy,35000,0.9515237402357998,33303.33090825299,83.23,0.0016039370903155
2021-01-08,3988,sell,6000,1.2880632409886692,7728.379445932015,53.98,0.0015013635746751
2021-01-11,728,buy,54500,0.7010518972856591,38207.32840206842,89.41586272165473,0.0015027104080844
2021-01-11,956,buy,12000,1.6024429317929765,19229.315181515714,67.45,0.0015268323706102
2021-01-11,2380,buy,500,0.931396667739041,465.69833386952047,46.06,0.0015017932677858
2021-01-11,3393,sell,55000,1.0547067332123412,58008.87032667876,127.787096261343,0.0049936479128856
2021-01-12,728,sell,18500,0.7289041307256177,13484.726418423928,60.71,0.0015011907868251
2021-01-12,956,buy,10500,1.4622488290115674,15353.612704621455,62.94,0.0015402938435392
2021-01-12,3988,sell,1500,1.318019499083853,1977.0292486257797,47.24,0.0015003794819296
2021-01-13,728,sell,61000,0.918613281965738,56035.41019991002,123.93832815992802,0.0015073022111543
2021-01-13,956,buy,23000,1.4823823160762943,34094.79326975477,84.33000000000001,0.0016096730245231
2021-01-13,2380,buy,22500,0.9515564999190566,21410.02124817877,69.72,0.001638420967428
2021-01-14,728,sell,14000,0.9585577339564204,13419.808275389883,60.7,0.0015023604620619
