metric,value
Cumulative NAV,1.54
Annual Return,22.45%
Max Drawdown,-21.78%
Max Drawdown Start,2019-04-03 00:00:00
Max Drawdown End,2019-08-09 00:00:00
Return / Drawdown Ratio,1.03
Winning Periods,278.0
Losing Periods,237.0
Win Rate,53.88%
Average Return per Period,0.10%
Profit / Loss Ratio,1.01
Best Period Return,5.34%
Worst Period Return,-6.73%
Max Consecutive Winning Periods,8.0
Max Consecutive Losing Periods,6.0
Return Std Dev,1.53%
