period_end_date,return
2019-03-31,35.09%
2019-06-30,-10.3%
2019-09-30,-1.17%
2019-12-31,8.68%
2020-03-31,-1.3%
2020-06-30,11.33%
2020-09-30,7.89%
2020-12-31,0.77%
2021-03-31,-0.97%
