metric,value
Cumulative NAV,1.36
Annual Return,15.46%
Max Drawdown,-11.67%
Max Drawdown Start,2020-01-21 00:00:00
Max Drawdown End,2020-02-03 00:00:00
Return / Drawdown Ratio,1.32
Winning Periods,117.0
Losing Periods,398.0
Win Rate,22.67%
Average Return per Period,0.06%
Profit / Loss Ratio,4.58
Best Period Return,4.02%
Worst Period Return,-6.76%
Max Consecutive Winning Periods,8.0
Max Consecutive Losing Periods,62.0
Return Std Dev,0.98%
