year,most_frequently_selected_stocks
2011,sz002172_8 sz002365_8 sz002376_8 sz300046_8 sh600150_7 sh600690_7 sz000625_7 sz002003_7 sz002394_7 sh600087_6 sz002093_6 sz002368_6 sz002429_6 sh600268_5 sh600415_5 sh600629_5 sh600993_5 sz000893_5 sz002101_5 sz002228_5
2012,sz002126_11 sz002266_11 sz002293_10 sh600460_8 sh601216_8 sz002165_8 sh600409_7 sh601000_7 sz000869_7 sz002066_7 sz002079_7 sh600527_6 sz000596_6 sz000988_6 sz002050_6 sz002117_6 sz300124_6 sz300164_6 sh600298_5 sh600406_5
