metric,value
Cumulative NAV,1.03
Annual Return,2.00%
Max Drawdown,-17.38%
Max Drawdown Start,2012-03-19 00:00:00
Max Drawdown End,2012-11-15 00:00:00
Return / Drawdown Ratio,0.11
Winning Periods,76.0
Losing Periods,339.0
Win Rate,18.27%
Average Return per Period,0.01%
Profit / Loss Ratio,4.75
Best Period Return,6.13%
Worst Period Return,-4.87%
Max Consecutive Winning Periods,6.0
Max Consecutive Losing Periods,61.0
Return Std Dev,0.94%
