period_end_date,return
2011-04-30,-6.25%
2011-05-31,-5.18%
2011-06-30,5.6%
2011-07-31,2.33%
2011-08-31,-1.15%
2011-09-30,-12.38%
2011-10-31,6.18%
2011-11-30,-1.25%
2011-12-31,-16.57%
2012-01-31,1.87%
2012-02-29,16.12%
2012-03-31,-1.2%
2012-04-30,6.42%
2012-05-31,3.82%
2012-06-30,-9.87%
2012-07-31,-9.78%
2012-08-31,0.67%
2012-09-30,3.16%
2012-10-31,0.21%
2012-11-30,-11.48%
2012-12-31,14.8%
