metric,value
Cumulative NAV,0.81
Annual Return,-11.83%
Max Drawdown,-34.09%
Max Drawdown Start,2011-07-15 00:00:00
Max Drawdown End,2012-01-05 00:00:00
Return / Drawdown Ratio,-0.35
Winning Periods,207.0
Losing Periods,208.0
Win Rate,49.76%
Average Return per Period,-0.04%
Profit / Loss Ratio,0.94
Best Period Return,5.99%
Worst Period Return,-4.80%
Max Consecutive Winning Periods,7.0
Max Consecutive Losing Periods,8.0
Return Std Dev,1.62%
