Date,Security_Type,Symbol,Side,Quantity,Available_Qty,Close_Price,Market_Value,Floating_PnL,Avg_Open_Price,Avg_Position_Price,Margin,Daily_PnL,Today_Lots,PnL_Ratio,Position_Weight
2014-03-06,Stock,和而泰(002402.XSHE),Long,4500Shares,4500Shares,23.36,105120,1620,23,-,0,315,0Shares,1.57%,106638.85,98.58%
2014-03-06,,Cash,,,,,1518.85,,,,,,,,0
2014-03-07,Stock,和而泰(002402.XSHE),Long,4500Shares,4500Shares,23.4,105300,1800,23,-,0,180,0Shares,1.74%,106818.85,98.58%
2014-03-07,,Cash,,,,,1518.85,,,,,,,,0
2014-03-10,,Cash,,,,,101648.51,,,,,,,,0
2014-03-11,,Cash,,,,,101648.51,,,,,,,,0
2014-03-12,Stock,阳光电源(300274.XSHE),Long,3300Shares,0Shares,31.11,102663,1485,30.66,-,0,1485,3300Shares,1.47%,103103.16,99.57%
2014-03-12,,Cash,,,,,440.16,,,,,,,,0
2014-03-13,Stock,阳光电源(300274.XSHE),Long,3300Shares,3300Shares,32.45,107085,5907,30.66,-,0,4422,0Shares,5.84%,107525.16,99.59%
2014-03-13,,Cash,,,,,440.16,,,,,,,,0
2014-03-14,Stock,阳光电源(300274.XSHE),Long,3300Shares,3300Shares,33.21,109593,8415,30.66,-,0,2508,0Shares,8.32%,110033.16,99.6%
2014-03-14,,Cash,,,,,440.16,,,,,,,,0
2014-03-17,,Cash,,,,,113977.37,,,,,,,,0
2014-03-18,,Cash,,,,,113977.37,,,,,,,,0
2014-03-19,,Cash,,,,,113977.37,,,,,,,,0
2014-03-20,,Cash,,,,,113977.37,,,,,,,,0
2014-03-21,Stock,欣旺达(300207.XSHE),Long,5500Shares,0Shares,22.25,122375,9570,20.51,-,0,9570,5500Shares,8.48%,123513.53,99.08%
2014-03-21,,Cash,,,,,1138.53,,,,,,,,0
2014-03-24,Stock,欣旺达(300207.XSHE),Long,5500Shares,5500Shares,22.75,125125,12320,20.51,-,0,2750,0Shares,10.92%,126263.53,99.1%
2014-03-24,,Cash,,,,,1138.53,,,,,,,,0
2014-03-25,Stock,欣旺达(300207.XSHE),Long,5500Shares,5500Shares,23.1,127050,14245,20.51,-,0,1925,0Shares,12.63%,128188.53,99.11%
2014-03-25,,Cash,,,,,1138.53,,,,,,,,0
2014-03-26,Stock,欣旺达(300207.XSHE),Long,5500Shares,5500Shares,23.5,129250,16445,20.51,-,0,2200,0Shares,14.58%,130388.53,99.13%
2014-03-26,,Cash,,,,,1138.53,,,,,,,,0
2014-03-27,Stock,欣旺达(300207.XSHE),Long,5500Shares,5500Shares,22.99,126445,13640,20.51,-,0,-2805,0Shares,12.09%,127583.53,99.11%
2014-03-27,,Cash,,,,,1138.53,,,,,,,,0
2014-03-28,Stock,欣旺达(300207.XSHE),Long,5500Shares,5500Shares,21.76,119680,6875,20.51,-,0,-6765,0Shares,6.09%,120818.53,99.06%
2014-03-28,,Cash,,,,,1138.53,,,,,,,,0
2014-03-31,Stock,欣旺达(300207.XSHE),Long,5500Shares,5500Shares,22.32,122760,9955,20.51,-,0,3080,0Shares,8.82%,123898.53,99.08%
2014-03-31,,Cash,,,,,1138.53,,,,,,,,0
2014-04-01,Stock,欣旺达(300207.XSHE),Long,5500Shares,5500Shares,22.8,125400,12595,20.51,-,0,2640,0Shares,11.17%,126538.53,99.1%
2014-04-01,,Cash,,,,,1138.53,,,,,,,,0
2014-04-02,Stock,欣旺达(300207.XSHE),Long,5500Shares,5500Shares,22.7,124850,12045,20.51,-,0,-550,0Shares,10.68%,125988.53,99.1%
2014-04-02,,Cash,,,,,1138.53,,,,,,,,0
2014-04-03,Stock,欣旺达(300207.XSHE),Long,5500Shares,5500Shares,23.25,127875,15070,20.51,-,0,3025,0Shares,13.36%,129013.53,99.12%
2014-04-03,,Cash,,,,,1138.53,,,,,,,,0
2014-04-04,,Cash,,,,,132912,,,,,,,,0
2014-04-08,,Cash,,,,,132912,,,,,,,,0
2014-04-09,,Cash,,,,,132912,,,,,,,,0
2014-04-10,,Cash,,,,,132912,,,,,,,,0
2014-04-11,,Cash,,,,,132912,,,,,,,,0
2014-04-14,,Cash,,,,,132912,,,,,,,,0
2014-04-15,,Cash,,,,,132912,,,,,,,,0
2014-04-16,,Cash,,,,,132912,,,,,,,,0
2014-04-17,,Cash,,,,,132912,,,,,,,,0
2014-04-18,,Cash,,,,,132912,,,,,,,,0
2014-04-21,,Cash,,,,,132912,,,,,,,,0
2014-04-22,,Cash,,,,,132912,,,,,,,,0
2014-04-23,,Cash,,,,,132912,,,,,,,,0
2014-04-24,,Cash,,,,,132912,,,,,,,,0
2014-04-25,,Cash,,,,,132912,,,,,,,,0
2014-04-28,Stock,东方财富(300059.XSHE),Long,7800Shares,0Shares,17.2,134160,1716,16.98,-,0,1716,7800Shares,1.3%,134588.27,99.68%
2014-04-28,,Cash,,,,,428.27,,,,,,,,0
2014-04-29,Stock,东方财富(300059.XSHE),Long,7800Shares,7800Shares,17.6,137280,4836,16.98,-,0,3120,0Shares,3.65%,137708.27,99.69%
2014-04-29,,Cash,,,,,428.27,,,,,,,,0
2014-04-30,Stock,东方财富(300059.XSHE),Long,7800Shares,7800Shares,18.9,147420,14976,16.98,-,0,10140,0Shares,11.31%,147848.27,99.71%
2014-04-30,,Cash,,,,,428.27,,,,,,,,0
2014-05-05,,Cash,,,,,154044.31,,,,,,,,0
2014-05-06,,Cash,,,,,154044.31,,,,,,,,0
2014-05-07,,Cash,,,,,154044.31,,,,,,,,0
2014-05-08,,Cash,,,,,154044.31,,,,,,,,0
2014-05-09,,Cash,,,,,154044.31,,,,,,,,0
2014-05-12,Stock,阳光电源(300274.XSHE),Long,3100Shares,0Shares,25.28,78368,1519,24.79,-,0,1519,3100Shares,1.98%,156549.16,50.06%
2014-05-12,Stock,桐君阁(000591.XSHE),Long,8600Shares,0Shares,9.07,78002,1032,8.95,-,0,1032,8600Shares,1.34%,156549.16,49.83%
2014-05-12,,Cash,,,,,179.16,,,,,,,,0
2014-05-13,Stock,阳光电源(300274.XSHE),Long,3100Shares,3100Shares,25.44,78864,2015,24.79,-,0,496,0Shares,2.62%,155067.16,50.86%
2014-05-13,Stock,桐君阁(000591.XSHE),Long,8600Shares,8600Shares,8.84,76024,-946,8.95,-,0,-1978,0Shares,-1.23%,155067.16,49.03%
