"Date","AssetType","Security","Side","Quantity","AvailableQuantity","CloseOrSettlementPrice","MarketValue","UnrealizedPnL","AverageOpenPrice","AverageHoldingPriceFutures","Margin","DailyPnL","TodayQuantity","PnLRatio","PositionRatio"
"2013-11-29","Equity","601098.XSHG","Long","3500 shares","3500 shares","11.44","40040","1435","11.03","-","0","-420","0 shares","3.72%","198066.19"
"2013-11-29","Equity","600252.XSHG","Long","2800 shares","2800 shares","13.77","38556","672","13.53","-","0","84","0 shares","1.77%","198066.19"
"2013-11-29","","Cash","","","","","2017.19","","","","","","","","0"
"2013-12-02","Equity","601006.XSHG","Long","5000 shares","5000 shares","7.95","39750","1418","7.666","-","0","200","0 shares","3.7%","193029.19"
"2013-12-02","Equity","600066.XSHG","Long","2300 shares","2300 shares","16.89","38847","437","16.7","-","0","-644","0 shares","1.14%","193029.19"
"2013-12-02","Equity","600062.XSHG","Long","1800 shares","1800 shares","20.48","36864","-1206","21.15","-","0","-1548","0 shares","-3.17%","193029.19"
"2013-12-02","Equity","601098.XSHG","Long","3500 shares","3500 shares","11.01","38535","-70","11.03","-","0","-1505","0 shares","-0.18%","193029.19"
"2013-12-02","Equity","600252.XSHG","Long","2800 shares","2800 shares","13.22","37016","-868","13.53","-","0","-1540","0 shares","-2.29%","193029.19"
"2013-12-02","","Cash","","","","","2017.19","","","","","","","","0"
"2013-12-03","Equity","601006.XSHG","Long","1500 shares","1500 shares","7.97","11955","455.4","7.666","-","0","30","0 shares","3.96%","193922.83"
"2013-12-03","Equity","600066.XSHG","Long","700 shares","700 shares","17.48","12236","546","16.7","-","0","413","0 shares","4.67%","193922.83"
"2013-12-03","Equity","600062.XSHG","Long","600 shares","600 shares","20.85","12510","-180","21.15","-","0","222","0 shares","-1.42%","193922.83"
"2013-12-03","Equity","601098.XSHG","Long","1100 shares","1100 shares","11.08","12188","55","11.03","-","0","77","0 shares","0.45%","193922.83"
"2013-12-03","Equity","600252.XSHG","Long","900 shares","900 shares","13.49","12141","-36","13.53","-","0","243","0 shares","-0.3%","193922.83"
"2013-12-03","","Cash","","","","","132892.83","","","","","","","","0"
"2013-12-04","Equity","600062.XSHG","Long","1800 shares","600 shares","21.1","37980","330","20.917","-","0","510","1200 shares","0.88%","200938.1"
"2013-12-04","Equity","600741.XSHG","Long","3600 shares","0 shares","11.06","39816","1620","10.61","-","0","1620","3600 shares","4.24%","200938.1"
"2013-12-04","Equity","601158.XSHG","Long","6200 shares","0 shares","6.36","39432","1054","6.19","-","0","1054","6200 shares","2.75%","200938.1"
"2013-12-04","Equity","601088.XSHG","Long","2200 shares","0 shares","17.24","37928","308","17.1","-","0","308","2200 shares","0.82%","200938.1"
"2013-12-04","Equity","000876.XSHE","Long","2900 shares","0 shares","14.41","41789","3625","13.16","-","0","3625","2900 shares","9.5%","200938.1"
"2013-12-04","","Cash","","","","","3993.1","","","","","","","","0"
"2013-12-05","Equity","600062.XSHG","Long","1800 shares","1800 shares","21.25","38250","600","20.917","-","0","270","0 shares","1.59%","202361.1"
"2013-12-05","Equity","600741.XSHG","Long","3600 shares","3600 shares","11.15","40140","1944","10.61","-","0","324","0 shares","5.09%","202361.1"
"2013-12-05","Equity","601158.XSHG","Long","6200 shares","6200 shares","6.35","39370","992","6.19","-","0","-62","0 shares","2.58%","202361.1"
"2013-12-05","Equity","601088.XSHG","Long","2200 shares","2200 shares","17.21","37862","242","17.1","-","0","-66","0 shares","0.64%","202361.1"
"2013-12-05","Equity","000876.XSHE","Long","2900 shares","2900 shares","14.74","42746","4582","13.16","-","0","957","0 shares","12.01%","202361.1"
"2013-12-05","","Cash","","","","","3993.1","","","","","","","","0"
"2013-12-06","Equity","600062.XSHG","Long","1800 shares","1800 shares","21.42","38556","906","20.917","-","0","306","0 shares","2.41%","202099.1"
"2013-12-06","Equity","600741.XSHG","Long","3600 shares","3600 shares","11.13","40068","1872","10.61","-","0","-72","0 shares","4.9%","202099.1"
"2013-12-06","Equity","601158.XSHG","Long","6200 shares","6200 shares","6.28","38936","558","6.19","-","0","-434","0 shares","1.45%","202099.1"
"2013-12-06","Equity","601088.XSHG","Long","2200 shares","2200 shares","17.05","37510","-110","17.1","-","0","-352","0 shares","-0.29%","202099.1"
"2013-12-06","Equity","000876.XSHE","Long","2900 shares","2900 shares","14.84","43036","4872","13.16","-","0","290","0 shares","12.77%","202099.1"
"2013-12-06","","Cash","","","","","3993.1","","","","","","","","0"
"2013-12-09","Equity","600062.XSHG","Long","1800 shares","1800 shares","21.47","38646","996","20.917","-","0","90","0 shares","2.65%","203829.1"
"2013-12-09","Equity","600741.XSHG","Long","3600 shares","3600 shares","11.2","40320","2124","10.61","-","0","252","0 shares","5.56%","203829.1"
"2013-12-09","Equity","601158.XSHG","Long","6200 shares","6200 shares","6.42","39804","1426","6.19","-","0","868","0 shares","3.72%","203829.1"
"2013-12-09","Equity","601088.XSHG","Long","2200 shares","2200 shares","16.97","37334","-286","17.1","-","0","-176","0 shares","-0.76%","203829.1"
"2013-12-09","Equity","000876.XSHE","Long","2900 shares","2900 shares","15.08","43732","5568","13.16","-","0","696","0 shares","14.59%","203829.1"
"2013-12-09","","Cash","","","","","3993.1","","","","","","","","0"
"2013-12-10","Equity","600062.XSHG","Long","1800 shares","1800 shares","21.25","38250","600","20.917","-","0","-396","0 shares","1.59%","203191.1"
"2013-12-10","Equity","600741.XSHG","Long","3600 shares","3600 shares","11.29","40644","2448","10.61","-","0","324","0 shares","6.41%","203191.1"
"2013-12-10","Equity","601158.XSHG","Long","6200 shares","6200 shares","6.41","39742","1364","6.19","-","0","-62","0 shares","3.55%","203191.1"
"2013-12-10","Equity","601088.XSHG","Long","2200 shares","2200 shares","16.82","37004","-616","17.1","-","0","-330","0 shares","-1.64%","203191.1"
"2013-12-10","Equity","000876.XSHE","Long","2900 shares","2900 shares","15.02","43558","5394","13.16","-","0","-174","0 shares","14.13%","203191.1"
