Date,Benchmark_Return,Strategy_Return,Daily_Profit,Daily_Loss,Daily_Buy_Amount,Daily_Sell_Amount,Excess_Return(%)
2024-01-02 16:00:00,-1.3,1.84,1836.51,0,94983,0,3.18
2024-01-03 16:00:00,-1.54,2.42,582,0,0,0,4.02
2024-01-04 16:00:00,-2.45,3.59,1171,0,0,0,6.19
2024-01-05 16:00:00,-2.97,3.47,0,-116,0,0,6.64
2024-01-08 16:00:00,-4.23,3.21,0,-268,0,0,7.77
2024-01-09 16:00:00,-4.04,3.8,596,0,0,0,8.17
2024-01-10 16:00:00,-4.49,3.22,0,-586,0,0,8.07
2024-01-11 16:00:00,-3.95,2.77,0,-443,0,0,7
2024-01-12 16:00:00,-4.28,3.57,799,0,0,0,8.2
2024-01-15 16:00:00,-4.38,5.36,1789,0,0,0,10.19
2024-01-16 16:00:00,-3.8,5.24,0,-116.36,38148,-81471,9.4
2024-01-17 16:00:00,-5.89,4.2,0,-1044,0,0,10.72
2024-01-18 16:00:00,-4.56,4.69,489,0,0,0,9.69
2024-01-19 16:00:00,-4.7,4.34,0,-352,0,0,9.49
2024-01-22 16:00:00,-6.18,2.43,0,-1911,0,0,9.18
2024-01-23 16:00:00,-5.81,3,575.53,0,0,-5470,9.35
2024-01-24 16:00:00,-4.49,3.69,684,0,0,0,8.56
2024-01-25 16:00:00,-2.57,4.6,910,0,0,0,7.36
2024-01-26 16:00:00,-2.84,4.88,286,0,0,0,7.95
2024-01-29 16:00:00,-3.71,3.34,0,-1546,0,0,7.32
2024-01-30 16:00:00,-5.42,2.76,0,-575.71,76627,-28397,8.65
2024-01-31 16:00:00,-6.29,3.58,820,0,0,0,10.53
2024-02-01 16:00:00,-6.22,2.11,0,-1468.9,0,-7905,8.88
2024-02-02 16:00:00,-7.33,2.88,765,0,0,0,11.02
2024-02-05 16:00:00,-6.72,4.22,1346,0,0,0,11.73
2024-02-06 16:00:00,-3.48,4.5,282,0,0,0,8.27
2024-02-07 16:00:00,-2.55,4.22,0,-283,0,0,6.95
2024-02-08 16:00:00,-1.93,3.9,0,-324,0,0,5.94
2024-02-19 16:00:00,-0.8,7.73,3832,0,0,0,8.6
2024-02-20 16:00:00,-0.59,8.41,680,0,0,0,9.05
2024-02-21 16:00:00,0.75,11.36,2955.9,0,93275,-95054,10.53
2024-02-22 16:00:00,1.62,11.84,476,0,0,0,10.06
2024-02-23 16:00:00,1.71,11.21,0,-629,0,0,9.34
2024-02-26 16:00:00,0.65,11.98,768,0,0,0,11.26
2024-02-27 16:00:00,1.86,13.31,1331,0,0,0,11.24
2024-02-28 16:00:00,0.56,10.51,0,-2802,0,0,9.89
2024-02-29 16:00:00,2.48,12.89,2384,0,0,0,10.16
2024-03-01 16:00:00,3.11,13.78,888,0,0,0,10.35
2024-03-04 16:00:00,3.2,12.57,0,-1207,0,0,9.08
2024-03-05 16:00:00,3.92,14.98,2406,0,0,0,10.64
2024-03-06 16:00:00,3.5,16.23,1250.4,0,82116,-99381,12.3
2024-03-07 16:00:00,2.87,13.83,0,-2403.36,0,-8360,10.65
2024-03-08 16:00:00,3.32,15.37,1540.62,0,0,-12384,11.66
2024-03-11 16:00:00,4.61,18.99,3624,0,0,0,13.75
2024-03-12 16:00:00,4.85,18.41,0,-580,0,0,12.93
2024-03-13 16:00:00,4.12,17.86,0,-553.8,0,-10800,13.2
2024-03-14 16:00:00,3.82,17.28,0,-578,0,0,12.96
2024-03-15 16:00:00,4.05,17.02,0,-264,0,0,12.47
2024-03-18 16:00:00,5.03,17.68,664,0,0,0,12.04
2024-03-19 16:00:00,4.27,16.96,0,-717,0,0,12.17
2024-03-20 16:00:00,4.5,18.24,1280.97,0,109484,-53331,13.15
2024-03-21 16:00:00,4.37,16.74,0,-1504,0,0,11.85
2024-03-22 16:00:00,3.32,13.73,0,-3008,0,0,10.08
2024-03-25 16:00:00,2.76,13.41,0,-320.08,0,-30009,10.36
2024-03-26 16:00:00,3.28,13.19,0,-220.92,0,-4921,9.6
2024-03-27 16:00:00,2.09,11.91,0,-1285,0,0,9.62
2024-03-28 16:00:00,2.62,12.54,636,0,0,0,9.67
2024-03-29 16:00:00,3.1,13.42,875.48,0,0,-9522,10.01
2024-04-01 16:00:00,4.8,14.39,969,0,0,0,9.15
2024-04-02 16:00:00,4.36,14.56,175,0,0,0,9.77
2024-04-03 16:00:00,3.98,15.49,927.93,0,88288,-38924,11.07
2024-04-08 16:00:00,3.07,14.55,0,-942,0,0,11.14
2024-04-09 16:00:00,2.98,13.79,0,-762,0,0,10.5
2024-04-10 16:00:00,2.15,13.27,0,-514,0,0,10.89
2024-04-11 16:00:00,2.13,12.78,0,-490,0,0,10.43
2024-04-12 16:00:00,1.3,12.45,0,-333,0,0,11.01
2024-04-15 16:00:00,3.44,15.96,3508,0,0,0,12.1
2024-04-16 16:00:00,2.33,12.99,0,-2963,0,0,10.42
2024-04-17 16:00:00,3.91,13.91,912.67,0,0,-20251,9.62
2024-04-18 16:00:00,4.04,14.56,652,0,0,0,10.11
2024-04-19 16:00:00,3.22,18.33,3771.99,0,63735,-45436,14.64
2024-04-22 16:00:00,2.91,17.38,0,-954,0,0,14.06
2024-04-23 16:00:00,2.19,16.11,0,-1262,0,0,13.62
2024-04-24 16:00:00,2.64,15.94,0,-169,0,0,12.96
2024-04-25 16:00:00,2.89,16.52,580,0,0,0,13.25
2024-04-26 16:00:00,4.46,16.61,81.61,0,0,-22386,11.63
2024-04-29 16:00:00,5.62,17.11,505.6,0,0,-4400,10.88
2024-04-30 16:00:00,5.05,17.68,570.98,0,0,-17020,12.02
2024-05-06 16:00:00,6.61,17.9,216,0,0,0,10.59
2024-05-07 16:00:00,6.64,18.51,612,0,0,0,11.13
2024-05-08 16:00:00,5.8,17.57,0,-939.59,92584,-57979,11.12
2024-05-09 16:00:00,6.8,18.1,532,0,0,0,10.58
2024-05-10 16:00:00,6.85,17.79,0,-318,0,0,10.24
2024-05-13 16:00:00,6.81,17.48,0,-301,0,0,9.99
2024-05-14 16:00:00,6.59,17.58,91,0,0,0,10.31
2024-05-15 16:00:00,5.68,17.98,400,0,0,0,11.64
2024-05-16 16:00:00,6.1,18.36,383,0,0,0,11.56
2024-05-17 16:00:00,7.19,19.59,1236,0,0,0,11.57
2024-05-20 16:00:00,7.57,19.34,0,-254,0,0,10.94
2024-05-21 16:00:00,7.14,18.9,0,-443,0,0,10.98
2024-05-22 16:00:00,7.38,18.59,0,-309.52,45502,-46820,10.44
2024-05-23 16:00:00,6.14,16.82,0,-1768,0,0,10.06
2024-05-24 16:00:00,4.97,15.13,0,-1691,0,0,9.68
2024-05-27 16:00:00,5.96,13.96,0,-1168,0,0,7.55
2024-05-28 16:00:00,5.19,12.88,0,-1079.47,0,-9468,7.31
2024-05-29 16:00:00,5.32,12.42,0,-463.82,0,-39416,6.74
2024-05-30 16:00:00,4.76,11.99,0,-428.89,0,-4890,6.9
2024-05-31 16:00:00,4.34,11.79,0,-195.26,0,-3258,7.14
2024-06-03 16:00:00,4.59,11.65,0,-141.64,0,-1640,6.75
2024-06-04 16:00:00,5.38,12.28,626,0,0,0,6.55
2024-06-05 16:00:00,4.77,11.69,0,-589.03,109502,-39315,6.6
2024-06-06 16:00:00,4.7,12.74,1055,0,0,0,7.68
2024-06-07 16:00:00,4.17,14.04,1300,0,0,0,9.47
2024-06-11 16:00:00,3.26,11.77,0,-2275,0,0,8.24
2024-06-12 16:00:00,3.29,13.46,1690,0,0,0,9.85
