Date,Security_Type,Symbol,Side,Quantity,Available_Qty,Close_Price,Market_Value,Floating_PnL,Avg_Open_Price,Avg_Position_Price,Margin,Daily_PnL,Today_Lots,PnL_Ratio,Position_Weight
2024-01-02,Stock,北新建材(000786.XSHE),Long,800Shares,0Shares,24.7,19760,-48,24.76,-,0,-48,800Shares,-0.24%,101836.51,19.4%
2024-01-02,Stock,华润三九(000999.XSHE),Long,400Shares,0Shares,52.2,20880,988,49.73,-,0,988,400Shares,4.97%,101836.51,20.5%
2024-01-02,Stock,藏格矿业(000408.XSHE),Long,700Shares,0Shares,25.95,18165,385,25.4,-,0,385,700Shares,2.17%,101836.51,17.84%
2024-01-02,Stock,中国海油(600938.XSHG),Long,900Shares,0Shares,20.92,18828,-45,20.97,-,0,-45,900Shares,-0.24%,101836.51,18.49%
2024-01-02,Stock,陕西煤业(601225.XSHG),Long,900Shares,0Shares,21.35,19215,585,20.7,-,0,585,900Shares,3.14%,101836.51,18.87%
2024-01-02,,Cash,,,,,4988.51,,,,,,,,0
2024-01-03,Stock,北新建材(000786.XSHE),Long,800Shares,800Shares,24.81,19848,40,24.76,-,0,88,0Shares,0.2%,102418.51,19.38%
2024-01-03,Stock,华润三九(000999.XSHE),Long,400Shares,400Shares,52.33,20932,1040,49.73,-,0,52,0Shares,5.23%,102418.51,20.44%
2024-01-03,Stock,藏格矿业(000408.XSHE),Long,700Shares,700Shares,26.17,18319,539,25.4,-,0,154,0Shares,3.03%,102418.51,17.89%
2024-01-03,Stock,中国海油(600938.XSHG),Long,900Shares,900Shares,21.09,18981,108,20.97,-,0,153,0Shares,0.57%,102418.51,18.53%
2024-01-03,Stock,陕西煤业(601225.XSHG),Long,900Shares,900Shares,21.5,19350,720,20.7,-,0,135,0Shares,3.86%,102418.51,18.89%
2024-01-03,,Cash,,,,,4988.51,,,,,,,,0
2024-01-04,Stock,北新建材(000786.XSHE),Long,800Shares,800Shares,25.1,20080,272,24.76,-,0,232,0Shares,1.37%,103589.51,19.38%
2024-01-04,Stock,华润三九(000999.XSHE),Long,400Shares,400Shares,51.58,20632,740,49.73,-,0,-300,0Shares,3.72%,103589.51,19.92%
2024-01-04,Stock,藏格矿业(000408.XSHE),Long,700Shares,700Shares,26.95,18865,1085,25.4,-,0,546,0Shares,6.1%,103589.51,18.21%
2024-01-04,Stock,中国海油(600938.XSHG),Long,900Shares,900Shares,21.33,19197,324,20.97,-,0,216,0Shares,1.72%,103589.51,18.53%
2024-01-04,Stock,陕西煤业(601225.XSHG),Long,900Shares,900Shares,22.03,19827,1197,20.7,-,0,477,0Shares,6.43%,103589.51,19.14%
2024-01-04,,Cash,,,,,4988.51,,,,,,,,0
2024-01-05,Stock,北新建材(000786.XSHE),Long,800Shares,800Shares,25.78,20624,816,24.76,-,0,544,0Shares,4.12%,103473.51,19.93%
2024-01-05,Stock,华润三九(000999.XSHE),Long,400Shares,400Shares,50.52,20208,316,49.73,-,0,-424,0Shares,1.59%,103473.51,19.53%
2024-01-05,Stock,藏格矿业(000408.XSHE),Long,700Shares,700Shares,26.69,18683,903,25.4,-,0,-182,0Shares,5.08%,103473.51,18.06%
2024-01-05,Stock,中国海油(600938.XSHG),Long,900Shares,900Shares,21.18,19062,189,20.97,-,0,-135,0Shares,1%,103473.51,18.42%
2024-01-05,Stock,陕西煤业(601225.XSHG),Long,900Shares,900Shares,22.12,19908,1278,20.7,-,0,81,0Shares,6.86%,103473.51,19.24%
2024-01-05,,Cash,,,,,4988.51,,,,,,,,0
2024-01-08,Stock,北新建材(000786.XSHE),Long,800Shares,800Shares,25.4,20320,512,24.76,-,0,-304,0Shares,2.58%,103205.51,19.69%
2024-01-08,Stock,华润三九(000999.XSHE),Long,400Shares,400Shares,50.2,20080,188,49.73,-,0,-128,0Shares,0.95%,103205.51,19.46%
2024-01-08,Stock,藏格矿业(000408.XSHE),Long,700Shares,700Shares,26.77,18739,959,25.4,-,0,56,0Shares,5.39%,103205.51,18.16%
2024-01-08,Stock,中国海油(600938.XSHG),Long,900Shares,900Shares,21.17,19053,180,20.97,-,0,-9,0Shares,0.95%,103205.51,18.46%
2024-01-08,Stock,陕西煤业(601225.XSHG),Long,900Shares,900Shares,22.25,20025,1395,20.7,-,0,117,0Shares,7.49%,103205.51,19.4%
2024-01-08,,Cash,,,,,4988.51,,,,,,,,0
2024-01-09,Stock,北新建材(000786.XSHE),Long,800Shares,800Shares,25.48,20384,576,24.76,-,0,64,0Shares,2.91%,103801.51,19.64%
2024-01-09,Stock,华润三九(000999.XSHE),Long,400Shares,400Shares,51.1,20440,548,49.73,-,0,360,0Shares,2.75%,103801.51,19.69%
2024-01-09,Stock,藏格矿业(000408.XSHE),Long,700Shares,700Shares,26.9,18830,1050,25.4,-,0,91,0Shares,5.91%,103801.51,18.14%
2024-01-09,Stock,中国海油(600938.XSHG),Long,900Shares,900Shares,21.1,18990,117,20.97,-,0,-63,0Shares,0.62%,103801.51,18.29%
2024-01-09,Stock,陕西煤业(601225.XSHG),Long,900Shares,900Shares,22.41,20169,1539,20.7,-,0,144,0Shares,8.26%,103801.51,19.43%
2024-01-09,,Cash,,,,,4988.51,,,,,,,,0
2024-01-10,Stock,北新建材(000786.XSHE),Long,800Shares,800Shares,25.8,20640,832,24.76,-,0,256,0Shares,4.2%,103215.51,20%
2024-01-10,Stock,华润三九(000999.XSHE),Long,400Shares,400Shares,49.81,19924,32,49.73,-,0,-516,0Shares,0.16%,103215.51,19.3%
2024-01-10,Stock,藏格矿业(000408.XSHE),Long,700Shares,700Shares,26.91,18837,1057,25.4,-,0,7,0Shares,5.94%,103215.51,18.25%
2024-01-10,Stock,中国海油(600938.XSHG),Long,900Shares,900Shares,20.74,18666,-207,20.97,-,0,-324,0Shares,-1.1%,103215.51,18.08%
2024-01-10,Stock,陕西煤业(601225.XSHG),Long,900Shares,900Shares,22.4,20160,1530,20.7,-,0,-9,0Shares,8.21%,103215.51,19.53%
2024-01-10,,Cash,,,,,4988.51,,,,,,,,0
2024-01-11,Stock,北新建材(000786.XSHE),Long,800Shares,800Shares,25.8,20640,832,24.76,-,0,0,0Shares,4.2%,102772.51,20.08%
2024-01-11,Stock,华润三九(000999.XSHE),Long,400Shares,400Shares,49.54,19816,-76,49.73,-,0,-108,0Shares,-0.38%,102772.51,19.28%
2024-01-11,Stock,藏格矿业(000408.XSHE),Long,700Shares,700Shares,27.01,18907,1127,25.4,-,0,70,0Shares,6.34%,102772.51,18.4%
2024-01-11,Stock,中国海油(600938.XSHG),Long,900Shares,900Shares,20.54,18486,-387,20.97,-,0,-180,0Shares,-2.05%,102772.51,17.99%
2024-01-11,Stock,陕西煤业(601225.XSHG),Long,900Shares,900Shares,22.15,19935,1305,20.7,-,0,-225,0Shares,7%,102772.51,19.4%
2024-01-11,,Cash,,,,,4988.51,,,,,,,,0
2024-01-12,Stock,北新建材(000786.XSHE),Long,800Shares,800Shares,26,20800,992,24.76,-,0,160,0Shares,5.01%,103571.51,20.08%
2024-01-12,Stock,华润三九(000999.XSHE),Long,400Shares,400Shares,49.51,19804,-88,49.73,-,0,-12,0Shares,-0.44%,103571.51,19.12%
2024-01-12,Stock,藏格矿业(000408.XSHE),Long,700Shares,700Shares,27.4,19180,1400,25.4,-,0,273,0Shares,7.87%,103571.51,18.52%
2024-01-12,Stock,中国海油(600938.XSHG),Long,900Shares,900Shares,20.61,18549,-324,20.97,-,0,63,0Shares,-1.72%,103571.51,17.91%
