bear_exposure,bear_min_amount_hkd,total_return,annual_return,annual_volatility,sharpe,max_drawdown,calmar,win_rate,annual_return_2018,max_drawdown_2018,bear_regime_annual_return,bear_regime_sharpe,trading_cost_hkd,trade_count
0.75,3000000,12.956977448629658,0.3857766370350233,0.4098403508158378,0.9412851522967108,-0.4030740196177872,0.9570863371467948,0.4950884086444008,-0.1500643546390632,-0.3225889277666199,-0.0655446036805869,-0.1755827560658863,2061738.246095604,9113
0.75,4000000,9.235217543581877,0.3335884906030453,0.4137488862492504,0.8062583409640529,-0.4084085653271334,0.8168009168364097,0.4916502946954813,-0.1455932887918546,-0.3195572606687227,-0.1061909141569945,-0.2815130351625745,1766502.6126691955,9014
0.75,5000000,11.219161563602055,0.3631554997528055,0.415422088145611,0.8741843780475981,-0.4098551030450044,0.8860582607237392,0.4896856581532416,-0.1379593766039858,-0.3195572606687227,-0.1007902864368543,-0.2650734240708632,2064945.6279238935,9284
0.8,3000000,13.890546181756685,0.3969266864570457,0.419891633526354,0.9453074430741976,-0.4076396691318773,0.9737194795157048,0.4965618860510805,-0.1492210764650615,-0.3260659936543152,-0.0611525099841808,-0.1552468947004288,2162363.454327397,9145
0.8,4000000,10.232259968376963,0.3490204305082047,0.4240816722326773,0.8230028632709,-0.4129893382347783,0.8451076049566001,0.4921414538310412,-0.1463162499041145,-0.3239037725086306,-0.101140210720923,-0.2538076236388502,1856310.6354443268,9009
0.8,5000000,12.220168379916856,0.3765052079084834,0.4250352534085318,0.8858211286925823,-0.4126834656159918,0.912334123555188,0.4926326129666011,-0.1356766448980151,-0.3239037725086306,-0.0989537379193368,-0.2475735481733394,2182049.0362095325,9309
0.85,3000000,14.582938994888588,0.4048071847471013,0.4292200171055053,0.9431228009284498,-0.40779008761244,0.9926852001655968,0.4970530451866404,-0.1496116072948773,-0.3299810137270158,-0.0620994288808356,-0.15050172226703,2234716.802737784,9130
0.85,4000000,11.03572461228292,0.360605808758569,0.4335340562246219,0.8317819640257573,-0.4135243794604387,0.8720303485590931,0.4926326129666011,-0.1474853791616328,-0.3283179865608781,-0.0983386966325657,-0.2357115318074397,1937626.1336920003,9018
0.85,5000000,13.66141947236633,0.3942480873943914,0.4343038476748831,0.907770192470233,-0.4130837730231651,0.954402262061944,0.4941060903732809,-0.1338568388746973,-0.3283179865608781,-0.0913235732696168,-0.2184721363415087,2343923.0940206675,9323
0.9,3000000,16.368643278985427,0.4237981722418584,0.4379284149997144,0.967733898340748,-0.4091476350878317,1.0358074589649815,0.50049115913556,-0.1435848026605586,-0.3291346036533682,-0.0570392713903559,-0.132833298129271,2367323.55457826,9101
0.9,4000000,12.019422905138224,0.3739007543991826,0.4423304267700108,0.8452973880397151,-0.415912060344425,0.8989899309232531,0.4911591355599214,-0.1491092718946606,-0.3331618438125993,-0.0944403457064335,-0.2173992889172319,2032065.548176608,8993
0.9,5000000,16.255125191353358,0.4226430784352495,0.4430736346138459,0.9538890275057724,-0.4102741870033108,1.030147866533555,0.4980353634577603,-0.1324637736663588,-0.3331618438125993,-0.0760986731024325,-0.1750769311931135,2562500.460776666,9352
