Date,Security_Type,Symbol,Side,Quantity,Available_Qty,Close_Price,Market_Value,Floating_PnL,Avg_Open_Price,Avg_Position_Price,Margin,Daily_PnL,Today_Lots,PnL_Ratio,Position_Weight
2011-01-04,,Cash,,,,,100000,,,,,,,,0
2011-01-05,,Cash,,,,,100000,,,,,,,,0
2011-01-06,,Cash,,,,,100000,,,,,,,,0
2011-01-07,,Cash,,,,,100000,,,,,,,,0
2011-01-10,,Cash,,,,,100000,,,,,,,,0
2011-01-11,Stock,晶源电子(002049.XSHE),Long,1300Shares,0Shares,23.71,30823,-1222,24.65,-,0,-1222,1300Shares,-3.81%,97899.93,31.48%
2011-01-11,Stock,大华Shares份(002236.XSHE),Long,400Shares,0Shares,71,28400,-724,72.81,-,0,-724,400Shares,-2.49%,97899.93,29.01%
2011-01-11,Stock,科华恒盛(002335.XSHE),Long,600Shares,0Shares,53.78,32268,-126,53.99,-,0,-126,600Shares,-0.39%,97899.93,32.96%
2011-01-11,,Cash,,,,,6408.93,,,,,,,,0
2011-01-12,Stock,科华恒盛(002335.XSHE),Long,600Shares,600Shares,53.95,32370,-24,53.99,-,0,102,0Shares,-0.07%,97878,33.07%
2011-01-12,,Cash,,,,,65508,,,,,,,,0
2011-01-13,Stock,科华恒盛(002335.XSHE),Long,600Shares,600Shares,54.97,32982,588,53.99,-,0,612,0Shares,1.82%,98702.88,33.42%
2011-01-13,Stock,晶源电子(002049.XSHE),Long,1300Shares,0Shares,24.15,31395,-325,24.4,-,0,-325,1300Shares,-1.02%,98702.88,31.81%
2011-01-13,Stock,大华Shares份(002236.XSHE),Long,400Shares,0Shares,73.08,29232,556,71.69,-,0,556,400Shares,1.94%,98702.88,29.62%
2011-01-13,,Cash,,,,,5093.88,,,,,,,,0
2011-01-14,Stock,科华恒盛(002335.XSHE),Long,600Shares,600Shares,54.06,32436,42,53.99,-,0,-546,0Shares,0.13%,96349.29,33.67%
2011-01-14,Stock,大华Shares份(002236.XSHE),Long,400Shares,400Shares,71,28400,-276,71.69,-,0,-832,0Shares,-0.96%,96349.29,29.48%
2011-01-14,,Cash,,,,,35513.29,,,,,,,,0
2011-01-17,Stock,大华Shares份(002236.XSHE),Long,400Shares,400Shares,70.32,28128,-548,71.69,-,0,-272,0Shares,-1.91%,94339.33,29.82%
2011-01-17,,Cash,,,,,66211.33,,,,,,,,0
2011-01-18,Stock,大华Shares份(002236.XSHE),Long,400Shares,400Shares,70.45,28180,-496,71.69,-,0,52,0Shares,-1.73%,96304.71,29.26%
2011-01-18,Stock,桐君阁(000591.XSHE),Long,3100Shares,0Shares,10.59,32829,124,10.55,-,0,124,3100Shares,0.38%,96304.71,34.09%
2011-01-18,Stock,中国化学(601117.XSHG),Long,6700Shares,0Shares,5.15,34505,1809,4.88,-,0,1809,6700Shares,5.53%,96304.71,35.83%
