"Date","OrderTime","AssetType","Security","TradeSide","OrderType","FilledQuantity","FilledPrice","FilledAmount","OrderQuantity","OrderPrice","RealizedPnL","Commission","Status","LastUpdatedAt"
"2015-12-02","14:50:00","Equity","600160.XSHG","Sell","MarketOrder","-178500 shares","19.79","-3532515","-178500 shares","-","471240","4592.27","Filled","2015-12-02 14:50:00"
"2015-12-03","09:30:00","Equity","000591.XSHE","Buy","MarketOrder","171100 shares","20.61","3526371","171100 shares","-","0","1057.91","Filled","2015-12-03 09:30:00"
"2015-12-09","11:25:00","Equity","000591.XSHE","Sell","MarketOrder","-171100 shares","20.05","-3430555","-171100 shares","-","-95816","4459.72","Filled","2015-12-09 11:25:00"
"2015-12-11","09:30:00","Equity","603799.XSHG","Buy","MarketOrder","127900 shares","26.77","3423883","127900 shares","-","0","1027.16","Filled","2015-12-11 09:30:00"
"2015-12-15","11:25:00","Equity","603799.XSHG","Sell","MarketOrder","-127900 shares","28.26","-3614454","-127900 shares","-","190571","4698.79","Filled","2015-12-15 11:25:00"
"2015-12-30","09:30:00","Equity","300059.XSHE","Buy","MarketOrder","66800 shares","53.98","3605864","66800 shares","-","0","1081.76","Filled","2015-12-30 09:30:00"
"2015-12-31","14:50:00","Equity","300059.XSHE","Sell","MarketOrder","-66800 shares","52.27","-3491636","-66800 shares","-","-114228","4539.13","Filled","2015-12-31 14:50:00"
"2016-01-05","09:30:00","Equity","600803.XSHG","Buy","MarketOrder","83100 shares","13.99","1162569","83100 shares","-","0","348.77","Filled","2016-01-05 09:30:00"
"2016-01-05","09:30:00","Equity","600089.XSHG","Buy","MarketOrder","110100 shares","10.56","1162656","110100 shares","-","0","348.8","Filled","2016-01-05 09:30:00"
"2016-01-05","09:30:00","Equity","601899.XSHG","Buy","MarketOrder","358000 shares","3.25","1163500","358000 shares","-","0","349.05","Filled","2016-01-05 09:30:00"
"2016-01-06","11:25:00","Equity","600089.XSHG","Sell","MarketOrder","-110100 shares","11.08","-1219908","-110100 shares","-","57252","1585.88","Filled","2016-01-06 11:25:00"
"2016-01-06","11:25:00","Equity","601899.XSHG","Sell","MarketOrder","-358000 shares","3.49","-1249420","-358000 shares","-","85920","1624.25","Filled","2016-01-06 11:25:00"
"2016-01-07","09:30:00","Equity","002555.XSHE","Buy","MarketOrder","59400 shares","41.49","2464506","59400 shares","-","0","739.35","Filled","2016-01-07 09:30:00"
"2016-01-07","11:25:00","Equity","600803.XSHG","Sell","MarketOrder","-83100 shares","13.41","-1114371","-83100 shares","-","-48198","1448.68","Filled","2016-01-07 11:25:00"
"2016-01-08","09:30:00","Equity","000591.XSHE","Buy","MarketOrder","62500 shares","17.81","1113125","62500 shares","-","0","333.94","Filled","2016-01-08 09:30:00"
"2016-01-08","11:25:00","Equity","002555.XSHE","Sell","MarketOrder","-59400 shares","38.09","-2262546","-59400 shares","-","-201960","2941.31","Filled","2016-01-08 11:25:00"
"2016-01-11","14:50:00","Equity","000591.XSHE","Sell","MarketOrder","-62500 shares","16.33","-1020625","-62500 shares","-","-92500","1326.81","Filled","2016-01-11 14:50:00"
"2016-01-12","09:30:00","Equity","600760.XSHG","Buy","MarketOrder","92300 shares","11.84","1092832","92300 shares","-","0","327.85","Filled","2016-01-12 09:30:00"
"2016-01-12","09:30:00","Equity","002611.XSHE","Buy","MarketOrder","109100 shares","10.02","1093182","109100 shares","-","0","327.95","Filled","2016-01-12 09:30:00"
"2016-01-12","09:30:00","Equity","002555.XSHE","Buy","MarketOrder","31200 shares","35","1092000","31200 shares","-","0","327.6","Filled","2016-01-12 09:30:00"
"2016-01-13","14:50:00","Equity","600760.XSHG","Sell","MarketOrder","-92300 shares","11.2","-1033760","-92300 shares","-","-59072","1343.89","Filled","2016-01-13 14:50:00"
"2016-01-13","14:50:00","Equity","002555.XSHE","Sell","MarketOrder","-31200 shares","34.3","-1070160","-31200 shares","-","-21840","1391.21","Filled","2016-01-13 14:50:00"
"2016-01-14","09:30:00","Equity","600160.XSHG","Buy","MarketOrder","70000 shares","15.01","1050700","70000 shares","-","0","315.21","Filled","2016-01-14 09:30:00"
"2016-01-14","09:30:00","Equity","002340.XSHE","Buy","MarketOrder","100100 shares","10.5","1051050","100100 shares","-","0","315.32","Filled","2016-01-14 09:30:00"
"2016-01-14","11:25:00","Equity","002611.XSHE","Sell","MarketOrder","-109100 shares","9.78","-1066998","-109100 shares","-","-26184","1387.1","Filled","2016-01-14 11:25:00"
"2016-01-18","09:30:00","Equity","601919.XSHG","Buy","MarketOrder","91300 shares","5.83","532279","91300 shares","-","0","159.68","Filled","2016-01-18 09:30:00"
"2016-01-18","09:30:00","Equity","002402.XSHE","Buy","MarketOrder","28700 shares","18.55","532385","28700 shares","-","0","159.72","Filled","2016-01-18 09:30:00"
"2016-01-19","11:25:00","Equity","002340.XSHE","Sell","MarketOrder","-100100 shares","11.81","-1182181","-100100 shares","-","131131","1536.84","Filled","2016-01-19 11:25:00"
