candle_begin_time,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10
2021-01-01,0.3662509915203603,0.5565969668137003,0.3655793923409541,0.7510664182260635,0.6047003060968721,0.637736423549199,0.5402695534543895,0.5597077305944569,0.635278242216496,1.1175504715508202
2021-01-02,0.4851999594179623,0.5768038588841851,0.17835836393518148,0.9121539243774306,0.6974060162816804,0.7144684816396042,0.6907991194439438,0.6633549197464614,1.0441560832603465,1.1012951701636822
2021-01-03,0.34597627917788215,0.42598774161495223,0.4292651421539231,0.8296920771734287,0.39905579559504273,0.8007755314860585,0.5691478711159156,0.5041317445889293,0.8342171949211572,1.131402326888289
2021-01-04,0.29195069654829775,0.34286990589804717,0.5227309213102663,0.47716816762945913,0.3023734796875735,0.6110348101699173,0.6757620055467518,0.32886892898944825,0.9812098138310547,0.8583190446474648
2021-01-05,0.23878957695004446,0.340980110851567,0.21043389696333825,0.6481461035284505,0.3660415889705505,0.570078935457388,0.5588532545809631,0.31631792879393894,1.1516763206431007,0.9434224841257062
2021-01-06,-0.0221375708827274,0.18138460472564166,0.029950558533494293,0.532306999517435,0.12181263366614495,0.31800981526406513,0.3544243602395022,0.12799318000228904,0.8284201200173742,0.6496837207648641
2021-01-07,0.06734138038382642,0.5680411212376569,0.34371569243132266,0.5384126523894642,0.16218616333755626,0.5041201579197314,0.33950053237564065,0.7048497847000571,0.44909059085889425,0.9919973967713951
2021-01-08,0.10735978456183302,0.8093309211225813,0.3824057379654629,0.5704014207458034,0.17989923950299733,0.40636292829972387,1.025577394961575,0.4062964784335126,0.32280191745468284,0.8536930016424233
2021-01-09,0.10232941069728094,0.5995721240445081,0.3769153102871601,0.6431062059510572,0.14024329530561933,0.3582284330552499,0.8331474836130677,0.25134967794739543,0.2504212640133906,0.7954042852830164
2021-01-10,0.13520743313318284,0.7432026986940076,0.4730802107885108,0.6284945636373571,-0.00545050334668537,0.5033597011611327,0.8117269609790866,0.36179693163602517,0.15989298781305591,0.85111251144595
2021-01-11,0.26205815047234415,1.1788361211094136,0.17034086807460558,1.1324366938283776,0.48044912379862587,0.7401882602491825,1.0266741059119435,0.8153886788104179,0.3726862644213004,1.2573441504938163
2021-01-12,0.3517709793766393,1.0615359656020544,0.20562028603374297,0.7235804572578057,0.8879644708030398,0.5035406678039345,1.0717367009105196,0.9291839092554022,0.4345139768844203,1.3953022042858128
2021-01-13,0.23450777434451092,1.0777759432957368,0.1781220891015526,0.6421988824901634,0.8317158618710673,0.4466746985325998,0.8830972871767124,0.743176574146586,0.36644937875066336,1.2882827871032043
2021-01-14,0.16050886964893815,1.125492436341977,0.5767940357097004,0.06802050502214783,0.7313480827735778,0.8290667511933882,0.9632889848906279,0.77737107644803,0.38972525703166494,1.2160643283886006
2021-01-15,0.2772768946544105,0.746337313852347,0.8731674233045704,0.6502821326093265,0.5645706297329115,1.090458654442018,1.1220544977587832,0.9315053351284891,0.5795688558233099,1.4272179261135896
2021-01-16,0.2215351229698202,0.5860656374510801,0.6496821617521082,0.8782789185669615,0.519333602590603,0.6191083438324742,0.8772147078723986,0.7099077251703647,0.39843540450177484,1.0927115981916062
2021-01-17,0.16735203311501462,0.5285940528943494,0.49482094078488775,0.3890455617705326,0.18487224797838753,1.5666762178347409,0.7406360607172372,0.5869899585517981,0.3900745780478322,0.891400381827133
2021-01-18,0.268449331513968,0.5606174605762912,0.5006884574679874,0.47224327650737324,0.2774950605311662,1.7706520607151925,0.7980042318090559,0.6501722312225231,0.39475508231648504,1.141003403753529
2021-01-19,0.3951786019902253,0.7548279646177168,0.7717496194885992,0.9099734911556144,0.456181388773571,1.3556609213269215,1.2931368912067498,0.691942023407528,0.9083220361786468,1.3572288615156218
2021-01-20,0.4357859726423223,0.7938573785023749,0.8260727301559201,1.013271390188595,0.33569289395402846,1.4151283592939157,1.221439245495489,0.8827733319674903,0.584359476940826,1.5451752332369022
2021-01-21,0.7493938499817234,1.3289161800574094,1.6347815074969876,1.4008638402873024,0.8094570808190256,1.960049295552119,1.6908701448259917,1.1434280046432155,1.3542246557942808,2.3173868186521585
2021-01-22,0.7164820190924756,1.1880091790403067,1.5010122395709793,1.3552487116544736,0.7557806852610186,1.9192166541163094,1.450364628341743,1.3581384384747266,1.2797365349611387,2.324545179212737
2021-01-23,0.7559917921296185,1.1336757218865743,1.516559025086861,1.1202748795013868,1.0661938637963477,1.1081115473840535,1.9823737661238177,1.3757548580023329,1.198027161597928,1.8851835089256521
2021-01-24,0.6742211813399431,0.8753091686163869,1.2492659017407184,1.0075092976180628,0.662059573017224,0.9285500187278283,1.42267941201625,1.48246991541912,0.8593439518301532,1.6166571461924968
2021-01-25,0.7044154324007762,0.9265336105600643,1.413765221607513,0.8823997397511272,0.7413215757811201,0.9469299367128844,1.0759148256298405,1.5687895557699194,1.0561449299604018,1.2828632028782625
2021-01-26,0.7085732142820987,1.070598283350983,1.0148657683561992,0.8001972377410645,0.6614207542137235,0.8905749975035522,1.036102616014438,1.4767964175401458,0.9138413180823433,1.152972859309655
2021-01-27,0.9652193222986617,1.4028695370791524,1.0756312478429582,1.1609036050772727,1.004392616168553,1.1085419090485145,1.2358290444880196,1.2395500674296474,1.7601098508584279,1.3301066962717618
2021-01-28,0.8001628095324871,0.9769680308412031,1.2505669133836748,1.10330754603752,0.9074495342969086,1.07177261776959,1.1226747890555557,0.9852027815904707,1.4933820092683652,1.2587605451069943
2021-01-29,0.7871737086381554,1.3513279728600742,0.9801387196289284,1.2884358508390905,0.9857884102305634,1.1504878196721062,1.094113268547182,1.2762633397218444,1.5362641608751726,1.3246491368868307
2021-01-30,0.6365390185207802,1.2445753295143454,0.75823695764113,1.1823074214371967,0.798539056413798,0.9615455085341047,0.8522100921816282,1.1328982009678739,1.1079709356293506,1.0463673114338137
2021-01-31,0.6543345441441051,0.8189820355082255,1.3176994386069942,1.0878439671965365,1.1533810969597154,1.1719999399316046,1.1667958526935691,1.0050599447034894,1.3060615958469606,1.1334549956952817
2021-02-01,0.5693493046089152,0.560995406934384,1.3428811779518717,0.7517594750261168,0.9736445176782769,0.8182082723720846,0.9564254370516582,0.7006246276891606,0.8035896205995581,1.0340042621034635
2021-02-02,0.35837303641673046,0.30688669027606025,0.9782421315131465,0.7015354739740283,0.5689094346301885,0.4858488787259039,0.3780471890109,0.6706246171212328,0.64687473719646,0.6617500425999585
2021-02-03,0.2679913059046323,0.25609157217387435,1.049272927535097,0.6097836128657504,0.6289941206087689,0.45680959367254975,0.6396003405151317,0.3865894398238056,0.6096530385694509,0.7439376107493851
2021-02-04,0.13594562423750708,0.20990070869965657,0.8128767881790231,0.24139589843036813,0.6436050242538186,0.3555243553606966,0.7409213249933477,0.17812909031384205,0.2635049103774237,0.7797469845331423
2021-02-05,0.0885024891052693,0.3937238721352964,0.2479871437317821,0.08632329859125769,0.43762802618715996,0.12505963506899884,0.5824500654297594,0.12157268218129749,0.3482887655903545,0.38694581718321985
2021-02-06,0.21573157766942336,0.29393769418685584,0.3169374022110081,0.1426693088306119,0.5145843401538199,0.22773560864146555,0.6718609336112399,0.28456400844908114,0.404205167059993,0.5276181414621116
2021-02-07,0.18533100508823452,0.2601458319059036,0.24196045101302444,0.12059272435181444,0.3463824533388052,0.4062968062028312,0.43391736765172323,0.20026881059884996,0.13317110494175863,0.48599229228111085
2021-02-08,0.14681936805965778,0.29911349037292845,3.788599518858571e-05,0.4364854683978556,0.2040463890634417,0.3040443044755225,0.5881838281413538,0.26637640234524873,0.20458673601081517,0.48047848983639596
2021-02-09,0.09695236774359527,0.13746903970106303,-0.0838779868957847,0.28026923546933963,0.10327065298677002,0.16370087979538633,0.3816541613477297,0.09336244627715529,0.22266626604066206,0.3027122689581324
2021-02-10,0.10865617527077216,0.061383392864884034,-0.07562754545711405,0.03803974978239913,0.5092485770809959,0.15972653827232194,0.18310476957597407,0.25276072970559615,0.25273302417741994,0.5368716255860178
2021-02-11,0.061201288501187584,-0.008377959207357918,-0.2168736560066224,-0.07524602930672118,0.1636118622075968,0.07005070773692819,0.054427568900087125,0.14409969609777207,0.04530516014454343,0.5636161575546816
2021-02-12,0.034645377853028014,-0.1168372454071685,-0.25173662675891484,-0.10601010559963561,0.05548004732905649,0.03722629789800892,-0.016496961310347377,0.18009709368915772,-0.19010015476930697,0.3855919232031939
