,top_turnover,bottom_turnover
2021-01-01,0.0,0.0
2021-01-02,0.047619047619047616,0.047619047619047616
2021-01-03,0.047619047619047616,0.047619047619047616
2021-01-04,0.047619047619047616,0.047619047619047616
2021-01-05,0.047619047619047616,0.047619047619047596
2021-01-06,0.047619047619047616,0.047619047619047616
2021-01-07,0.047619047619047616,0.04761904761904764
2021-01-08,0.047619047619047616,0.047619047619047616
2021-01-09,0.047619047619047616,0.047619047619047616
2021-01-10,0.047619047619047616,0.047619047619047616
2021-01-11,0.047619047619047616,0.047619047619047616
2021-01-12,0.04761904761904762,0.047619047619047575
2021-01-13,0.04761904761904762,0.047619047619047665
2021-01-14,0.047619047619047616,0.04761904761904766
2021-01-15,0.04761904761904762,0.04761904761904757
2021-01-16,0.047619047619047616,0.047619047619047665
2021-01-17,0.047619047619047616,0.047619047619047575
2021-01-18,0.047619047619047616,0.04761904761904766
2021-01-19,0.04761904761904762,0.047619047619047575
2021-01-20,0.04761904761904761,0.047619047619047665
2021-01-21,0.04761904761904762,0.04761904761904757
2021-01-22,0.04761904761904762,0.047619047619047665
2021-01-23,0.03571428571428572,0.023809523809523808
2021-01-24,0.03571428571428571,0.011904761904761904
2021-01-25,0.04761904761904763,0.0
2021-01-26,0.035714285714285705,0.0
2021-01-27,0.05952380952380953,0.0
2021-01-28,0.052910052910052886,0.011904761904761911
2021-01-29,0.06349206349206352,0.023809523809523815
2021-01-30,0.06349206349206347,0.0238095238095238
2021-01-31,0.06349206349206349,0.023809523809523815
2021-02-01,0.07407407407407411,0.0238095238095238
2021-02-02,0.07407407407407407,0.023809523809523815
2021-02-03,0.06349206349206346,0.0238095238095238
2021-02-04,0.0634920634920635,0.03571428571428572
2021-02-05,0.0634920634920635,0.0238095238095238
2021-02-06,0.05291005291005289,0.023809523809523815
2021-02-07,0.05291005291005291,0.023809523809523794
2021-02-08,0.05291005291005296,0.02380952380952383
2021-02-09,0.052910052910052865,0.023809523809523794
2021-02-10,0.05291005291005292,0.011904761904761911
2021-02-11,0.06349206349206346,0.023809523809523808
2021-02-12,0.0634920634920635,0.023809523809523808
2021-02-13,0.0634920634920635,0.023809523809523808
2021-02-14,0.06349206349206346,0.023809523809523822
2021-02-15,0.0529100529100529,0.023809523809523794
2021-02-16,0.05291005291005292,0.023809523809523822
2021-02-17,0.05291005291005295,0.023809523809523794
2021-02-18,0.06349206349206352,0.023809523809523815
2021-02-19,0.06349206349206346,0.023809523809523808
2021-02-20,0.06349206349206353,0.023809523809523808
2021-02-21,0.06349206349206347,0.035714285714285726
2021-02-22,0.06349206349206352,0.0357142857142857
2021-02-23,0.042328042328042326,0.035714285714285726
2021-02-24,0.052910052910052935,0.0357142857142857
2021-02-25,0.04232804232804233,0.035714285714285726
2021-02-26,0.05291005291005294,0.0357142857142857
2021-02-27,0.05291005291005291,0.035714285714285726
2021-02-28,0.052910052910052956,0.023809523809523815
2021-03-01,0.0529100529100529,0.011904761904761904
2021-03-02,0.052910052910052935,0.011904761904761904
2021-03-03,0.0423280423280423,0.021164021164021135
2021-03-04,0.04761904761904753,0.021164021164021225
2021-03-05,0.05714285714285719,0.021164021164021107
2021-03-06,0.06666666666666665,0.021164021164021107
2021-03-07,0.06666666666666664,0.021164021164021284
2021-03-08,0.05714285714285715,0.021164021164021187
2021-03-09,0.05714285714285719,0.021164021164021142
2021-03-10,0.057142857142857086,0.02116402116402112
2021-03-11,0.06666666666666668,0.03174603174603179
2021-03-12,0.06666666666666667,0.03174603174603171
2021-03-13,0.06666666666666668,0.031746031746031696
2021-03-14,0.06666666666666664,0.0317460317460318
2021-03-15,0.06666666666666668,0.021164021164021118
2021-03-16,0.06666666666666667,0.021164021164021263
2021-03-17,0.06666666666666665,0.021164021164021114
2021-03-18,0.06666666666666667,0.021164021164021114
2021-03-19,0.06666666666666668,0.02116402116402121
2021-03-20,0.06666666666666668,0.021164021164021125
2021-03-21,0.06666666666666665,0.021164021164021104
2021-03-22,0.0761904761904762,0.02116402116402121
2021-03-23,0.07619047619047614,0.02116402116402131
2021-03-24,0.07619047619047623,0.021164021164021163
2021-03-25,0.07619047619047623,0.021164021164021163
2021-03-26,0.07619047619047617,0.021164021164021156
2021-03-27,0.0761904761904762,0.03174603174603175
2021-03-28,0.0761904761904762,0.028571428571428404
