horizon,mean_pearson_ic,mean_spearman_ic,pearson_t_stat_nw,spearman_t_stat_nw
1,-0.003968165047855771,0.049692103802309984,-2.710594195248976,15.369752900430264
5,-0.006757424253706929,0.06466685864434714,-2.4638532692911244,11.107574527198821
10,-0.009445668331184182,0.0750884461848218,-2.3989501645349343,9.109251242896054
21,-0.013885277880437185,0.08592364306711282,-2.3832531657104314,7.4408046103620515
42,-0.0168959857880924,0.09861370767235324,-2.1852806426113696,6.192882897994994
