,mean,std,median,p05,p95,coverage
count,924.0,924.0,924.0,924.0,924.0,925.0
mean,0.40275735105924604,0.41446664755118134,0.3079761291456896,0.0018541135647890611,0.9666291747702529,0.7654797430043009
std,0.07773502323690795,0.22949127761144206,0.23953827277276143,0.03876567782978244,0.03878114905313204,0.3143060738055799
min,0.07805805687470749,1.1107198798859317e-16,0.0,0.0,0.5983750530414828,0.0
25%,0.35061724486134643,0.38178666295095326,0.11153605166763064,0.0,0.9590870912300055,0.5702357563850687
50%,0.39060422009063694,0.3890118012724894,0.1655199272803637,0.0,0.9746711786363601,0.9788801571709234
75%,0.44445610542307684,0.3948142765962067,0.5605101649405472,0.0,0.9822814400777315,0.9867387033398821
max,0.8333333333333334,5.022435422252008,0.8333333333333333,0.8333333333333333,1.2391666666666652,0.9882121807465619
