factor_role,display_name,factor_alias,source_column,sort_order,parameter,weight,filter_method,filter_rule,rank_ic_mean,rank_ic_std,rank_ic_ir,final_top_group_nav
ranking,"Volume Contraction Factor ((15, 80))",volume_contraction_factor_15_80,volume_contraction_factor_15_80,Ascending,"(15, 80)",0.031685678073510776,,,-0.05543318442443122,0.11750231990122509,-0.4717624679327993,0.023379278082267738
ranking,Turnover Rate (15),turnover_rate_15,turnover_rate_15,Descending,15,0.044359949302915085,,,-0.05739981016399632,0.16874841019322315,-0.34015022777560644,0.02359603908315649
ranking,Long-Term Low Volume (30),long_term_low_volume_30,long_term_low_volume_30,Ascending,30,0.031685678073510776,,,-0.050964991019521726,0.13112198236147343,-0.3886838049704195,0.11790299275087261
ranking,Oversold (39),oversold_39,oversold_39,Ascending,39,0.7604562737642586,,,-0.05835658200968774,0.15333858071371625,-0.38057338041128547,0.021756970811722183
ranking,Oversold (270),oversold_270,oversold_270,Ascending,270,0.1267427122940431,,,-0.028086122025183298,0.13352233456253848,-0.21034774532067868,0.14700720074772303
ranking,"Net Capital Inflow ((6,))",net_capital_inflow_6,net_capital_inflow_6,Ascending,"(6,)",0.005069708491761724,,,-0.060753552006849704,0.12449898106501173,-0.48798433117396356,0.005005703112953686
filter,Turnover Rate (30),turnover_rate_30,turnover_rate_30,Ascending,30,,pct,<=0.4,-0.05013091723816955,0.17235879564181025,-0.2908520975184219,0.04865465713348147
filter,Rolling PE (None),rolling_pe_none,rolling_pe_none,Ascending,None,,val,<60,-0.03497824605250362,0.11411222473604364,-0.3065249681479161,0.4133300176602773
